id_ubigeo,ubigeo_reniec,ubigeo_inei,departamento_inei,departamento,provincia_inei,provincia,distrito,region,macroregion_inei,macroregion_minsa,iso_3166_2,fips,superficie,altitud,latitud,longitud,pob_distrito,pob_provincia,pob_departamento,diresa
1,010101,010101,01,AMAZONAS,0101,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,154,2338,-6.2294,-77.8728,31382,59346,477514,AMAZONAS
2,010102,010102,01,AMAZONAS,0101,CHACHAPOYAS,ASUNCION,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,26,2823,-6.0325,-77.7108,345,59346,477514,AMAZONAS
3,010103,010103,01,AMAZONAS,0101,CHACHAPOYAS,BALSAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,357,859,-6.8358,-78.0197,1421,59346,477514,AMAZONAS
4,010104,010104,01,AMAZONAS,0101,CHACHAPOYAS,CHETO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,57,2143,-6.2556,-77.7008,769,59346,477514,AMAZONAS
5,010105,010105,01,AMAZONAS,0101,CHACHAPOYAS,CHILIQUIN,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,143,2677,-6.0783,-77.7375,1044,59346,477514,AMAZONAS
6,010106,010106,01,AMAZONAS,0101,CHACHAPOYAS,CHUQUIBAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,279,2803,-6.935,-77.8542,2204,59346,477514,AMAZONAS
7,010107,010107,01,AMAZONAS,0101,CHACHAPOYAS,GRANADA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,181,3041,-6.1064,-77.6286,587,59346,477514,AMAZONAS
8,010108,010108,01,AMAZONAS,0101,CHACHAPOYAS,HUANCAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,49,2591,-6.1736,-77.8644,527,59346,477514,AMAZONAS
9,010109,010109,01,AMAZONAS,0101,CHACHAPOYAS,LA JALCA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,380,2869,-6.4847,-77.815,6141,59346,477514,AMAZONAS
10,010110,010110,01,AMAZONAS,0101,CHACHAPOYAS,LEIMEBAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,373,2226,-6.7075,-77.8039,3745,59346,477514,AMAZONAS
11,010111,010111,01,AMAZONAS,0101,CHACHAPOYAS,LEVANTO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,78,2681,-6.3078,-77.8992,1139,59346,477514,AMAZONAS
12,010112,010112,01,AMAZONAS,0101,CHACHAPOYAS,MAGDALENA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,135,1892,-6.3731,-77.9017,974,59346,477514,AMAZONAS
13,010113,010113,01,AMAZONAS,0101,CHACHAPOYAS,MARISCAL CASTILLA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,84,2210,-6.5944,-77.8086,1069,59346,477514,AMAZONAS
14,010114,010114,01,AMAZONAS,0101,CHACHAPOYAS,MOLINOPAMPA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,334,2405,-6.2092,-77.6692,2642,59346,477514,AMAZONAS
15,010115,010115,01,AMAZONAS,0101,CHACHAPOYAS,MONTEVIDEO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,119,2421,-6.6181,-77.8022,747,59346,477514,AMAZONAS
16,010116,010116,01,AMAZONAS,0101,CHACHAPOYAS,OLLEROS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,125,3053,-6.0239,-77.6764,469,59346,477514,AMAZONAS
17,010117,010117,01,AMAZONAS,0101,CHACHAPOYAS,QUINJALCA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,92,3151,-6.0914,-77.6786,1050,59346,477514,AMAZONAS
18,010118,010118,01,AMAZONAS,0101,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,47,2254,-6.2292,-77.74,349,59346,477514,AMAZONAS
19,010119,010119,01,AMAZONAS,0101,CHACHAPOYAS,SAN ISIDRO DE MAINO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,102,2339,-6.3372,-77.8806,706,59346,477514,AMAZONAS
20,010120,010120,01,AMAZONAS,0101,CHACHAPOYAS,SOLOCO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,84,2387,-6.2606,-77.7442,1644,59346,477514,AMAZONAS
21,010121,010121,01,AMAZONAS,0101,CHACHAPOYAS,SONCHE,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,113,2089,-6.2189,-77.7753,392,59346,477514,AMAZONAS
22,010205,010201,01,AMAZONAS,0102,BAGUA,BAGUA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,151,408,-5.6389,-78.5311,28145,99456,477514,AMAZONAS
23,010202,010202,01,AMAZONAS,0102,BAGUA,ARAMANGO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,809,502,-5.4164,-78.4378,12802,99456,477514,AMAZONAS
24,010203,010203,01,AMAZONAS,0102,BAGUA,COPALLIN,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,99,693,-5.675,-78.4231,5685,99456,477514,AMAZONAS
25,010204,010204,01,AMAZONAS,0102,BAGUA,EL PARCO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,18,626,-5.625,-78.4753,1721,99456,477514,AMAZONAS
26,010206,010205,01,AMAZONAS,0102,BAGUA,IMAZA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,4431,317,-5.1636,-78.2889,41323,99456,477514,AMAZONAS
27,010201,010206,01,AMAZONAS,0102,BAGUA,LA PECA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,144,892,-5.6119,-78.4369,9780,99456,477514,AMAZONAS
28,010301,010301,01,AMAZONAS,0103,BONGARA,JUMBILLA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,154,2081,-5.9044,-77.7978,1203,29746,477514,AMAZONAS
29,010304,010302,01,AMAZONAS,0103,BONGARA,CHISQUILLA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,175,2057,-5.8975,-77.7861,533,29746,477514,AMAZONAS
30,010305,010303,01,AMAZONAS,0103,BONGARA,CHURUJA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,33,1399,-6.0194,-77.9519,424,29746,477514,AMAZONAS
31,010302,010304,01,AMAZONAS,0103,BONGARA,COROSHA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,46,2297,-5.8433,-77.8225,1005,29746,477514,AMAZONAS
32,010303,010305,01,AMAZONAS,0103,BONGARA,CUISPES,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,111,1912,-5.9283,-77.9461,827,29746,477514,AMAZONAS
33,010306,010306,01,AMAZONAS,0103,BONGARA,FLORIDA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,203,2251,-5.8261,-77.9694,6530,29746,477514,AMAZONAS
34,010312,010307,01,AMAZONAS,0103,BONGARA,JAZAN,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,89,1342,-5.9414,-77.9772,8532,29746,477514,AMAZONAS
35,010307,010308,01,AMAZONAS,0103,BONGARA,RECTA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,25,2166,-5.9178,-77.7889,335,29746,477514,AMAZONAS
36,010308,010309,01,AMAZONAS,0103,BONGARA,SAN CARLOS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,101,1942,-5.9661,-77.9453,523,29746,477514,AMAZONAS
37,010309,010310,01,AMAZONAS,0103,BONGARA,SHIPASBAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,127,1668,-5.9106,-77.9806,1880,29746,477514,AMAZONAS
38,010310,010311,01,AMAZONAS,0103,BONGARA,VALERA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,90,1928,-6.0428,-77.9192,1115,29746,477514,AMAZONAS
39,010311,010312,01,AMAZONAS,0103,BONGARA,YAMBRASBAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,1716,1887,-5.7353,-77.925,6839,29746,477514,AMAZONAS
40,010601,010401,01,AMAZONAS,0104,CONDORCANQUI,NIEVA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,4482,189,-4.5922,-77.8644,37976,76304,477514,AMAZONAS
41,010603,010402,01,AMAZONAS,0104,CONDORCANQUI,EL CENEPA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,5458,253,-4.4556,-78.1589,18138,76304,477514,AMAZONAS
42,010602,010403,01,AMAZONAS,0104,CONDORCANQUI,RIO SANTIAGO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,8035,190,-4.0158,-77.7608,20190,76304,477514,AMAZONAS
43,010401,010501,01,AMAZONAS,0105,LUYA,LAMUD,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,69,2328,-6.1392,-77.9522,2246,50938,477514,AMAZONAS
44,010402,010502,01,AMAZONAS,0105,LUYA,CAMPORREDONDO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,376,1748,-6.2133,-78.32,6840,50938,477514,AMAZONAS
45,010403,010503,01,AMAZONAS,0105,LUYA,COCABAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,356,2273,-6.6142,-78.005,2354,50938,477514,AMAZONAS
46,010404,010504,01,AMAZONAS,0105,LUYA,COLCAMAR,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,107,2355,-6.2994,-77.9731,2290,50938,477514,AMAZONAS
47,010405,010505,01,AMAZONAS,0105,LUYA,CONILA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,256,2767,-6.1592,-78.1419,2095,50938,477514,AMAZONAS
48,010406,010506,01,AMAZONAS,0105,LUYA,INGUILPATA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,118,2380,-6.2394,-77.9539,587,50938,477514,AMAZONAS
49,010407,010507,01,AMAZONAS,0105,LUYA,LONGUITA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,58,2799,-6.4136,-77.9683,1081,50938,477514,AMAZONAS
50,010408,010508,01,AMAZONAS,0105,LUYA,LONYA CHICO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,84,2329,-6.2297,-77.955,1016,50938,477514,AMAZONAS
51,010409,010509,01,AMAZONAS,0105,LUYA,LUYA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,91,2359,-6.1642,-77.9442,4203,50938,477514,AMAZONAS
52,010410,010510,01,AMAZONAS,0105,LUYA,LUYA VIEJO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,74,2924,-6.1275,-78.085,496,50938,477514,AMAZONAS
53,010411,010511,01,AMAZONAS,0105,LUYA,MARIA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,80,2757,-6.4289,-77.9608,1033,50938,477514,AMAZONAS
54,010412,010512,01,AMAZONAS,0105,LUYA,OCALLI,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,177,1757,-6.2353,-78.2664,3458,50938,477514,AMAZONAS
55,010413,010513,01,AMAZONAS,0105,LUYA,OCUMAL,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,236,1898,-6.2825,-78.2108,3968,50938,477514,AMAZONAS
56,010414,010514,01,AMAZONAS,0105,LUYA,PISUQUIA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,307,2049,-6.4533,-78.0919,5851,50938,477514,AMAZONAS
57,010423,010515,01,AMAZONAS,0105,LUYA,PROVIDENCIA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,71,1784,-6.2972,-78.2408,1667,50938,477514,AMAZONAS
58,010415,010516,01,AMAZONAS,0105,LUYA,SAN CRISTOBAL,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,33,2636,-6.1017,-77.9597,708,50938,477514,AMAZONAS
59,010416,010517,01,AMAZONAS,0105,LUYA,SAN FRANCISCO DEL YESO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,114,2404,-6.6469,-77.8117,787,50938,477514,AMAZONAS
60,010417,010518,01,AMAZONAS,0105,LUYA,SAN JERONIMO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,215,2498,-6.0597,-77.9744,908,50938,477514,AMAZONAS
61,010418,010519,01,AMAZONAS,0105,LUYA,SAN JUAN DE LOPECANCHA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,88,2164,-6.4964,-77.8619,663,50938,477514,AMAZONAS
62,010419,010520,01,AMAZONAS,0105,LUYA,SANTA CATALINA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,126,2574,-6.1136,-78.0608,2103,50938,477514,AMAZONAS
63,010420,010521,01,AMAZONAS,0105,LUYA,SANTO TOMAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,85,2837,-6.5725,-77.8658,3666,50938,477514,AMAZONAS
64,010421,010522,01,AMAZONAS,0105,LUYA,TINGO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,103,1800,-6.3797,-77.9058,1498,50938,477514,AMAZONAS
65,010422,010523,01,AMAZONAS,0105,LUYA,TRITA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,13,2888,-6.1519,-77.9808,1420,50938,477514,AMAZONAS
66,010501,010601,01,AMAZONAS,0106,RODRIGUEZ DE MENDOZA,SAN NICOLAS,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,206,1616,-6.3953,-77.4822,5498,33625,477514,AMAZONAS
67,010503,010602,01,AMAZONAS,0106,RODRIGUEZ DE MENDOZA,CHIRIMOTO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,153,1663,-6.5231,-77.4425,2888,33625,477514,AMAZONAS
68,010502,010603,01,AMAZONAS,0106,RODRIGUEZ DE MENDOZA,COCHAMAL,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,199,1720,-6.4075,-77.5853,795,33625,477514,AMAZONAS
69,010504,010604,01,AMAZONAS,0106,RODRIGUEZ DE MENDOZA,HUAMBO,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,100,1731,-6.4311,-77.5367,2854,33625,477514,AMAZONAS
70,010505,010605,01,AMAZONAS,0106,RODRIGUEZ DE MENDOZA,LIMABAMBA,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,318,1677,-6.4981,-77.4989,1810,33625,477514,AMAZONAS
71,010506,010606,01,AMAZONAS,0106,RODRIGUEZ DE MENDOZA,LONGAR,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,66,1623,-6.3858,-77.5467,1767,33625,477514,AMAZONAS
72,010508,010607,01,AMAZONAS,0106,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,AMAZONAS,ORIENTE,MACROREGION ORIENTE,PE-AMA,01,176,1592,-6.3861,-77.5044,1962,33625,477514,AMAZONAS
