FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-03,0,1
2020-03-07,1,1
2020-03-11,2,1
2020-03-14,2,3
2020-03-16,4,5
2020-03-17,7,8
2020-03-18,8,12
2020-03-19,9,17
2020-03-20,11,19
2020-03-21,11,24
2020-03-22,12,28
2020-03-23,15,31
2020-03-24,17,41
2020-03-25,20,44
2020-03-26,23,49
2020-03-27,27,60
2020-03-28,31,65
2020-03-29,39,75
2020-03-30,47,92
2020-03-31,54,109
2020-04-01,62,123
2020-04-02,71,140
2020-04-03,86,174
2020-04-04,101,218
2020-04-05,118,244
2020-04-06,136,289
2020-04-07,150,323
2020-04-08,178,393
2020-04-09,208,445
2020-04-10,239,517
2020-04-11,268,581
2020-04-12,304,650
2020-04-13,332,731
2020-04-14,375,829
2020-04-15,425,912
2020-04-16,474,1020
2020-04-17,519,1113
2020-04-18,563,1227
2020-04-19,637,1357
2020-04-20,696,1507
2020-04-21,752,1673
2020-04-22,823,1849
2020-04-23,898,2020
2020-04-24,991,2214
2020-04-25,1069,2429
2020-04-26,1163,2640
2020-04-27,1266,2851
2020-04-28,1371,3091
2020-04-29,1476,3319
2020-04-30,1584,3608
2020-05-01,1710,3889
2020-05-02,1822,4192
2020-05-03,1956,4494
2020-05-04,2086,4792
2020-05-05,2223,5112
2020-05-06,2366,5449
2020-05-07,2487,5780
2020-05-08,2624,6118
2020-05-09,2785,6474
2020-05-10,2942,6836
2020-05-11,3083,7212
2020-05-12,3232,7519
2020-05-13,3400,7859
2020-05-14,3562,8233
2020-05-15,3740,8559
2020-05-16,3861,8939
2020-05-17,4050,9283
2020-05-18,4245,9703
2020-05-19,4408,10069
2020-05-20,4562,10460
2020-05-21,4729,10818
2020-05-22,4886,11179
2020-05-23,5060,11548
2020-05-24,5232,11950
2020-05-25,5400,12361
2020-05-26,5580,12724
2020-05-27,5755,13138
2020-05-28,5935,13509
2020-05-29,6128,13948
2020-05-30,6300,14375
2020-05-31,6483,14760
2020-06-01,6699,15206
2020-06-02,6857,15589
2020-06-03,7029,15964
2020-06-04,7225,16386
2020-06-05,7397,16804
2020-06-06,7586,17227
2020-06-07,7781,17604
2020-06-08,7977,18027
2020-06-09,8169,18429
2020-06-10,8376,18838
2020-06-11,8569,19244
2020-06-12,8754,19621
2020-06-13,8985,20019
2020-06-14,9181,20422
2020-06-15,9384,20850
2020-06-16,9592,21255
2020-06-17,9782,21668
2020-06-18,9961,22013
2020-06-19,10165,22422
2020-06-20,10353,22821
2020-06-21,10523,23198
2020-06-22,10711,23549
2020-06-23,10888,23922
2020-06-24,11069,24268
2020-06-25,11232,24623
2020-06-26,11404,24979
2020-06-27,11576,25342
2020-06-28,11749,25707
2020-06-29,11919,26037
2020-06-30,12087,26427
2020-07-01,12272,26775
2020-07-02,12454,27129
2020-07-03,12627,27521
2020-07-04,12803,27870
2020-07-05,13001,28255
2020-07-06,13187,28630
2020-07-07,13370,28991
2020-07-08,13555,29377
2020-07-09,13734,29719
2020-07-10,13928,30105
2020-07-11,14126,30492
2020-07-12,14320,30890
2020-07-13,14527,31282
2020-07-14,14726,31680
2020-07-15,14931,32093
2020-07-16,15124,32473
2020-07-17,15318,32878
2020-07-18,15526,33271
2020-07-19,15727,33661
2020-07-20,15973,34046
2020-07-21,16185,34435
2020-07-22,16418,34820
2020-07-23,16618,35239
2020-07-24,16834,35604
2020-07-25,17049,36007
2020-07-26,17278,36401
2020-07-27,17526,36811
2020-07-28,17759,37195
2020-07-29,17963,37580
2020-07-30,18194,37953
2020-07-31,18431,38352
2020-08-01,18688,38769
2020-08-02,18902,39134
2020-08-03,19152,39547
2020-08-04,19389,39968
2020-08-05,19648,40314
2020-08-06,19911,40681
2020-08-07,20164,41096
2020-08-08,20433,41479
2020-08-09,20675,41821
2020-08-10,20925,42206
2020-08-11,21161,42559
2020-08-12,21421,42923
2020-08-13,21671,43328
2020-08-14,21939,43713
2020-08-15,22178,44060
2020-08-16,22386,44403
2020-08-17,22607,44796
2020-08-18,22843,45136
2020-08-19,23075,45422
2020-08-20,23285,45720
2020-08-21,23508,46018
2020-08-22,23724,46316
2020-08-23,23927,46638
2020-08-24,24123,46957
2020-08-25,24333,47273
2020-08-26,24509,47543
2020-08-27,24720,47824
2020-08-28,24910,48120
2020-08-29,25089,48370
2020-08-30,25258,48588
2020-08-31,25424,48850
2020-09-01,25566,49085
2020-09-02,25712,49339
2020-09-03,25862,49547
2020-09-04,26012,49763
2020-09-05,26160,49976
2020-09-06,26301,50189
2020-09-07,26427,50396
2020-09-08,26551,50593
2020-09-09,26686,50781
2020-09-10,26825,50945
2020-09-11,26952,51112
2020-09-12,27067,51288
2020-09-13,27203,51430
2020-09-14,27312,51609
2020-09-15,27420,51782
2020-09-16,27523,51939
2020-09-17,27646,52071
2020-09-18,27744,52219
2020-09-19,27867,52381
2020-09-20,27975,52515
2020-09-21,28074,52650
2020-09-22,28184,52775
2020-09-23,28283,52898
2020-09-24,28386,53009
2020-09-25,28483,53131
2020-09-26,28590,53255
2020-09-27,28650,53361
2020-09-28,28737,53475
2020-09-29,28808,53580
2020-09-30,28880,53669
2020-10-01,28952,53780
2020-10-02,29011,53882
2020-10-03,29081,53983
2020-10-04,29154,54093
2020-10-05,29221,54193
2020-10-06,29291,54298
2020-10-07,29370,54401
2020-10-08,29430,54492
2020-10-09,29502,54580
2020-10-10,29572,54663
2020-10-11,29631,54740
2020-10-12,29691,54829
2020-10-13,29757,54912
2020-10-14,29807,54998
2020-10-15,29859,55078
2020-10-16,29922,55163
2020-10-17,29977,55237
2020-10-18,30031,55306
2020-10-19,30095,55385
2020-10-20,30144,55474
2020-10-21,30202,55545
2020-10-22,30255,55605
2020-10-23,30300,55676
2020-10-24,30347,55735
2020-10-25,30382,55794
2020-10-26,30440,55860
2020-10-27,30496,55915
2020-10-28,30541,55991
2020-10-29,30581,56058
2020-10-30,30639,56127
2020-10-31,30680,56180
2020-11-01,30725,56250
2020-11-02,30770,56312
2020-11-03,30816,56365
2020-11-04,30880,56427
2020-11-05,30927,56477
2020-11-06,30973,56538
2020-11-07,31014,56589
2020-11-08,31056,56651
2020-11-09,31100,56717
2020-11-10,31135,56786
2020-11-11,31172,56843
2020-11-12,31218,56892
2020-11-13,31257,56976
2020-11-14,31299,57038
2020-11-15,31328,57080
2020-11-16,31362,57139
2020-11-17,31408,57196
2020-11-18,31446,57252
2020-11-19,31477,57303
