DEPARTAMENTO,METODODX,POBLACION,INDICE
AMAZONAS,31985,426806,7494
ANCASH,78304,1180638,6632
APURIMAC,26440,430736,6138
AREQUIPA,115833,1497438,7735
AYACUCHO,34387,668213,5146
CAJAMARCA,66269,1453711,4559
CALLAO,101897,1129854,9019
CUSCO,74615,1357075,5498
HUANCAVELICA,16312,365317,4465
HUANUCO,35859,760267,4717
ICA,59728,975182,6125
JUNIN,87336,1361467,6415
LA LIBERTAD,90016,2016771,4463
LAMBAYEQUE,62437,1310785,4763
LIMA,966769,10628470,9096
LORETO,45193,1027559,4398
MADRE DE DIOS,13958,173811,8031
MOQUEGUA,29774,192740,15448
PASCO,15950,271904,5866
PIURA,89866,2047954,4388
PUNO,41028,1237997,3314
SAN MARTIN,48920,899648,5438
TACNA,30386,370974,8191
TUMBES,19120,251521,7602
UCAYALI,32161,589110,5459
