FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-03,0,1
2020-03-07,1,1
2020-03-11,2,1
2020-03-14,2,3
2020-03-16,4,6
2020-03-17,7,9
2020-03-18,8,14
2020-03-19,11,19
2020-03-20,14,22
2020-03-21,14,27
2020-03-22,15,31
2020-03-23,18,34
2020-03-24,20,45
2020-03-25,24,48
2020-03-26,27,54
2020-03-27,31,65
2020-03-28,35,70
2020-03-29,44,80
2020-03-30,52,96
2020-03-31,60,113
2020-04-01,68,128
2020-04-02,77,146
2020-04-03,92,180
2020-04-04,107,224
2020-04-05,124,252
2020-04-06,143,298
2020-04-07,157,332
2020-04-08,186,403
2020-04-09,217,456
2020-04-10,248,528
2020-04-11,276,592
2020-04-12,313,663
2020-04-13,341,742
2020-04-14,387,841
2020-04-15,437,923
2020-04-16,484,1032
2020-04-17,529,1128
2020-04-18,577,1241
2020-04-19,652,1373
2020-04-20,711,1524
2020-04-21,767,1692
2020-04-22,839,1869
2020-04-23,917,2044
2020-04-24,1010,2243
2020-04-25,1089,2460
2020-04-26,1182,2672
2020-04-27,1288,2881
2020-04-28,1393,3122
2020-04-29,1498,3346
2020-04-30,1609,3635
2020-05-01,1734,3918
2020-05-02,1848,4220
2020-05-03,1988,4525
2020-05-04,2122,4827
2020-05-05,2261,5153
2020-05-06,2405,5491
2020-05-07,2527,5824
2020-05-08,2668,6166
2020-05-09,2829,6523
2020-05-10,2986,6885
2020-05-11,3128,7261
2020-05-12,3277,7564
2020-05-13,3447,7901
2020-05-14,3610,8272
2020-05-15,3788,8599
2020-05-16,3909,8976
2020-05-17,4097,9322
2020-05-18,4294,9741
2020-05-19,4456,10101
2020-05-20,4611,10488
2020-05-21,4778,10844
2020-05-22,4936,11203
2020-05-23,5109,11572
2020-05-24,5282,11975
2020-05-25,5451,12384
2020-05-26,5632,12747
2020-05-27,5808,13160
2020-05-28,5987,13531
2020-05-29,6181,13971
2020-05-30,6354,14400
2020-05-31,6537,14786
2020-06-01,6754,15232
2020-06-02,6912,15615
2020-06-03,7085,15990
2020-06-04,7279,16409
2020-06-05,7453,16825
2020-06-06,7643,17245
2020-06-07,7837,17622
2020-06-08,8035,18042
2020-06-09,8228,18445
2020-06-10,8435,18855
2020-06-11,8631,19262
2020-06-12,8817,19637
2020-06-13,9049,20035
2020-06-14,9245,20439
2020-06-15,9449,20868
2020-06-16,9658,21274
2020-06-17,9848,21689
2020-06-18,10027,22035
2020-06-19,10231,22444
2020-06-20,10418,22842
2020-06-21,10588,23217
2020-06-22,10776,23567
2020-06-23,10952,23940
2020-06-24,11133,24287
2020-06-25,11297,24644
2020-06-26,11468,25001
2020-06-27,11641,25365
2020-06-28,11815,25728
2020-06-29,11985,26056
2020-06-30,12152,26446
2020-07-01,12338,26792
2020-07-02,12521,27146
2020-07-03,12695,27538
2020-07-04,12871,27889
2020-07-05,13068,28277
2020-07-06,13253,28652
2020-07-07,13437,29012
2020-07-08,13622,29399
2020-07-09,13801,29741
2020-07-10,13996,30129
2020-07-11,14194,30516
2020-07-12,14388,30915
2020-07-13,14596,31305
2020-07-14,14796,31698
2020-07-15,15002,32110
2020-07-16,15196,32492
2020-07-17,15390,32898
2020-07-18,15598,33293
2020-07-19,15800,33683
2020-07-20,16047,34067
2020-07-21,16260,34455
2020-07-22,16492,34839
2020-07-23,16693,35260
2020-07-24,16912,35625
2020-07-25,17128,36025
2020-07-26,17357,36420
2020-07-27,17607,36829
2020-07-28,17840,37211
2020-07-29,18044,37595
2020-07-30,18275,37968
2020-07-31,18512,38367
2020-08-01,18768,38783
2020-08-02,18982,39146
2020-08-03,19231,39558
2020-08-04,19467,39978
2020-08-05,19725,40321
2020-08-06,19988,40688
2020-08-07,20240,41101
2020-08-08,20509,41484
2020-08-09,20751,41825
2020-08-10,21001,42210
2020-08-11,21236,42561
2020-08-12,21496,42924
2020-08-13,21746,43329
2020-08-14,22013,43713
2020-08-15,22251,44059
2020-08-16,22458,44401
2020-08-17,22678,44793
2020-08-18,22914,45131
2020-08-19,23145,45416
2020-08-20,23355,45714
2020-08-21,23578,46012
2020-08-22,23794,46309
2020-08-23,23997,46630
2020-08-24,24191,46949
2020-08-25,24401,47264
2020-08-26,24576,47531
2020-08-27,24786,47810
2020-08-28,24972,48102
2020-08-29,25150,48352
2020-08-30,25318,48570
2020-08-31,25483,48831
2020-09-01,25625,49065
2020-09-02,25770,49318
2020-09-03,25921,49526
2020-09-04,26070,49742
2020-09-05,26218,49953
2020-09-06,26358,50164
2020-09-07,26484,50371
2020-09-08,26608,50568
2020-09-09,26743,50756
2020-09-10,26882,50921
2020-09-11,27009,51088
2020-09-12,27123,51264
2020-09-13,27260,51406
2020-09-14,27369,51583
2020-09-15,27477,51756
2020-09-16,27579,51913
2020-09-17,27701,52044
2020-09-18,27799,52192
2020-09-19,27921,52353
2020-09-20,28028,52486
2020-09-21,28127,52620
2020-09-22,28236,52745
2020-09-23,28335,52868
2020-09-24,28437,52979
2020-09-25,28534,53101
2020-09-26,28641,53225
2020-09-27,28701,53331
2020-09-28,28788,53444
2020-09-29,28859,53549
2020-09-30,28931,53637
2020-10-01,29003,53747
2020-10-02,29062,53850
2020-10-03,29132,53951
2020-10-04,29205,54061
2020-10-05,29272,54161
2020-10-06,29342,54267
2020-10-07,29420,54370
2020-10-08,29480,54460
2020-10-09,29552,54548
2020-10-10,29622,54631
2020-10-11,29681,54708
2020-10-12,29742,54797
2020-10-13,29807,54880
2020-10-14,29857,54966
2020-10-15,29908,55046
2020-10-16,29971,55131
2020-10-17,30026,55204
2020-10-18,30080,55273
2020-10-19,30144,55352
2020-10-20,30192,55441
2020-10-21,30250,55511
2020-10-22,30302,55571
2020-10-23,30347,55642
2020-10-24,30394,55700
2020-10-25,30429,55759
2020-10-26,30487,55825
2020-10-27,30543,55879
2020-10-28,30588,55956
2020-10-29,30628,56023
2020-10-30,30686,56092
2020-10-31,30727,56143
2020-11-01,30773,56212
2020-11-02,30818,56273
2020-11-03,30864,56326
2020-11-04,30927,56392
2020-11-05,30975,56443
2020-11-06,31022,56505
2020-11-07,31064,56558
2020-11-08,31107,56623
2020-11-09,31151,56688
2020-11-10,31186,56761
2020-11-11,31224,56821
2020-11-12,31273,56871
2020-11-13,31313,56957
2020-11-14,31356,57019
2020-11-15,31386,57062
2020-11-16,31420,57123
2020-11-17,31468,57180
2020-11-18,31508,57238
2020-11-19,31540,57292
