FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-04-05,2,0
2020-04-26,0,2
2020-05-01,0,2
2020-05-03,0,2
2020-05-04,2,0
2020-05-05,0,4
2020-05-06,0,4
2020-05-09,0,2
2020-05-10,0,4
2020-05-11,0,2
2020-05-12,0,2
2020-05-13,2,4
2020-05-14,0,2
2020-05-15,0,2
2020-05-16,0,4
2020-05-17,2,2
2020-05-18,0,2
2020-05-19,2,0
2020-05-21,2,4
2020-05-23,4,0
2020-05-24,0,2
2020-05-25,2,0
2020-05-28,0,4
2020-05-29,0,2
2020-05-30,2,0
2020-06-01,0,4
2020-06-02,2,2
2020-06-03,2,10
2020-06-04,0,6
2020-06-06,0,2
2020-06-08,2,4
2020-06-09,0,4
2020-06-12,4,4
2020-06-13,2,2
2020-06-14,0,2
2020-06-15,4,4
2020-06-16,0,6
2020-06-17,2,4
2020-06-18,2,6
2020-06-19,2,0
2020-06-20,2,6
2020-06-21,4,6
2020-06-22,2,4
2020-06-24,2,6
2020-06-25,4,6
2020-06-26,6,16
2020-06-27,2,12
2020-06-28,0,10
2020-06-29,4,10
2020-06-30,0,6
2020-07-01,6,8
2020-07-02,4,6
2020-07-03,2,20
2020-07-04,6,8
2020-07-05,0,10
2020-07-06,10,16
2020-07-07,0,4
2020-07-08,0,8
2020-07-09,0,14
2020-07-10,2,16
2020-07-11,2,6
2020-07-12,4,20
2020-07-13,6,8
2020-07-14,4,2
2020-07-15,10,10
2020-07-16,0,6
2020-07-17,4,8
2020-07-18,6,10
2020-07-19,4,8
2020-07-20,2,6
2020-07-21,12,12
2020-07-22,8,10
2020-07-23,8,8
2020-07-24,2,8
2020-07-25,4,10
2020-07-26,2,6
2020-07-27,4,10
2020-07-28,4,2
2020-07-29,2,8
2020-07-30,2,8
2020-07-31,4,6
2020-08-01,0,2
2020-08-02,6,12
2020-08-03,4,4
2020-08-04,0,8
2020-08-05,4,2
2020-08-06,2,4
2020-08-07,6,2
2020-08-08,2,6
2020-08-09,2,4
2020-08-10,4,8
2020-08-12,6,2
2020-08-13,0,4
2020-08-14,6,4
2020-08-15,2,0
2020-08-16,0,8
2020-08-17,0,2
2020-08-18,2,2
2020-08-21,4,8
2020-08-22,0,2
2020-08-23,4,6
2020-08-24,4,0
2020-08-25,2,6
2020-08-26,0,2
2020-08-27,4,2
2020-08-28,2,2
2020-08-29,2,0
2020-08-30,0,2
2020-08-31,0,4
2020-09-01,2,0
2020-09-02,0,2
2020-09-03,2,0
2020-09-05,2,2
2020-09-06,4,6
2020-09-07,2,4
2020-09-08,2,4
2020-09-09,6,10
2020-09-10,2,4
2020-09-11,4,2
2020-09-12,0,4
2020-09-13,4,6
2020-09-14,2,0
2020-09-15,2,0
2020-09-17,4,0
2020-09-18,8,4
2020-09-19,4,8
2020-09-20,2,2
2020-09-21,0,6
2020-09-22,2,2
2020-09-23,0,6
2020-09-24,4,2
2020-09-25,0,4
2020-09-26,2,2
2020-09-27,2,0
2020-09-28,2,2
2020-09-29,0,4
2020-10-02,6,2
2020-10-04,0,2
2020-10-06,0,2
2020-10-07,2,0
2020-10-08,2,0
2020-10-09,0,4
2020-10-10,2,0
2020-10-11,2,0
2020-10-12,2,2
2020-10-13,0,2
2020-10-14,0,2
2020-10-15,0,4
2020-10-16,2,0
2020-10-18,0,2
2020-10-19,2,0
2020-10-20,2,0
2020-10-21,0,4
2020-10-22,0,4
2020-10-23,4,0
2020-10-24,0,2
2020-10-26,0,2
2020-10-30,0,2
2020-10-31,2,2
2020-11-01,2,2
2020-11-03,0,2
2020-11-04,0,4
2020-11-06,0,2
2020-11-08,0,2
2020-11-10,0,2
2020-11-11,2,0
2020-11-13,0,2
2020-11-14,0,4
2020-11-20,0,2
2020-11-21,0,2
2020-11-22,0,2
2020-11-23,2,2
2020-11-24,0,2
2020-11-26,2,2
2020-12-02,0,2
2020-12-04,0,2
2020-12-05,2,0
2020-12-08,2,0
2020-12-10,2,0
2020-12-11,2,0
2020-12-14,0,2
2020-12-19,0,4
2020-12-20,4,0
2020-12-21,4,0
2020-12-22,0,2
2020-12-23,2,2
2020-12-24,4,0
2020-12-26,4,0
2020-12-27,0,2
2020-12-28,0,4
2021-01-05,2,0
2021-01-06,0,2
2021-01-08,0,2
2021-01-10,2,2
2021-01-11,2,0
2021-01-12,0,2
2021-01-14,0,2
2021-01-15,2,0
2021-01-16,4,0
2021-01-17,2,0
2021-01-18,2,2
2021-01-19,0,4
2021-01-20,2,0
2021-01-21,2,0
2021-01-22,6,0
2021-01-23,4,4
2021-01-24,0,4
2021-01-26,2,2
2021-01-27,4,0
2021-01-28,4,6
2021-01-29,2,8
2021-01-30,2,6
2021-01-31,0,10
2021-02-01,4,0
2021-02-02,0,8
2021-02-03,2,4
2021-02-04,2,4
2021-02-05,4,2
2021-02-07,2,2
2021-02-08,0,2
2021-02-09,4,2
2021-02-10,4,4
2021-02-11,2,2
2021-02-12,4,6
2021-02-13,6,6
2021-02-14,4,4
2021-02-15,2,2
2021-02-16,2,4
2021-02-17,4,4
2021-02-18,2,8
2021-02-19,0,10
2021-02-20,0,4
2021-02-21,4,4
2021-02-22,2,6
2021-02-23,4,0
2021-02-24,0,2
2021-02-25,0,2
2021-02-26,2,0
2021-02-27,0,6
2021-02-28,2,2
2021-03-01,2,6
2021-03-02,2,2
2021-03-03,0,2
2021-03-04,6,2
2021-03-05,2,2
2021-03-06,4,4
2021-03-07,2,2
2021-03-08,2,6
2021-03-09,4,4
2021-03-10,8,2
2021-03-11,4,2
2021-03-12,0,4
2021-03-13,0,14
2021-03-14,2,4
2021-03-15,0,2
2021-03-16,0,2
2021-03-17,2,0
2021-03-18,6,6
2021-03-19,4,0
2021-03-20,0,2
2021-03-21,2,2
2021-03-22,2,2
2021-03-23,2,2
2021-03-24,0,2
2021-03-25,0,6
2021-03-26,2,0
2021-03-27,4,2
2021-03-28,4,6
2021-03-29,0,4
2021-03-30,4,4
2021-03-31,2,4
2021-04-01,4,4
2021-04-02,4,4
2021-04-03,2,6
2021-04-04,0,6
2021-04-05,0,6
2021-04-06,0,4
2021-04-07,4,4
2021-04-08,0,6
2021-04-10,4,10
2021-04-11,6,2
2021-04-12,6,8
2021-04-13,6,10
2021-04-14,2,2
2021-04-15,2,6
2021-04-16,2,10
2021-04-17,2,6
2021-04-18,12,2
2021-04-19,10,4
2021-04-20,4,8
2021-04-21,4,10
2021-04-22,8,6
2021-04-23,8,14
2021-04-24,4,4
2021-04-25,4,6
2021-04-26,6,8
2021-04-27,2,4
2021-04-28,6,14
2021-04-29,2,10
2021-04-30,2,4
2021-05-01,8,12
2021-05-02,0,10
2021-05-03,4,2
2021-05-04,6,10
2021-05-05,8,10
2021-05-06,10,10
2021-05-07,2,14
2021-05-08,4,6
2021-05-09,0,14
2021-05-10,2,6
2021-05-11,2,2
2021-05-12,0,4
2021-05-13,6,6
2021-05-14,6,14
2021-05-15,4,8
2021-05-16,2,2
2021-05-17,0,10
2021-05-18,0,2
2021-05-19,4,4
2021-05-20,6,8
2021-05-21,2,6
2021-05-22,2,6
2021-05-23,2,2
2021-05-24,4,8
2021-05-25,2,4
2021-05-26,4,6
2021-05-27,2,0
2021-05-28,4,4
2021-05-29,2,8
2021-05-30,0,10
2021-05-31,6,10
2021-06-01,0,8
2021-06-02,6,4
2021-06-03,0,6
2021-06-04,6,2
2021-06-05,2,2
2021-06-06,2,8
2021-06-07,6,4
2021-06-08,2,2
2021-06-09,4,0
2021-06-10,4,4
2021-06-11,6,6
2021-06-12,2,0
2021-06-13,0,2
2021-06-14,0,2
2021-06-15,0,2
2021-06-16,0,4
2021-06-17,2,4
2021-06-18,0,2
2021-06-19,0,2
2021-06-20,0,4
2021-06-21,2,0
2021-06-23,0,2
2021-06-24,2,0
2021-06-25,0,2
2021-06-26,2,2
2021-06-27,0,2
2021-06-28,2,2
2021-06-29,0,2
2021-06-30,2,2
2021-07-01,0,4
2021-07-02,2,6
2021-07-03,0,2
2021-07-04,4,4
2021-07-05,0,2
2021-07-06,0,4
2021-07-07,2,2
2021-07-08,0,4
2021-07-11,0,2
2021-07-12,2,2
2021-07-13,4,2
2021-07-15,0,4
2021-07-16,0,2
2021-07-17,0,2
2021-07-18,4,2
2021-07-19,0,6
2021-07-21,0,2
2021-07-22,0,2
2021-07-23,0,4
2021-07-24,0,2
2021-07-25,2,0
2021-07-26,2,0
2021-07-27,0,2
2021-07-28,4,2
2021-07-31,2,0
2021-08-04,0,4
2021-08-06,0,2
2021-08-07,2,2
2021-08-08,0,2
2021-08-10,0,2
2021-08-11,0,2
2021-08-12,2,2
2021-08-13,2,0
2021-08-14,0,2
2021-08-16,4,0
2021-08-17,0,2
2021-08-19,2,0
2021-08-20,0,2
2021-08-21,0,2
2021-08-22,2,0
2021-08-23,0,2
2021-08-25,2,2
2021-09-04,0,2
2021-09-06,2,2
2021-09-08,2,0
2021-09-10,0,4
2021-09-13,2,0
2021-09-15,2,0
2021-09-16,0,2
2021-09-17,2,0
2021-09-20,2,0
2021-09-21,0,2
2021-09-26,2,0
2021-10-07,2,0
2021-10-12,2,0
2021-10-19,2,0
2021-10-20,0,2
2021-10-24,2,0
2021-10-26,2,0
2021-11-08,0,2
