FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-24,0,1
2020-03-26,0,1
2020-03-27,0,1
2020-03-28,1,0
2020-03-29,0,1
2020-04-05,1,0
2020-04-07,0,3
2020-04-08,0,2
2020-04-09,0,1
2020-04-10,0,1
2020-04-11,1,0
2020-04-12,1,2
2020-04-13,1,2
2020-04-14,4,1
2020-04-15,0,4
2020-04-16,3,1
2020-04-17,0,1
2020-04-18,2,2
2020-04-19,7,3
2020-04-20,2,6
2020-04-21,0,3
2020-04-22,1,3
2020-04-23,1,7
2020-04-24,4,4
2020-04-25,2,4
2020-04-26,3,5
2020-04-27,3,13
2020-04-28,3,3
2020-04-29,0,5
2020-04-30,2,8
2020-05-01,1,5
2020-05-02,1,16
2020-05-03,5,6
2020-05-04,4,8
2020-05-05,1,8
2020-05-06,8,11
2020-05-07,7,9
2020-05-08,5,10
2020-05-09,7,13
2020-05-10,4,10
2020-05-11,5,9
2020-05-12,6,9
2020-05-13,4,12
2020-05-14,2,8
2020-05-15,3,6
2020-05-16,8,10
2020-05-17,3,14
2020-05-18,5,18
2020-05-19,3,12
2020-05-20,0,6
2020-05-21,5,10
2020-05-22,6,12
2020-05-23,3,13
2020-05-24,9,16
2020-05-25,7,19
2020-05-26,5,12
2020-05-27,3,17
2020-05-28,10,14
2020-05-29,7,12
2020-05-30,5,12
2020-05-31,9,14
2020-06-01,5,18
2020-06-02,5,20
2020-06-03,11,13
2020-06-04,6,13
2020-06-05,5,10
2020-06-06,9,14
2020-06-07,8,23
2020-06-08,8,15
2020-06-09,4,17
2020-06-10,4,12
2020-06-11,3,15
2020-06-12,7,20
2020-06-13,9,16
2020-06-14,9,8
2020-06-15,7,21
2020-06-16,4,12
2020-06-17,6,10
2020-06-18,9,9
2020-06-19,0,20
2020-06-20,6,19
2020-06-21,4,12
2020-06-22,3,15
2020-06-23,8,5
2020-06-24,3,11
2020-06-25,3,15
2020-06-26,4,15
2020-06-27,6,8
2020-06-28,8,16
2020-06-29,8,10
2020-06-30,5,10
2020-07-01,6,7
2020-07-02,4,22
2020-07-03,6,12
2020-07-04,4,13
2020-07-05,9,11
2020-07-06,7,16
2020-07-07,4,17
2020-07-08,3,17
2020-07-09,7,12
2020-07-10,5,13
2020-07-11,5,13
2020-07-12,4,18
2020-07-13,7,15
2020-07-14,2,10
2020-07-15,5,11
2020-07-16,5,13
2020-07-17,9,12
2020-07-18,7,18
2020-07-19,6,13
2020-07-20,5,9
2020-07-21,8,13
2020-07-22,2,15
2020-07-23,8,20
2020-07-24,8,14
2020-07-25,12,12
2020-07-26,4,18
2020-07-27,3,15
2020-07-28,9,13
2020-07-29,7,9
2020-07-30,7,10
2020-07-31,5,12
2020-08-01,6,12
2020-08-02,6,11
2020-08-03,6,12
2020-08-04,6,17
2020-08-05,8,15
2020-08-06,4,10
2020-08-07,4,8
2020-08-08,3,7
2020-08-09,6,10
2020-08-10,4,9
2020-08-11,4,8
2020-08-12,7,6
2020-08-13,4,13
2020-08-14,8,13
2020-08-15,4,6
2020-08-16,2,10
2020-08-17,4,18
2020-08-18,3,6
2020-08-19,4,9
2020-08-20,0,9
2020-08-21,9,8
2020-08-22,3,11
2020-08-23,8,12
2020-08-24,4,9
2020-08-25,3,9
2020-08-26,5,9
2020-08-27,4,6
2020-08-28,4,6
2020-08-29,9,15
2020-08-30,7,5
2020-08-31,1,6
2020-09-01,4,4
2020-09-02,2,4
2020-09-03,6,5
2020-09-04,3,10
2020-09-05,6,7
2020-09-06,6,5
2020-09-07,5,4
2020-09-08,0,8
2020-09-09,2,5
2020-09-10,3,4
2020-09-11,3,8
2020-09-12,2,6
2020-09-13,2,1
2020-09-14,4,5
2020-09-15,4,5
2020-09-16,2,3
2020-09-17,4,4
2020-09-18,6,4
2020-09-19,6,8
2020-09-20,1,9
2020-09-21,3,4
2020-09-22,3,7
2020-09-23,2,3
2020-09-24,0,6
2020-09-25,2,2
2020-09-26,3,1
2020-09-27,1,4
2020-09-28,3,3
2020-09-29,1,2
2020-09-30,4,3
2020-10-01,3,4
2020-10-02,2,1
2020-10-03,1,3
2020-10-04,1,3
2020-10-05,1,1
2020-10-06,2,2
2020-10-07,2,3
2020-10-08,1,2
2020-10-09,5,4
2020-10-10,0,1
2020-10-11,0,5
2020-10-12,1,3
2020-10-13,2,4
2020-10-14,0,3
2020-10-15,1,6
2020-10-16,2,0
2020-10-17,0,5
2020-10-18,1,2
2020-10-20,1,1
2020-10-21,2,2
2020-10-22,3,3
2020-10-23,2,2
2020-10-24,0,2
2020-10-25,0,2
2020-10-26,1,3
2020-10-27,4,0
2020-10-28,1,3
2020-10-29,1,6
2020-10-30,2,2
2020-10-31,1,0
2020-11-01,3,3
2020-11-02,2,2
2020-11-03,2,1
2020-11-04,1,1
2020-11-05,3,2
2020-11-06,1,2
2020-11-07,2,0
2020-11-08,2,5
2020-11-09,1,1
2020-11-10,2,0
2020-11-11,2,3
2020-11-12,0,1
2020-11-13,1,2
2020-11-14,1,3
2020-11-15,1,5
2020-11-16,1,0
2020-11-17,2,4
2020-11-18,2,1
2020-11-19,2,5
