FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-04-06,0,1
2020-04-19,0,1
2020-04-23,0,1
2020-04-25,0,1
2020-05-07,0,1
2020-05-24,1,0
2020-05-25,0,1
2020-05-27,0,1
2020-05-31,0,1
2020-06-03,1,0
2020-06-04,1,0
2020-06-06,0,1
2020-06-07,1,0
2020-06-09,0,1
2020-06-11,0,2
2020-06-14,1,1
2020-06-15,0,1
2020-06-16,0,1
2020-06-18,0,1
2020-06-20,1,0
2020-06-21,0,2
2020-06-22,1,0
2020-06-24,1,0
2020-06-25,0,1
2020-06-26,1,0
2020-06-28,0,1
2020-06-29,0,1
2020-07-01,0,1
2020-07-02,1,0
2020-07-03,0,1
2020-07-04,0,1
2020-07-05,0,1
2020-07-08,1,0
2020-07-10,1,0
2020-07-11,0,2
2020-07-15,2,1
2020-07-16,0,1
2020-07-19,0,1
2020-07-20,1,2
