FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-04-01,2,0
2020-04-03,0,2
2020-04-06,2,0
2020-04-08,0,2
2020-04-11,4,0
2020-04-13,0,4
2020-04-15,0,2
2020-04-16,2,0
2020-04-19,0,2
2020-04-20,0,4
2020-04-25,0,2
2020-04-27,0,4
2020-04-29,0,4
2020-05-01,0,2
2020-05-02,2,0
2020-05-06,4,2
2020-05-09,0,2
2020-05-10,0,2
2020-05-16,4,4
2020-05-17,2,0
2020-05-18,0,4
2020-05-19,4,2
2020-05-21,0,2
2020-05-22,2,2
2020-05-25,0,2
2020-05-27,2,2
2020-05-28,0,2
2020-05-29,2,2
2020-05-30,2,4
2020-05-31,0,2
2020-06-01,0,2
2020-06-03,2,2
2020-06-04,2,4
2020-06-06,2,6
2020-06-07,2,2
2020-06-08,0,6
2020-06-09,2,4
2020-06-10,2,6
2020-06-11,2,2
2020-06-12,0,4
2020-06-13,6,2
2020-06-14,4,2
2020-06-15,2,8
2020-06-16,2,4
2020-06-17,2,2
2020-06-18,2,2
2020-06-19,0,2
2020-06-20,0,6
2020-06-21,0,4
2020-06-22,2,12
2020-06-23,6,2
2020-06-24,2,8
2020-06-25,4,0
2020-06-26,4,12
2020-06-27,12,12
2020-06-28,2,22
2020-06-29,10,12
2020-06-30,6,14
2020-07-01,8,8
2020-07-02,12,24
2020-07-03,6,14
2020-07-04,6,8
2020-07-05,12,24
2020-07-06,18,20
2020-07-07,4,24
2020-07-08,2,26
2020-07-09,0,16
2020-07-10,8,14
2020-07-11,12,28
2020-07-12,4,28
2020-07-13,4,22
2020-07-14,8,30
2020-07-15,22,32
2020-07-16,16,26
2020-07-17,10,36
2020-07-18,4,42
2020-07-19,10,28
2020-07-20,10,40
2020-07-21,6,38
2020-07-22,12,34
2020-07-23,8,30
2020-07-24,6,38
2020-07-25,22,44
2020-07-26,18,24
2020-07-27,20,34
2020-07-28,18,20
2020-07-29,12,24
2020-07-30,12,24
2020-07-31,6,30
2020-08-01,2,36
2020-08-02,2,30
2020-08-03,12,30
2020-08-04,18,22
2020-08-05,10,16
2020-08-06,14,34
2020-08-07,12,22
2020-08-08,12,20
2020-08-09,12,12
2020-08-10,16,28
2020-08-11,10,18
2020-08-12,2,24
2020-08-13,6,20
2020-08-14,8,16
2020-08-15,8,12
2020-08-16,6,24
2020-08-17,6,16
2020-08-18,8,22
2020-08-19,14,20
2020-08-20,12,14
2020-08-21,2,12
2020-08-22,16,10
2020-08-23,6,18
2020-08-24,12,20
2020-08-25,12,24
2020-08-26,10,6
2020-08-27,6,6
2020-08-28,6,16
2020-08-29,10,2
2020-08-30,14,10
2020-08-31,8,16
2020-09-01,2,6
2020-09-02,4,14
2020-09-03,2,8
2020-09-04,6,14
2020-09-05,6,12
2020-09-06,6,14
2020-09-07,2,4
2020-09-08,8,4
2020-09-09,8,10
2020-09-10,2,6
2020-09-11,8,8
2020-09-12,4,10
2020-09-13,4,16
2020-09-14,2,8
2020-09-15,8,12
2020-09-16,6,12
2020-09-17,4,6
2020-09-18,0,4
2020-09-19,14,6
2020-09-20,4,4
2020-09-21,4,2
2020-09-22,0,6
2020-09-23,2,4
2020-09-24,8,10
2020-09-25,4,10
2020-09-26,6,10
2020-09-27,2,12
2020-09-28,6,2
2020-09-29,4,4
2020-09-30,4,4
2020-10-01,0,4
2020-10-02,2,6
2020-10-03,2,2
2020-10-04,6,6
2020-10-05,6,8
2020-10-06,0,2
2020-10-07,8,4
2020-10-08,2,4
2020-10-09,0,2
2020-10-10,0,8
2020-10-11,4,2
2020-10-12,0,4
2020-10-13,2,2
2020-10-14,0,8
2020-10-15,4,4
2020-10-16,4,0
2020-10-17,4,4
2020-10-18,2,2
2020-10-19,8,8
2020-10-20,0,2
2020-10-21,4,4
2020-10-22,0,2
2020-10-23,2,2
2020-10-24,4,4
2020-10-25,2,6
2020-10-26,0,4
2020-10-27,2,8
2020-10-28,4,4
2020-10-29,2,4
2020-10-30,0,4
2020-10-31,0,4
2020-11-01,2,2
2020-11-02,6,8
2020-11-03,4,0
2020-11-04,0,6
2020-11-05,4,2
2020-11-06,4,2
2020-11-07,2,4
2020-11-09,6,2
2020-11-10,2,10
2020-11-11,0,2
2020-11-12,4,2
2020-11-13,2,6
2020-11-14,0,4
2020-11-15,2,4
2020-11-16,0,4
2020-11-17,4,0
2020-11-19,0,4
2020-11-20,2,8
2020-11-22,6,0
2020-11-23,2,6
2020-11-24,2,4
2020-11-25,0,2
2020-11-26,2,0
2020-11-28,0,2
2020-11-29,0,2
2020-11-30,2,0
2020-12-01,4,4
2020-12-02,0,6
2020-12-03,2,2
2020-12-04,2,10
2020-12-05,0,4
2020-12-06,2,4
2020-12-07,2,2
2020-12-08,6,6
2020-12-09,2,2
2020-12-10,2,6
2020-12-11,0,12
2020-12-12,2,2
2020-12-13,2,4
2020-12-14,2,6
2020-12-15,2,2
2020-12-16,2,4
2020-12-17,4,4
2020-12-18,4,0
2020-12-19,2,4
2020-12-20,0,6
2020-12-21,4,4
2020-12-22,4,6
2020-12-23,6,2
2020-12-24,0,4
