FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-22,1,1
2020-03-31,2,1
2020-04-01,1,4
2020-04-02,2,1
2020-04-03,0,2
2020-04-04,0,2
2020-04-05,0,2
2020-04-06,1,5
2020-04-07,1,1
2020-04-08,0,4
2020-04-09,1,5
2020-04-10,2,8
2020-04-11,2,10
2020-04-12,3,5
2020-04-13,2,9
2020-04-14,4,13
2020-04-15,3,4
2020-04-16,0,10
2020-04-17,2,7
2020-04-18,2,11
2020-04-19,3,8
2020-04-20,6,12
2020-04-21,9,14
2020-04-22,7,10
2020-04-23,5,15
2020-04-24,11,23
2020-04-25,6,13
2020-04-26,4,16
2020-04-27,6,13
2020-04-28,5,10
2020-04-29,8,12
2020-04-30,9,22
2020-05-01,9,14
2020-05-02,6,17
2020-05-03,9,23
2020-05-04,10,19
2020-05-05,7,19
2020-05-06,9,22
2020-05-07,6,20
2020-05-08,10,28
2020-05-09,17,19
2020-05-10,16,24
2020-05-11,14,25
2020-05-12,11,26
2020-05-13,17,24
2020-05-14,12,32
2020-05-15,17,33
2020-05-16,10,30
2020-05-17,16,31
2020-05-18,14,36
2020-05-19,14,41
2020-05-20,15,39
2020-05-21,20,32
2020-05-22,14,31
2020-05-23,14,32
2020-05-24,11,42
2020-05-25,16,25
2020-05-26,15,27
2020-05-27,15,29
2020-05-28,17,30
2020-05-29,10,43
2020-05-30,7,44
2020-05-31,15,32
2020-06-01,16,30
2020-06-02,14,34
2020-06-03,15,46
2020-06-04,16,36
2020-06-05,11,41
2020-06-06,14,41
2020-06-07,12,30
2020-06-08,16,21
2020-06-09,15,33
2020-06-10,6,25
2020-06-11,17,31
2020-06-12,10,20
2020-06-13,16,29
2020-06-14,11,41
2020-06-15,13,31
2020-06-16,13,30
2020-06-17,13,15
2020-06-18,11,24
2020-06-19,15,31
2020-06-20,12,18
2020-06-21,11,18
2020-06-22,9,17
2020-06-23,10,26
2020-06-24,10,19
2020-06-25,3,13
2020-06-26,8,19
2020-06-27,16,12
2020-06-28,6,18
2020-06-29,7,19
2020-06-30,7,14
2020-07-01,10,18
2020-07-02,5,13
2020-07-03,8,19
2020-07-04,9,14
2020-07-05,11,22
2020-07-06,12,16
2020-07-07,10,13
2020-07-08,9,24
2020-07-09,9,12
2020-07-10,1,17
2020-07-11,14,16
2020-07-12,11,23
2020-07-13,13,13
2020-07-14,18,16
2020-07-15,10,15
2020-07-16,7,13
2020-07-17,5,23
2020-07-18,12,22
2020-07-19,11,13
2020-07-20,6,15
2020-07-21,7,19
2020-07-22,10,19
2020-07-23,10,28
2020-07-24,11,16
2020-07-25,8,23
2020-07-26,10,21
2020-07-27,5,21
2020-07-28,8,13
2020-07-29,6,16
2020-07-30,8,12
2020-07-31,12,18
2020-08-01,9,14
2020-08-02,7,17
2020-08-03,5,27
2020-08-04,6,22
2020-08-05,5,21
2020-08-06,8,21
2020-08-07,13,17
2020-08-08,10,24
2020-08-09,11,16
2020-08-10,6,8
2020-08-11,12,13
2020-08-12,8,19
2020-08-13,9,12
2020-08-14,12,17
2020-08-15,14,11
2020-08-16,9,10
2020-08-17,6,22
2020-08-18,3,17
2020-08-19,11,10
2020-08-20,9,17
2020-08-21,1,9
2020-08-22,8,13
2020-08-23,7,15
2020-08-24,8,4
2020-08-25,9,19
2020-08-26,2,15
2020-08-27,10,12
2020-08-28,5,12
2020-08-29,8,11
2020-08-30,10,8
2020-08-31,5,15
2020-09-01,6,12
2020-09-02,7,11
2020-09-03,3,6
2020-09-04,2,8
2020-09-05,5,13
2020-09-06,4,3
2020-09-07,2,15
2020-09-08,5,11
2020-09-09,4,14
2020-09-10,7,6
2020-09-11,6,11
2020-09-12,6,10
2020-09-13,10,11
2020-09-14,10,9
2020-09-15,0,5
2020-09-16,4,13
2020-09-17,4,6
2020-09-18,2,8
2020-09-19,8,12
2020-09-20,5,6
2020-09-21,5,11
2020-09-22,5,3
2020-09-23,2,4
2020-09-24,4,8
2020-09-25,7,2
2020-09-26,5,9
2020-09-27,4,1
2020-09-28,4,7
2020-09-29,3,4
2020-09-30,3,3
2020-10-01,5,5
2020-10-02,3,6
2020-10-03,2,6
2020-10-04,1,8
2020-10-05,3,7
2020-10-06,1,5
2020-10-07,7,4
2020-10-08,4,2
2020-10-09,3,7
2020-10-10,5,9
2020-10-11,4,6
2020-10-12,3,7
2020-10-13,2,5
2020-10-14,1,3
2020-10-15,1,4
2020-10-16,3,7
2020-10-17,0,10
2020-10-18,1,1
2020-10-19,1,4
2020-10-20,1,3
2020-10-21,1,0
2020-10-22,3,2
2020-10-23,3,3
2020-10-24,4,2
2020-10-25,4,2
2020-10-26,1,3
2020-10-27,2,3
2020-10-28,1,3
2020-10-29,0,4
2020-10-30,3,2
2020-10-31,0,7
2020-11-01,6,4
2020-11-02,1,2
2020-11-03,1,5
2020-11-04,2,5
2020-11-05,5,1
2020-11-06,1,1
2020-11-07,1,4
2020-11-08,5,1
2020-11-09,2,5
2020-11-10,2,1
2020-11-11,3,7
2020-11-12,3,2
2020-11-13,3,4
2020-11-14,1,1
2020-11-15,0,1
2020-11-16,2,4
2020-11-17,0,1
2020-11-18,2,3
2020-11-19,2,4
2020-11-20,0,4
2020-11-21,0,2
2020-11-22,2,0
2020-11-24,3,2
2020-11-25,1,3
2020-11-26,1,4
2020-11-27,2,3
2020-11-28,1,2
2020-11-29,1,4
2020-11-30,2,1
2020-12-01,3,3
2020-12-02,1,5
2020-12-03,0,3
2020-12-04,2,3
2020-12-05,1,4
2020-12-06,0,3
2020-12-07,1,2
2020-12-08,3,2
2020-12-09,2,2
2020-12-10,3,3
2020-12-11,2,3
2020-12-12,1,3
2020-12-13,1,4
2020-12-14,2,2
2020-12-15,2,6
2020-12-16,3,5
2020-12-17,4,2
2020-12-18,2,4
2020-12-19,6,4
2020-12-20,2,4
2020-12-21,0,3
