FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-08,1,0
2021-02-27,1,0
2021-03-11,1,0
2021-03-13,0,1
2021-03-15,1,1
2021-03-16,0,1
2021-03-20,0,1
2021-03-21,1,0
2021-03-24,0,1
2021-03-26,1,1
2021-03-27,0,1
2021-03-28,0,1
2021-03-29,0,1
2021-03-30,0,2
2021-03-31,0,1
2021-04-03,1,0
2021-04-04,1,1
2021-04-07,0,1
2021-04-08,1,1
2021-04-10,0,1
2021-04-11,0,1
2021-04-12,0,1
2021-04-13,1,2
2021-04-16,1,0
2021-04-20,0,1
2021-04-21,0,2
2021-04-22,1,1
2021-04-23,0,2
2021-04-25,0,1
2021-04-28,0,2
2021-04-29,0,2
2021-05-02,0,2
2021-05-03,0,1
2021-05-05,1,1
2021-05-07,2,1
2021-05-10,0,1
2021-05-11,2,1
2021-05-12,1,0
2021-05-13,0,2
2021-05-14,0,1
2021-05-16,0,1
2021-05-19,2,0
2021-05-20,0,1
2021-05-21,0,1
2021-05-23,1,1
2021-05-24,0,2
2021-05-26,0,1
2021-05-28,0,2
2021-05-30,0,1
2021-06-01,1,0
2021-06-04,1,1
2021-06-05,0,1
2021-06-08,0,1
2021-06-10,1,0
2021-06-14,0,2
2021-06-15,0,1
2021-06-26,1,0
2021-06-27,1,0
2021-06-29,0,1
2021-07-05,1,0
2021-07-13,0,1
2021-07-21,1,0
2021-07-30,0,1
2021-08-17,0,1
2021-10-18,0,1
2021-11-17,0,1
2022-01-17,0,1
2022-02-07,1,0
2022-02-13,1,0
2022-02-26,0,1
2022-03-06,1,0
2022-03-08,1,0
2022-03-09,1,0
2022-07-13,0,1
2022-09-01,0,1
2022-09-09,0,1
