FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-04-09,0,1
2020-04-20,0,2
2020-04-24,0,1
2020-04-28,0,2
2020-05-04,0,1
2020-05-07,0,1
2020-05-10,0,2
2020-05-14,0,1
2020-05-23,1,1
2020-05-24,1,0
2020-05-25,2,1
2020-05-30,0,1
2020-05-31,0,1
2020-06-01,0,2
2020-06-03,0,2
2020-06-05,0,1
2020-06-06,0,1
2020-06-07,0,2
2020-06-13,0,1
2020-06-20,1,0
2020-06-23,0,2
2020-06-27,1,1
2020-06-28,0,1
2020-06-30,2,0
2020-07-04,2,2
2020-07-05,1,0
2020-07-06,3,3
2020-07-07,4,0
2020-07-08,4,5
2020-07-09,2,1
2020-07-11,2,3
2020-07-12,2,1
2020-07-13,0,3
2020-07-14,2,0
2020-07-15,0,2
2020-07-16,2,4
2020-07-17,4,4
2020-07-18,2,5
2020-07-19,0,2
2020-07-20,6,6
2020-07-21,2,0
2020-07-22,0,6
2020-07-23,2,7
2020-07-24,2,8
2020-07-25,2,4
2020-07-26,3,6
2020-07-27,0,3
2020-07-28,0,4
2020-07-29,0,6
2020-07-30,4,2
2020-07-31,2,3
2020-08-01,2,6
2020-08-02,2,6
2020-08-03,2,12
2020-08-04,0,6
2020-08-05,5,0
2020-08-06,2,4
2020-08-07,3,7
2020-08-08,2,14
2020-08-09,6,6
2020-08-10,3,18
2020-08-11,2,7
2020-08-12,10,6
2020-08-13,8,8
2020-08-14,2,12
2020-08-15,2,0
2020-08-16,9,15
2020-08-17,0,3
2020-08-18,0,6
2020-08-19,2,6
2020-08-20,4,0
2020-08-21,3,4
2020-08-22,2,7
2020-08-23,2,5
2020-08-24,8,8
2020-08-25,2,0
2020-08-26,2,6
2020-08-27,0,6
2020-08-28,4,6
2020-08-29,2,14
2020-08-30,0,5
2020-08-31,0,7
2020-09-01,3,5
2020-09-02,2,2
2020-09-03,0,2
2020-09-04,3,1
2020-09-05,0,7
2020-09-06,1,2
2020-09-07,2,4
2020-09-08,0,2
2020-09-09,4,3
2020-09-10,2,1
2020-09-11,1,4
2020-09-12,3,5
2020-09-13,2,4
2020-09-15,3,0
2020-09-16,0,4
2020-09-17,2,4
2020-09-18,0,2
2020-09-20,0,2
2020-09-21,0,2
2020-09-23,2,0
2020-09-25,0,2
2020-09-27,0,2
2020-09-28,0,3
2020-09-30,0,2
2020-10-02,0,2
2020-10-03,0,1
2020-10-04,4,1
2020-10-05,0,5
2020-10-06,2,2
2020-10-07,0,2
2020-10-09,0,2
2020-10-11,1,0
2020-10-12,1,1
2020-10-13,0,3
2020-10-15,0,1
2020-10-19,0,3
2020-10-20,2,2
2020-10-21,1,0
2020-10-23,0,1
2020-10-24,2,0
2020-10-25,1,1
2020-10-26,2,0
2020-10-27,0,1
2020-10-30,2,0
2020-10-31,0,2
2020-11-01,0,3
2020-11-06,0,4
2020-11-07,0,1
2020-11-08,0,3
2020-11-09,1,0
2020-11-10,0,1
2020-11-11,2,0
2020-11-14,3,0
2020-11-15,1,0
2020-11-17,1,0
2020-11-19,1,0
2020-11-21,1,1
2020-11-22,1,0
2020-11-23,2,0
2020-11-25,0,1
2020-11-28,0,1
2020-12-03,0,1
2020-12-05,1,0
2020-12-08,1,0
2020-12-10,0,2
2020-12-11,1,0
2020-12-14,0,1
2020-12-15,0,1
2020-12-16,0,1
2020-12-17,1,0
2020-12-20,0,2
2020-12-21,0,1
2020-12-25,1,2
2021-01-01,1,0
2021-01-02,0,1
2021-01-03,0,2
2021-01-04,2,0
2021-01-05,1,0
2021-01-07,0,2
2021-01-11,2,2
2021-01-13,2,2
2021-01-14,0,1
2021-01-15,0,2
2021-01-16,0,2
2021-01-17,0,2
2021-01-18,0,1
2021-01-19,1,3
2021-01-21,0,1
2021-01-22,2,3
2021-01-23,0,3
2021-01-24,2,1
2021-01-25,4,4
2021-01-26,2,6
2021-01-27,1,1
2021-01-28,2,3
2021-01-29,3,4
2021-01-30,0,1
2021-01-31,4,9
2021-02-01,2,7
2021-02-02,2,2
2021-02-03,0,3
2021-02-04,0,1
2021-02-05,5,5
2021-02-06,4,3
2021-02-07,2,5
2021-02-08,1,3
2021-02-09,7,2
2021-02-10,4,5
2021-02-11,5,4
2021-02-12,3,2
2021-02-13,3,4
2021-02-14,3,0
2021-02-15,12,4
2021-02-16,3,5
2021-02-17,0,8
2021-02-18,0,3
2021-02-19,11,6
2021-02-20,4,5
2021-02-21,2,6
2021-02-22,5,5
2021-02-23,5,9
2021-02-24,3,5
2021-02-25,0,3
2021-02-26,8,1
2021-02-27,1,0
2021-02-28,10,4
2021-03-01,8,2
2021-03-02,1,2
2021-03-03,8,6
2021-03-04,0,5
2021-03-05,6,2
2021-03-06,2,2
2021-03-07,3,2
2021-03-08,4,4
2021-03-09,2,3
2021-03-10,2,1
2021-03-11,2,3
2021-03-12,1,4
2021-03-13,4,2
2021-03-14,0,2
2021-03-15,4,2
2021-03-16,5,5
2021-03-17,0,4
2021-03-18,2,2
2021-03-19,4,6
2021-03-20,0,4
2021-03-21,0,4
2021-03-22,7,7
2021-03-23,2,1
2021-03-24,0,4
2021-03-25,3,1
2021-03-26,0,2
2021-03-27,1,7
2021-03-28,3,9
2021-03-29,5,2
2021-03-30,4,8
2021-03-31,2,4
2021-04-01,6,3
2021-04-02,4,5
2021-04-03,0,3
2021-04-04,8,4
2021-04-05,0,8
2021-04-06,6,4
2021-04-07,8,1
2021-04-08,2,7
2021-04-09,3,1
2021-04-10,2,1
2021-04-11,4,5
2021-04-12,7,5
2021-04-13,6,7
2021-04-14,9,5
2021-04-15,3,7
2021-04-16,7,7
2021-04-17,5,8
2021-04-18,3,5
2021-04-19,10,4
2021-04-20,8,5
2021-04-21,2,1
2021-04-22,3,5
2021-04-23,4,4
2021-04-24,5,9
2021-04-25,2,9
2021-04-26,2,5
2021-04-27,2,3
2021-04-28,3,3
2021-04-29,6,3
2021-04-30,3,11
2021-05-01,3,2
2021-05-02,4,8
2021-05-03,2,2
2021-05-04,7,6
2021-05-05,2,3
2021-05-06,2,5
2021-05-07,6,4
2021-05-08,3,4
2021-05-09,0,10
2021-05-10,3,4
2021-05-11,5,3
2021-05-12,10,4
2021-05-13,1,7
2021-05-14,2,3
2021-05-15,2,4
2021-05-16,3,0
2021-05-18,3,4
2021-05-19,1,7
2021-05-20,2,0
2021-05-21,0,4
2021-05-22,0,1
2021-05-23,0,5
2021-05-24,1,0
2021-05-25,2,5
2021-05-26,2,6
2021-05-27,3,1
2021-05-28,2,3
2021-05-29,0,2
2021-05-30,6,3
2021-05-31,2,0
2021-06-01,0,2
2021-06-02,2,3
2021-06-03,0,4
2021-06-04,1,4
2021-06-05,2,3
2021-06-06,2,0
2021-06-07,0,7
2021-06-08,0,1
2021-06-09,2,0
2021-06-11,0,1
2021-06-12,0,2
2021-06-13,2,0
2021-06-14,2,0
2021-06-15,3,1
2021-06-17,2,1
2021-06-18,0,2
2021-06-19,0,1
2021-06-20,1,0
2021-06-21,2,2
2021-06-26,1,1
2021-06-27,0,1
2021-06-28,1,0
2021-06-29,1,0
2021-06-30,1,0
2021-07-01,2,1
2021-07-03,1,1
2021-07-04,2,2
2021-07-05,2,1
2021-07-06,0,1
2021-07-09,0,2
2021-07-11,0,2
2021-07-12,1,0
2021-07-14,2,0
2021-07-15,1,2
2021-07-17,1,3
2021-07-20,1,0
2021-07-23,0,1
2021-08-02,2,1
2021-08-03,0,1
2021-08-04,2,1
2021-08-06,0,1
2021-08-09,0,1
2021-08-12,0,1
2021-08-13,2,0
2021-08-17,0,1
2021-08-18,0,2
2021-08-19,1,0
2021-08-22,0,2
2021-08-24,1,0
2021-08-25,1,1
2021-08-27,0,1
2021-08-30,0,1
2021-09-04,0,1
2021-09-07,2,0
2021-09-09,0,1
2021-09-12,1,0
2021-09-17,0,1
2021-09-21,0,1
2021-09-27,1,0
2021-10-10,0,1
2021-10-13,0,1
2021-10-15,1,0
2021-10-18,0,1
2021-10-23,1,1
2021-10-24,0,1
2021-10-25,0,1
2021-10-26,0,1
2021-10-28,0,1
2021-11-04,0,2
2021-11-09,1,0
2021-11-10,0,1
2021-11-13,1,1
2021-11-19,1,0
2021-11-20,0,1
2021-11-24,0,2
2021-11-25,0,1
2021-11-27,0,1
2021-12-01,0,1
2021-12-05,1,0
2021-12-09,0,1
2021-12-14,0,1
2021-12-15,1,0
2021-12-16,1,0
2021-12-18,0,1
2022-01-01,1,0
2022-01-02,0,1
2022-01-10,0,1
2022-01-13,1,1
2022-01-15,0,1
2022-01-17,1,1
2022-01-18,0,1
2022-01-20,2,1
2022-01-21,0,1
2022-01-22,0,1
2022-01-24,1,0
2022-01-25,1,1
2022-01-26,1,0
2022-01-27,0,2
2022-01-28,0,3
2022-01-29,2,0
2022-01-30,1,0
2022-01-31,1,0
2022-02-01,2,3
2022-02-02,0,1
2022-02-03,1,0
2022-02-04,2,2
2022-02-05,0,1
2022-02-06,1,1
2022-02-07,1,2
2022-02-08,1,0
2022-02-09,0,3
2022-02-10,2,0
2022-02-11,0,1
2022-02-12,1,1
2022-02-13,0,1
2022-02-17,0,2
2022-02-18,0,1
