FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-04-05,2,2
2020-04-10,0,2
2020-04-27,2,0
2020-04-30,0,2
2020-05-01,2,0
2020-05-02,0,2
2020-05-04,0,4
2020-05-05,0,6
2020-05-06,0,2
2020-05-07,0,4
2020-05-08,2,0
2020-05-09,2,2
2020-05-13,2,2
2020-05-15,0,2
2020-05-16,0,2
2020-05-17,2,4
2020-05-18,4,0
2020-05-19,4,0
2020-05-20,4,2
2020-05-21,8,4
2020-05-22,2,4
2020-05-23,4,2
2020-05-24,2,0
2020-05-25,0,4
2020-05-26,2,0
2020-05-27,0,8
2020-05-28,4,2
2020-05-29,4,6
2020-05-30,0,4
2020-05-31,2,2
2020-06-02,2,2
2020-06-03,2,0
2020-06-04,10,0
2020-06-05,2,4
2020-06-06,6,4
2020-06-07,2,2
2020-06-08,0,8
2020-06-09,0,6
2020-06-10,10,6
2020-06-11,6,6
2020-06-12,2,6
2020-06-13,2,4
2020-06-14,0,12
2020-06-15,0,12
2020-06-16,8,8
2020-06-17,4,10
2020-06-18,0,4
2020-06-19,6,12
2020-06-20,0,8
2020-06-21,14,6
2020-06-22,2,6
2020-06-23,6,6
2020-06-24,4,8
2020-06-25,0,6
2020-06-26,6,8
2020-06-27,4,6
2020-06-28,6,4
2020-06-29,2,16
2020-06-30,0,8
2020-07-01,8,18
2020-07-02,2,10
2020-07-03,4,16
2020-07-04,8,12
2020-07-05,4,10
2020-07-06,6,14
2020-07-07,4,6
2020-07-08,10,10
2020-07-09,4,14
2020-07-10,10,16
2020-07-11,4,16
2020-07-12,24,18
2020-07-13,8,18
2020-07-14,8,22
2020-07-15,10,6
2020-07-16,6,10
2020-07-17,4,8
2020-07-18,8,12
2020-07-19,4,18
2020-07-20,14,14
2020-07-21,6,12
2020-07-22,4,8
2020-07-23,2,14
2020-07-24,14,8
2020-07-25,0,16
2020-07-26,6,14
2020-07-27,6,14
2020-07-28,2,12
2020-07-29,2,12
