FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-17,2,0
2020-03-20,1,0
2020-03-24,0,1
2020-03-25,1,0
2020-03-28,0,2
2020-03-30,2,0
2020-03-31,1,0
2020-04-01,0,3
2020-04-02,2,2
2020-04-03,2,4
2020-04-04,1,2
2020-04-05,1,3
2020-04-06,4,2
2020-04-08,2,0
2020-04-09,4,5
2020-04-10,0,2
2020-04-11,2,0
2020-04-12,6,1
2020-04-13,4,3
2020-04-14,3,9
2020-04-15,2,0
2020-04-16,1,6
2020-04-17,0,2
2020-04-18,0,4
2020-04-19,4,1
2020-04-20,2,1
2020-04-21,3,6
2020-04-22,6,5
2020-04-23,6,2
2020-04-24,3,6
2020-04-25,10,6
2020-04-26,5,4
2020-04-27,1,3
2020-04-28,6,11
2020-04-29,0,7
2020-04-30,5,16
2020-05-01,6,12
2020-05-02,5,7
2020-05-03,5,14
2020-05-04,5,16
2020-05-05,6,12
2020-05-06,8,11
2020-05-07,4,16
2020-05-08,16,8
2020-05-09,2,4
2020-05-10,0,12
2020-05-11,6,27
2020-05-12,0,10
2020-05-13,8,10
2020-05-14,14,9
2020-05-15,14,14
2020-05-16,2,17
2020-05-17,4,7
2020-05-18,7,20
2020-05-19,6,24
2020-05-20,12,21
2020-05-21,8,11
2020-05-22,15,21
2020-05-23,6,12
2020-05-24,8,28
2020-05-25,21,29
2020-05-26,10,26
2020-05-27,7,21
2020-05-28,11,18
2020-05-29,18,35
2020-05-30,16,20
2020-05-31,22,32
2020-06-01,18,41
2020-06-02,17,18
2020-06-03,32,33
2020-06-04,14,34
2020-06-05,11,28
2020-06-06,11,44
2020-06-07,23,40
2020-06-08,20,36
2020-06-09,22,24
2020-06-10,20,50
2020-06-11,23,31
2020-06-12,19,19
2020-06-13,20,38
2020-06-14,14,48
2020-06-15,15,21
2020-06-16,26,34
2020-06-17,14,44
2020-06-18,18,41
2020-06-19,27,16
2020-06-20,32,38
2020-06-21,25,33
2020-06-22,17,34
2020-06-23,12,41
2020-06-24,12,35
2020-06-25,21,30
2020-06-26,20,20
2020-06-27,14,30
2020-06-28,20,27
2020-06-29,11,29
2020-06-30,4,44
2020-07-01,20,53
2020-07-02,12,22
2020-07-03,23,38
2020-07-04,16,61
2020-07-05,14,41
2020-07-06,28,29
2020-07-07,26,47
2020-07-08,20,27
2020-07-09,19,45
2020-07-10,13,46
2020-07-11,24,35
2020-07-12,30,23
2020-07-13,33,36
2020-07-14,25,35
2020-07-15,22,49
2020-07-16,19,24
2020-07-17,16,44
2020-07-18,28,26
2020-07-19,24,26
2020-07-20,22,35
2020-07-21,22,26
2020-07-22,24,22
2020-07-23,14,31
2020-07-24,16,31
2020-07-25,11,24
2020-07-26,14,25
2020-07-27,27,34
2020-07-28,26,29
2020-07-29,17,24
2020-07-30,18,26
2020-07-31,18,27
2020-08-01,17,44
2020-08-02,15,18
2020-08-03,23,50
2020-08-04,25,40
2020-08-05,24,29
2020-08-06,20,36
2020-08-07,18,31
2020-08-08,19,12
2020-08-09,23,26
2020-08-10,17,32
2020-08-11,18,24
2020-08-12,18,21
2020-08-13,16,22
2020-08-14,18,23
2020-08-15,14,22
2020-08-16,15,25
2020-08-17,21,33
2020-08-18,16,28
2020-08-19,14,16
2020-08-20,20,28
2020-08-21,13,27
2020-08-22,8,21
2020-08-23,6,28
2020-08-24,10,41
2020-08-25,12,18
2020-08-26,13,23
2020-08-27,18,21
2020-08-28,12,17
2020-08-29,16,8
2020-08-30,18,11
2020-08-31,6,8
2020-09-01,9,19
2020-09-02,17,14
2020-09-03,23,15
2020-09-04,12,14
2020-09-05,12,8
2020-09-06,14,13
2020-09-07,7,12
2020-09-08,8,11
2020-09-09,8,23
2020-09-10,6,22
2020-09-11,15,18
2020-09-12,8,13
2020-09-13,11,7
2020-09-14,4,15
2020-09-15,6,15
2020-09-16,4,16
2020-09-17,10,11
2020-09-18,6,10
2020-09-19,6,5
2020-09-20,8,18
2020-09-21,4,4
2020-09-22,10,9
2020-09-23,8,12
2020-09-24,20,14
2020-09-25,14,14
2020-09-26,10,10
2020-09-27,2,3
2020-09-28,6,8
2020-09-29,5,10
2020-09-30,3,12
2020-10-01,4,6
2020-10-02,6,8
2020-10-03,6,2
2020-10-04,9,6
2020-10-05,2,14
2020-10-06,6,8
2020-10-07,3,4
2020-10-08,8,6
2020-10-09,4,11
2020-10-10,2,4
2020-10-11,0,2
2020-10-12,6,12
2020-10-13,2,4
2020-10-14,4,1
2020-10-15,4,8
2020-10-16,0,8
2020-10-17,4,3
2020-10-18,4,8
2020-10-19,8,7
2020-10-20,4,8
2020-10-21,7,2
2020-10-22,2,2
2020-10-23,4,8
2020-10-24,4,5
2020-10-25,2,3
2020-10-26,9,5
2020-10-27,2,5
2020-10-28,0,4
2020-10-29,4,10
2020-10-30,1,9
2020-10-31,2,1
2020-11-01,5,4
2020-11-02,2,12
2020-11-03,4,1
2020-11-04,4,2
2020-11-05,1,3
2020-11-06,1,2
2020-11-07,3,3
2020-11-08,1,4
2020-11-09,0,3
2020-11-10,0,7
2020-11-11,2,7
2020-11-12,4,4
2020-11-13,3,1
2020-11-14,5,6
2020-11-15,3,4
2020-11-16,8,4
2020-11-17,0,7
2020-11-18,0,7
2020-11-19,1,3
2020-11-20,2,5
2020-11-21,4,6
2020-11-22,5,4
2020-11-23,4,3
2020-11-24,6,5
2020-11-25,4,4
2020-11-26,0,6
2020-11-27,2,2
2020-11-28,6,4
2020-11-29,3,4
2020-11-30,3,6
2020-12-01,3,8
2020-12-02,4,9
2020-12-03,2,7
2020-12-05,0,2
2020-12-06,3,4
2020-12-07,3,1
2020-12-08,0,2
2020-12-09,5,5
2020-12-10,0,2
2020-12-11,5,5
2020-12-12,3,4
2020-12-13,8,1
2020-12-14,2,4
2020-12-15,3,3
2020-12-16,5,11
2020-12-17,5,9
2020-12-18,6,7
2020-12-19,2,8
2020-12-20,2,11
2020-12-21,1,5
2020-12-22,6,10
2020-12-23,10,9
2020-12-24,4,7
2020-12-25,6,6
2020-12-26,2,10
2020-12-27,7,5
2020-12-28,2,12
2020-12-29,4,4
2020-12-30,4,9
2020-12-31,4,6
2021-01-01,5,6
2021-01-02,7,12
2021-01-03,8,3
2021-01-04,8,0
2021-01-05,1,8
2021-01-06,13,8
2021-01-07,1,16
2021-01-08,13,9
2021-01-09,12,4
2021-01-10,7,3
2021-01-11,9,5
2021-01-12,10,5
2021-01-13,8,23
2021-01-14,3,4
2021-01-15,9,5
2021-01-16,20,14
2021-01-17,6,15
2021-01-18,19,13
2021-01-19,19,18
2021-01-20,10,7
2021-01-21,19,11
2021-01-22,11,25
2021-01-23,24,20
2021-01-24,9,20
2021-01-25,24,21
2021-01-26,18,31
2021-01-27,22,23
2021-01-28,26,31
2021-01-29,25,37
2021-01-30,25,34
2021-01-31,23,40
2021-02-01,18,26
2021-02-02,19,42
2021-02-03,28,33
2021-02-04,16,41
2021-02-05,26,39
2021-02-06,18,31
2021-02-07,34,34
2021-02-08,22,37
2021-02-09,36,32
2021-02-10,28,35
2021-02-11,45,28
2021-02-12,42,39
2021-02-13,23,18
2021-02-14,25,31
2021-02-15,39,31
2021-02-16,30,52
2021-02-17,17,42
2021-02-18,24,35
2021-02-19,29,25
2021-02-20,25,36
2021-02-21,16,40
2021-02-22,15,35
2021-02-23,10,25
2021-02-24,18,23
2021-02-25,24,27
2021-02-26,27,35
2021-02-27,23,29
2021-02-28,23,32
2021-03-01,11,33
2021-03-02,21,21
2021-03-03,21,27
2021-03-04,25,26
2021-03-05,16,29
2021-03-06,21,17
2021-03-07,12,15
2021-03-08,9,20
2021-03-09,26,33
2021-03-10,15,21
2021-03-11,18,21
2021-03-12,18,18
2021-03-13,33,23
2021-03-14,17,18
2021-03-15,15,17
2021-03-16,20,16
2021-03-17,16,21
2021-03-18,22,19
2021-03-19,14,22
2021-03-20,19,16
2021-03-21,13,11
2021-03-22,14,15
2021-03-23,14,16
2021-03-24,16,25
2021-03-25,12,14
2021-03-26,24,17
2021-03-27,20,16
2021-03-28,20,29
2021-03-29,12,19
2021-03-30,14,21
2021-03-31,14,22
2021-04-01,23,26
2021-04-02,10,15
2021-04-03,24,12
2021-04-04,18,25
2021-04-05,26,31
2021-04-06,8,17
2021-04-07,36,22
2021-04-08,30,29
2021-04-09,20,21
2021-04-10,29,27
2021-04-11,25,15
2021-04-12,14,13
2021-04-13,21,22
2021-04-14,18,18
2021-04-15,18,18
2021-04-16,15,39
2021-04-17,16,23
2021-04-18,12,19
2021-04-19,12,22
2021-04-20,13,27
2021-04-21,36,34
2021-04-22,24,32
2021-04-23,23,35
2021-04-24,21,26
2021-04-25,33,12
2021-04-26,28,24
2021-04-27,19,34
2021-04-28,26,23
2021-04-29,16,31
2021-04-30,25,21
2021-05-01,19,28
2021-05-02,14,32
2021-05-03,28,37
2021-05-04,15,23
2021-05-05,27,29
2021-05-06,27,27
2021-05-07,17,22
2021-05-08,19,34
2021-05-09,13,32
2021-05-10,24,21
2021-05-11,32,35
2021-05-12,10,20
2021-05-13,15,15
2021-05-14,13,25
2021-05-15,16,18
2021-05-16,18,21
2021-05-17,10,20
2021-05-18,17,18
2021-05-19,19,24
2021-05-20,17,22
2021-05-21,8,15
2021-05-22,7,15
2021-05-23,10,9
2021-05-24,24,19
2021-05-25,27,11
2021-05-26,12,20
2021-05-27,13,13
2021-05-28,22,19
2021-05-29,16,13
2021-05-30,17,20
2021-05-31,16,15
2021-06-01,9,24
2021-06-02,10,19
2021-06-03,18,13
2021-06-04,11,20
2021-06-05,7,14
2021-06-06,12,10
2021-06-07,8,8
2021-06-08,4,13
2021-06-09,5,10
2021-06-10,6,12
2021-06-11,13,16
2021-06-12,7,13
2021-06-13,4,20
2021-06-14,6,2
2021-06-15,9,16
2021-06-16,13,19
2021-06-17,18,4
2021-06-18,5,19
2021-06-19,10,13
2021-06-20,3,6
2021-06-21,14,3
2021-06-22,8,9
2021-06-23,9,8
2021-06-24,11,13
2021-06-25,7,6
2021-06-26,12,13
2021-06-27,2,1
2021-06-28,11,7
2021-06-29,3,4
2021-06-30,5,5
2021-07-01,4,8
2021-07-02,5,1
2021-07-03,5,0
2021-07-04,3,7
2021-07-05,2,6
2021-07-06,3,3
2021-07-07,3,6
2021-07-08,7,6
2021-07-09,4,4
2021-07-10,4,3
2021-07-11,5,5
2021-07-12,3,7
2021-07-13,8,6
2021-07-14,4,6
2021-07-15,3,8
2021-07-16,3,5
2021-07-17,4,4
2021-07-18,6,2
2021-07-19,1,7
2021-07-20,4,4
2021-07-21,6,1
2021-07-22,4,3
2021-07-23,1,5
2021-07-24,5,2
2021-07-25,4,4
2021-07-26,0,5
2021-07-27,1,6
2021-07-28,0,3
2021-07-29,2,4
2021-07-30,0,2
2021-07-31,1,3
2021-08-01,3,2
2021-08-02,2,0
2021-08-03,1,1
2021-08-04,1,1
2021-08-05,1,1
2021-08-06,1,5
2021-08-07,6,4
2021-08-08,4,3
2021-08-09,4,3
2021-08-10,2,5
2021-08-11,0,4
2021-08-12,3,1
2021-08-13,4,2
2021-08-14,1,3
2021-08-15,3,1
2021-08-16,1,2
2021-08-17,2,1
2021-08-18,2,0
2021-08-19,2,0
2021-08-20,4,1
2021-08-21,1,2
2021-08-22,1,4
2021-08-23,1,2
2021-08-25,0,2
2021-08-26,1,1
2021-08-27,0,1
2021-08-28,1,2
2021-08-29,2,1
2021-08-30,2,0
2021-08-31,0,2
2021-09-01,2,0
2021-09-02,2,1
2021-09-03,1,1
2021-09-04,1,0
2021-09-05,1,1
2021-09-06,0,3
2021-09-07,2,0
2021-09-08,1,2
2021-09-09,1,1
2021-09-10,0,2
2021-09-11,0,1
2021-09-12,1,1
2021-09-14,1,0
2021-09-15,2,1
2021-09-20,0,2
2021-09-21,0,1
2021-09-22,0,2
2021-09-23,3,1
2021-09-24,1,3
2021-09-25,0,1
2021-09-26,0,1
2021-09-28,0,1
2021-09-29,1,1
2021-10-02,1,2
2021-10-03,0,1
2021-10-04,2,2
2021-10-05,0,1
2021-10-06,0,1
2021-10-07,2,2
2021-10-09,1,0
2021-10-10,1,0
2021-10-12,1,2
2021-10-13,0,2
2021-10-14,1,0
2021-10-15,0,1
2021-10-17,0,1
2021-10-18,0,1
2021-10-19,3,1
2021-10-20,2,1
2021-10-23,3,0
2021-10-25,0,2
2021-10-27,1,1
2021-10-28,1,1
2021-10-29,0,1
2021-10-30,1,0
2021-11-01,0,1
2021-11-04,0,1
2021-11-05,1,2
2021-11-06,2,1
2021-11-07,0,3
2021-11-08,0,1
2021-11-09,1,1
2021-11-10,1,1
2021-11-11,1,1
2021-11-12,1,0
2021-11-13,1,0
2021-11-14,0,1
2021-11-15,0,2
2021-11-16,0,2
2021-11-17,1,0
2021-11-18,1,1
2021-11-20,1,1
2021-11-21,0,1
2021-11-22,0,1
2021-11-23,0,2
2021-11-24,1,1
2021-11-25,2,1
2021-11-26,0,1
2021-11-29,2,1
2021-11-30,1,3
2021-12-02,1,0
2021-12-04,1,0
2021-12-05,1,0
2021-12-06,0,1
2021-12-07,1,0
