FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-17,1,0
2020-03-30,0,1
2020-04-04,0,1
2020-04-05,0,2
2020-04-08,1,3
2020-04-09,0,2
2020-04-10,1,1
2020-04-12,2,0
2020-04-13,0,3
2020-04-14,1,2
2020-04-16,0,1
2020-04-18,1,1
2020-04-19,2,1
2020-04-21,0,1
2020-04-22,0,1
2020-04-23,1,1
2020-04-24,0,1
2020-04-25,1,2
2020-04-26,0,3
2020-04-27,3,1
2020-04-28,0,1
2020-05-01,0,2
2020-05-02,0,3
2020-05-03,0,1
2020-05-04,4,4
2020-05-05,0,2
2020-05-06,0,1
2020-05-08,0,8
2020-05-09,4,3
2020-05-10,0,9
2020-05-11,0,2
2020-05-12,1,3
2020-05-13,1,3
2020-05-15,2,4
2020-05-16,1,4
2020-05-17,3,7
2020-05-18,1,3
2020-05-19,0,2
2020-05-20,1,2
2020-05-21,2,3
2020-05-22,1,3
2020-05-23,2,2
2020-05-24,1,5
2020-05-25,1,2
2020-05-26,0,8
2020-05-27,2,2
2020-05-28,1,2
2020-05-29,4,6
2020-05-30,1,5
2020-05-31,0,2
2020-06-01,1,5
2020-06-02,1,2
2020-06-03,0,4
2020-06-04,0,3
2020-06-05,1,2
2020-06-06,2,2
2020-06-07,0,2
2020-06-08,1,3
2020-06-09,2,4
2020-06-10,3,3
2020-06-11,0,3
2020-06-12,1,5
2020-06-13,5,5
2020-06-14,4,7
2020-06-15,3,3
2020-06-16,3,5
2020-06-17,1,9
2020-06-18,4,4
2020-06-19,4,7
2020-06-20,1,3
2020-06-21,1,8
2020-06-22,3,6
2020-06-23,1,6
2020-06-24,5,11
2020-06-25,1,3
2020-06-26,6,4
2020-06-27,7,6
2020-06-28,6,5
2020-06-29,4,4
2020-06-30,6,12
2020-07-01,3,12
2020-07-02,4,9
2020-07-03,5,14
2020-07-04,10,11
2020-07-05,9,15
2020-07-06,5,22
2020-07-07,5,19
2020-07-08,10,8
2020-07-09,10,16
2020-07-10,4,19
2020-07-11,8,14
2020-07-12,5,18
2020-07-13,12,19
2020-07-14,7,21
2020-07-15,7,16
2020-07-16,7,16
2020-07-17,9,23
2020-07-18,11,15
2020-07-19,5,21
2020-07-20,8,15
2020-07-21,0,2
