FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-24,1,0
2020-03-26,0,1
2020-03-30,1,0
2020-03-31,0,1
2020-04-02,0,1
2020-04-04,1,1
2020-04-05,1,0
2020-04-06,1,2
2020-04-08,1,1
2020-04-09,1,0
2020-04-11,0,1
2020-04-12,2,1
2020-04-13,0,1
2020-04-14,1,3
2020-04-15,2,1
2020-04-16,2,0
2020-04-17,1,2
2020-04-18,0,2
2020-04-19,0,3
2020-04-20,2,2
2020-04-21,0,1
2020-04-22,0,3
2020-04-23,1,6
2020-04-24,1,1
2020-04-25,0,1
2020-04-26,4,5
2020-04-27,1,2
2020-04-28,2,8
2020-04-29,2,1
2020-04-30,1,4
2020-05-01,0,6
2020-05-02,0,8
2020-05-03,0,6
2020-05-04,2,2
2020-05-05,1,3
2020-05-06,3,7
2020-05-07,3,4
2020-05-08,1,7
2020-05-09,1,9
2020-05-10,0,2
2020-05-11,5,7
2020-05-12,2,7
2020-05-13,1,3
2020-05-14,3,9
2020-05-15,4,4
2020-05-16,3,8
2020-05-17,1,2
2020-05-18,1,8
2020-05-19,5,9
2020-05-20,5,9
2020-05-21,3,8
2020-05-22,0,12
2020-05-23,9,10
2020-05-24,3,11
2020-05-25,5,11
2020-05-26,4,11
2020-05-27,2,28
2020-05-28,10,12
2020-05-29,9,12
2020-05-30,4,26
2020-05-31,13,21
2020-06-01,10,20
2020-06-02,10,21
2020-06-03,12,24
2020-06-04,15,27
2020-06-05,16,36
2020-06-06,13,26
2020-06-07,16,24
2020-06-08,13,31
2020-06-09,16,46
2020-06-10,13,24
2020-06-11,12,31
2020-06-12,10,31
2020-06-13,30,31
2020-06-14,22,32
2020-06-15,20,36
2020-06-16,18,42
2020-06-17,15,27
2020-06-18,17,35
2020-06-19,13,32
2020-06-20,12,41
2020-06-21,15,38
2020-06-22,20,46
2020-06-23,16,31
2020-06-24,26,33
2020-06-25,19,35
2020-06-26,15,22
2020-06-27,16,34
2020-06-28,20,35
2020-06-29,19,36
2020-06-30,15,44
2020-07-01,13,27
2020-07-02,21,22
2020-07-03,16,38
2020-07-04,17,32
2020-07-05,17,35
2020-07-06,15,42
2020-07-07,22,29
2020-07-08,17,28
2020-07-09,10,30
2020-07-10,20,37
2020-07-11,12,29
2020-07-12,16,27
2020-07-13,16,37
2020-07-14,15,30
2020-07-15,16,27
2020-07-16,14,29
2020-07-17,8,25
2020-07-18,10,32
2020-07-19,11,39
2020-07-20,11,16
2020-07-21,6,5
