FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-20,0,1
2020-03-21,0,2
2020-03-26,0,1
2020-03-29,1,0
2020-03-30,2,0
2020-04-03,0,1
2020-04-04,1,3
2020-04-05,1,1
2020-04-06,0,3
2020-04-07,1,0
2020-04-08,1,1
2020-04-09,1,4
2020-04-10,1,4
2020-04-11,1,7
2020-04-12,2,3
2020-04-13,0,6
2020-04-14,3,7
2020-04-15,4,2
2020-04-16,8,5
2020-04-17,4,8
2020-04-18,4,9
2020-04-19,5,7
2020-04-20,2,6
2020-04-21,3,6
2020-04-22,5,11
2020-04-23,3,16
2020-04-24,4,9
2020-04-25,4,13
2020-04-26,7,10
2020-04-27,7,16
2020-04-28,3,14
2020-04-29,4,4
2020-04-30,4,12
2020-05-01,3,19
2020-05-02,6,16
2020-05-03,8,17
2020-05-04,2,11
2020-05-05,8,13
2020-05-06,3,13
2020-05-07,9,14
2020-05-08,5,13
2020-05-09,8,10
2020-05-10,8,12
2020-05-11,6,13
2020-05-12,9,6
2020-05-13,6,10
2020-05-14,5,15
2020-05-15,6,8
2020-05-16,3,9
2020-05-17,5,17
2020-05-18,9,13
2020-05-19,5,9
2020-05-20,0,8
2020-05-21,4,8
2020-05-22,11,14
2020-05-23,3,12
2020-05-24,5,10
2020-05-25,5,7
2020-05-26,6,12
2020-05-27,6,8
2020-05-28,7,11
2020-05-29,6,17
2020-05-30,3,8
2020-05-31,4,12
2020-06-01,6,13
2020-06-02,4,16
2020-06-03,3,7
2020-06-04,4,18
2020-06-05,3,8
2020-06-06,2,3
2020-06-07,3,6
2020-06-08,6,10
2020-06-09,1,14
2020-06-10,4,10
2020-06-11,9,9
2020-06-12,6,8
2020-06-13,1,6
2020-06-14,6,8
2020-06-15,4,6
2020-06-16,4,5
2020-06-17,7,6
2020-06-18,3,7
2020-06-19,8,10
2020-06-20,3,8
2020-06-21,2,3
2020-06-22,0,4
2020-06-23,3,5
2020-06-24,3,11
2020-06-25,5,5
2020-06-26,1,5
2020-06-27,3,5
2020-06-28,2,3
2020-06-29,2,9
2020-06-30,4,7
2020-07-01,2,9
2020-07-02,4,4
2020-07-03,4,4
2020-07-04,1,4
2020-07-05,5,9
2020-07-06,2,7
2020-07-07,2,3
2020-07-08,0,6
2020-07-09,3,3
2020-07-10,3,8
2020-07-11,3,6
2020-07-12,3,2
2020-07-13,1,6
2020-07-14,4,10
2020-07-15,3,4
2020-07-16,3,7
2020-07-17,5,8
2020-07-18,5,6
2020-07-19,6,9
2020-07-20,2,3
2020-07-21,6,4
2020-07-22,5,6
2020-07-23,3,4
2020-07-24,5,7
2020-07-25,6,3
2020-07-26,6,6
2020-07-27,3,5
2020-07-28,8,5
2020-07-29,5,3
2020-07-30,6,6
2020-07-31,4,2
2020-08-01,2,4
2020-08-02,5,8
2020-08-03,4,4
2020-08-04,3,4
2020-08-05,8,6
2020-08-06,2,1
2020-08-07,1,8
2020-08-08,3,2
2020-08-09,4,5
2020-08-10,3,9
2020-08-11,2,5
2020-08-12,5,6
2020-08-13,2,3
2020-08-14,8,6
2020-08-15,2,1
2020-08-16,6,3
2020-08-17,5,4
2020-08-18,7,8
2020-08-19,4,5
2020-08-20,4,4
2020-08-21,2,4
2020-08-22,4,3
2020-08-23,5,6
2020-08-24,3,2
2020-08-25,0,4
2020-08-26,2,6
2020-08-27,7,9
2020-08-28,2,3
2020-08-29,4,1
2020-08-30,3,5
2020-08-31,5,2
2020-09-01,2,3
2020-09-02,7,6
2020-09-03,3,6
2020-09-04,6,4
2020-09-05,3,4
2020-09-06,4,9
2020-09-07,1,6
2020-09-08,3,5
2020-09-09,2,3
2020-09-10,4,6
2020-09-11,6,3
2020-09-12,4,3
2020-09-13,4,2
2020-09-14,3,3
2020-09-15,4,2
2020-09-16,2,0
2020-09-17,5,2
2020-09-18,4,4
2020-09-19,1,2
2020-09-20,6,1
2020-09-21,0,4
2020-09-22,3,6
2020-09-23,1,10
2020-09-24,3,4
2020-09-25,4,2
2020-09-26,3,2
2020-09-27,3,1
2020-09-28,3,2
2020-09-29,1,4
2020-09-30,2,0
2020-10-01,3,1
2020-10-02,1,10
2020-10-03,2,3
2020-10-04,1,1
2020-10-05,3,3
2020-10-06,3,1
2020-10-07,7,5
2020-10-08,4,4
2020-10-09,3,2
2020-10-10,4,6
2020-10-11,4,2
2020-10-12,5,2
2020-10-13,3,5
2020-10-14,2,4
2020-10-15,3,1
2020-10-16,2,6
2020-10-17,5,2
2020-10-18,4,5
2020-10-19,1,8
2020-10-20,2,2
2020-10-21,1,4
2020-10-22,1,5
2020-10-23,3,2
2020-10-24,3,1
2020-10-25,1,0
2020-10-26,6,4
2020-10-27,1,1
2020-10-28,5,6
2020-10-29,1,2
2020-10-30,4,2
2020-11-01,2,2
2020-11-02,1,5
2020-11-03,2,0
2020-11-04,2,2
2020-11-05,1,1
2020-11-06,4,1
2020-11-07,4,3
2020-11-08,3,2
2020-11-09,2,3
2020-11-10,2,3
2020-11-11,1,2
2020-11-12,2,2
2020-11-13,0,2
2020-11-14,1,3
2020-11-15,1,2
2020-11-16,2,5
2020-11-17,2,1
2020-11-18,4,4
2020-11-19,2,4
2020-11-20,2,2
2020-11-21,0,2
2020-11-22,0,2
2020-11-23,1,5
2020-11-24,2,3
2020-11-25,1,5
2020-11-26,0,5
2020-11-27,1,4
2020-11-28,2,2
2020-11-29,0,2
2020-11-30,2,2
2020-12-01,3,2
2020-12-02,1,3
2020-12-03,1,2
2020-12-04,1,5
2020-12-05,2,5
2020-12-06,2,2
2020-12-07,2,3
2020-12-08,1,4
2020-12-09,2,2
2020-12-10,2,6
2020-12-11,1,4
2020-12-12,4,4
2020-12-13,2,2
2020-12-14,0,3
2020-12-15,0,4
2020-12-16,1,3
2020-12-17,1,3
2020-12-18,1,3
2020-12-19,2,3
2020-12-20,2,3
2020-12-21,1,6
2020-12-22,0,6
2020-12-23,2,1
2020-12-24,2,1
2020-12-25,1,3
2020-12-26,1,4
2020-12-27,0,5
2020-12-28,1,1
2020-12-29,1,10
2020-12-30,1,8
2020-12-31,1,2
2021-01-01,0,4
2021-01-02,8,1
2021-01-03,0,1
2021-01-04,3,5
2021-01-05,2,3
2021-01-06,2,1
2021-01-07,0,1
2021-01-08,0,5
2021-01-09,3,1
2021-01-10,5,5
2021-01-11,1,4
2021-01-12,2,5
2021-01-13,3,3
2021-01-14,2,2
2021-01-15,4,6
2021-01-16,2,5
2021-01-17,1,6
2021-01-18,2,5
2021-01-19,3,6
2021-01-20,1,4
2021-01-21,4,3
2021-01-22,1,3
2021-01-23,0,7
2021-01-24,6,5
2021-01-25,4,10
2021-01-26,3,3
2021-01-27,2,6
2021-01-28,2,3
2021-01-29,4,5
2021-01-30,5,1
2021-01-31,6,4
