FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-07,2,0
2020-03-14,0,2
2020-03-17,0,2
2020-03-18,0,2
2020-03-20,2,0
2020-03-22,0,2
2020-03-24,2,2
2020-03-25,2,2
2020-03-27,2,0
2020-03-29,2,4
2020-03-30,0,4
2020-03-31,0,2
2020-04-01,0,2
2020-04-02,0,2
2020-04-03,0,2
2020-04-05,4,6
2020-04-06,0,2
2020-04-07,0,2
2020-04-08,0,4
2020-04-09,4,0
2020-04-10,6,8
2020-04-11,0,4
2020-04-12,2,10
2020-04-14,4,6
2020-04-15,2,6
2020-04-16,2,4
2020-04-17,2,12
2020-04-18,12,8
2020-04-19,4,16
2020-04-20,6,12
2020-04-21,14,26
2020-04-22,20,30
2020-04-23,20,42
2020-04-24,16,64
2020-04-25,24,64
2020-04-26,22,56
2020-04-27,38,44
2020-04-28,34,82
2020-04-29,28,74
2020-04-30,44,68
2020-05-01,30,70
2020-05-02,48,78
2020-05-03,64,94
2020-05-04,48,110
2020-05-05,62,132
2020-05-06,36,134
2020-05-07,26,88
2020-05-08,52,128
2020-05-09,42,94
2020-05-10,38,98
2020-05-11,36,104
2020-05-12,50,56
2020-05-13,46,54
2020-05-14,28,72
2020-05-15,40,56
2020-05-16,10,70
2020-05-17,36,50
2020-05-18,30,64
2020-05-19,26,38
2020-05-20,14,32
2020-05-21,18,48
2020-05-22,24,40
2020-05-23,20,44
2020-05-24,16,32
2020-05-25,18,44
2020-05-26,26,20
2020-05-27,18,24
2020-05-28,16,36
2020-05-29,10,28
2020-05-30,12,26
2020-05-31,12,26
2020-06-01,12,44
2020-06-02,2,18
2020-06-03,6,16
2020-06-04,6,32
2020-06-05,14,32
2020-06-06,14,12
2020-06-07,8,14
2020-06-08,6,42
2020-06-09,22,24
2020-06-10,14,26
2020-06-11,6,22
2020-06-12,18,16
2020-06-13,12,8
2020-06-14,10,18
2020-06-15,8,20
2020-06-16,6,16
2020-06-17,6,24
2020-06-18,10,24
2020-06-19,14,6
2020-06-20,6,10
2020-06-21,8,8
2020-06-22,6,18
2020-06-23,4,12
2020-06-24,6,10
2020-06-25,4,12
2020-06-26,10,16
2020-06-27,6,24
2020-06-28,6,16
2020-06-29,4,8
2020-06-30,2,12
2020-07-01,6,4
2020-07-02,8,10
2020-07-03,6,4
2020-07-04,0,18
2020-07-05,6,8
2020-07-06,6,16
2020-07-07,6,10
2020-07-08,6,4
2020-07-09,8,6
2020-07-10,4,14
2020-07-11,10,8
2020-07-12,4,0
2020-07-13,4,2
2020-07-14,2,14
2020-07-15,6,4
2020-07-16,0,8
2020-07-17,6,20
2020-07-18,6,10
2020-07-19,2,6
2020-07-20,8,10
2020-07-21,4,6
2020-07-22,8,2
2020-07-23,4,6
2020-07-24,0,10
2020-07-25,4,4
2020-07-26,6,8
2020-07-27,2,8
2020-07-28,6,6
2020-07-29,2,4
2020-07-30,8,4
2020-07-31,4,2
2020-08-01,10,4
2020-08-02,6,10
2020-08-03,2,14
2020-08-04,2,8
2020-08-05,4,8
2020-08-06,8,16
2020-08-07,2,6
2020-08-08,4,10
2020-08-09,8,0
2020-08-10,2,6
2020-08-11,4,4
2020-08-12,0,2
2020-08-13,4,4
2020-08-14,6,6
2020-08-15,2,0
2020-08-16,10,4
2020-08-17,4,4
2020-08-18,0,4
2020-08-19,2,6
2020-08-20,2,0
2020-08-21,4,6
2020-08-22,0,4
2020-08-23,6,6
2020-08-24,4,4
2020-08-25,4,4
2020-08-26,0,6
2020-08-27,4,8
2020-08-28,0,6
2020-08-29,2,4
2020-08-30,2,2
2020-08-31,0,4
2020-09-02,0,4
2020-09-03,0,2
2020-09-04,2,4
2020-09-05,2,2
2020-09-06,0,8
2020-09-07,4,0
2020-09-08,2,4
2020-09-09,2,2
2020-09-10,0,4
2020-09-11,0,4
2020-09-12,2,2
2020-09-14,0,2
2020-09-15,0,4
2020-09-17,0,6
2020-09-18,2,2
2020-09-19,2,2
2020-09-21,2,4
2020-09-23,0,2
2020-09-24,0,4
2020-09-26,4,0
2020-09-29,2,2
2020-10-01,2,0
2020-10-02,0,2
2020-10-05,0,4
2020-10-06,6,2
2020-10-07,2,2
2020-10-08,0,2
2020-10-09,2,2
2020-10-11,4,2
2020-10-12,0,4
2020-10-14,6,0
2020-10-15,2,2
2020-10-16,4,0
2020-10-17,0,2
2020-10-18,0,2
2020-10-19,6,4
2020-10-20,0,2
2020-10-21,0,4
2020-10-22,2,2
2020-10-23,0,2
2020-10-24,2,2
2020-10-25,4,0
2020-10-30,2,0
2020-11-01,0,2
2020-11-02,0,2
2020-11-05,2,2
2020-11-06,0,4
2020-11-07,2,2
2020-11-08,2,4
2020-11-10,0,4
2020-11-11,0,2
2020-11-13,0,2
2020-11-14,4,0
2020-11-16,0,2
2020-11-17,2,0
2020-11-18,0,2
2020-11-19,2,0
2020-11-20,2,2
2020-11-21,0,2
2020-11-22,0,2
2020-11-24,2,2
2020-11-25,0,2
2020-11-26,0,2
2020-11-30,0,4
2020-12-03,2,2
2020-12-06,0,4
2020-12-07,0,2
2020-12-09,2,4
2020-12-12,0,2
2020-12-13,2,0
2020-12-14,0,2
2020-12-16,0,2
2020-12-17,2,0
2020-12-18,0,4
2020-12-20,0,2
2020-12-23,2,0
2020-12-25,0,2
2020-12-26,0,2
2020-12-27,2,0
2020-12-28,2,2
2020-12-29,0,2
2020-12-31,4,2
2021-01-02,0,4
2021-01-06,2,0
2021-01-07,2,4
2021-01-10,2,6
2021-01-11,4,0
2021-01-12,4,0
2021-01-14,0,2
2021-01-15,2,6
2021-01-16,2,0
2021-01-17,0,10
2021-01-18,2,4
2021-01-19,4,2
2021-01-20,4,4
2021-01-21,4,4
2021-01-23,2,6
2021-01-24,6,4
2021-01-25,8,10
2021-01-26,6,4
2021-01-27,4,12
2021-01-28,4,8
2021-01-29,8,12
2021-01-30,6,8
2021-01-31,8,8
2021-02-01,8,28
2021-02-02,6,6
2021-02-03,6,10
2021-02-04,6,12
2021-02-05,18,12
2021-02-06,6,16
2021-02-07,10,10
2021-02-08,14,18
2021-02-09,6,22
2021-02-10,14,16
2021-02-11,24,18
2021-02-12,22,22
2021-02-13,24,16
2021-02-14,10,28
2021-02-15,30,24
2021-02-16,18,26
2021-02-17,16,34
2021-02-18,10,20
2021-02-19,16,34
2021-02-20,14,48
2021-02-21,22,28
2021-02-22,10,22
2021-02-23,20,32
2021-02-24,28,26
2021-02-25,6,20
2021-02-26,16,14
2021-02-27,16,26
2021-02-28,24,18
2021-03-01,14,28
2021-03-02,14,24
2021-03-03,12,20
2021-03-04,14,20
2021-03-05,16,24
2021-03-06,10,8
2021-03-07,14,16
2021-03-08,12,20
2021-03-09,18,16
2021-03-10,8,18
2021-03-11,6,22
2021-03-12,4,14
2021-03-13,16,16
2021-03-14,8,14
2021-03-15,12,14
2021-03-16,6,22
2021-03-17,2,12
2021-03-18,4,20
2021-03-19,16,10
2021-03-20,10,0
2021-03-21,8,14
2021-03-22,10,20
2021-03-23,8,12
2021-03-24,12,6
2021-03-25,6,18
2021-03-26,8,10
2021-03-27,0,12
2021-03-28,4,12
2021-03-29,2,10
2021-03-30,6,14
2021-03-31,6,8
2021-04-01,0,6
2021-04-02,8,4
2021-04-03,8,6
2021-04-04,4,4
2021-04-05,2,8
2021-04-06,4,8
2021-04-07,0,2
2021-04-08,4,0
2021-04-09,6,4
2021-04-10,4,14
2021-04-11,0,8
2021-04-12,6,8
2021-04-13,4,14
2021-04-14,4,8
2021-04-15,0,2
2021-04-16,6,10
2021-04-17,4,2
2021-04-18,10,10
2021-04-19,4,8
2021-04-20,6,6
2021-04-21,6,4
2021-04-22,2,2
2021-04-23,6,8
2021-04-24,4,12
2021-04-25,0,2
2021-04-26,0,6
2021-04-27,0,4
2021-04-28,2,6
2021-04-29,0,6
2021-04-30,4,4
2021-05-01,2,2
2021-05-02,2,4
2021-05-03,4,8
2021-05-04,2,0
2021-05-05,4,0
2021-05-06,0,4
2021-05-07,2,2
2021-05-08,6,4
2021-05-09,2,0
2021-05-10,2,6
2021-05-11,4,4
2021-05-12,6,4
2021-05-13,0,4
2021-05-14,0,2
2021-05-15,6,4
2021-05-16,2,2
2021-05-17,2,2
2021-05-18,4,8
2021-05-19,4,4
2021-05-20,0,2
2021-05-21,0,2
2021-05-23,0,6
2021-05-24,4,0
2021-05-25,4,0
2021-05-26,2,2
2021-05-27,2,8
2021-05-28,6,2
2021-05-29,0,4
2021-05-30,2,0
2021-05-31,4,0
2021-06-01,0,6
2021-06-03,4,4
2021-06-04,2,0
2021-06-05,0,2
2021-06-07,2,6
2021-06-08,0,4
2021-06-09,2,2
2021-06-10,2,4
2021-06-11,2,0
2021-06-12,8,6
2021-06-13,4,2
2021-06-14,0,4
2021-06-15,2,0
2021-06-16,8,2
2021-06-18,2,2
2021-06-19,2,2
2021-06-20,0,2
2021-06-21,0,2
2021-06-23,2,10
2021-06-24,0,2
2021-06-25,4,0
2021-06-26,0,2
2021-06-28,0,4
2021-06-29,2,0
2021-06-30,8,4
2021-07-01,6,10
2021-07-02,6,4
2021-07-03,2,4
2021-07-04,6,4
2021-07-05,2,6
2021-07-06,2,2
2021-07-07,4,0
2021-07-08,8,2
