FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-23,1,0
2020-05-06,1,0
2020-05-09,0,1
2020-05-13,0,1
2020-05-20,1,0
2020-05-21,0,1
2020-05-31,0,1
2020-06-01,1,0
2020-06-04,0,2
2020-06-05,0,3
2020-06-07,0,1
2020-06-08,0,2
2020-06-09,0,1
2020-06-10,2,1
2020-06-11,0,1
2020-06-12,1,1
2020-06-13,2,0
2020-06-14,1,3
2020-06-15,0,2
2020-06-16,1,1
2020-06-17,0,1
2020-06-18,0,2
2020-06-19,0,3
2020-06-20,0,1
2020-06-21,3,2
2020-06-22,1,1
2020-06-23,0,2
2020-06-24,0,4
2020-06-26,1,1
2020-06-27,0,1
2020-06-28,0,1
2020-06-29,0,3
2020-06-30,2,1
2020-07-01,1,5
2020-07-02,0,1
2020-07-03,0,3
2020-07-04,1,2
2020-07-05,4,2
2020-07-06,1,2
2020-07-07,1,3
2020-07-08,1,3
2020-07-09,0,2
2020-07-10,1,1
2020-07-11,0,2
2020-07-12,0,3
2020-07-13,1,1
2020-07-14,1,3
2020-07-15,1,1
2020-07-16,0,5
2020-07-17,1,1
2020-07-18,1,1
2020-07-19,0,3
2020-07-20,0,2
2020-07-21,0,3
2020-07-22,0,1
2020-07-24,0,2
2020-07-25,0,1
2020-07-27,0,2
2020-07-28,0,3
2020-07-29,0,1
2020-07-30,0,3
2020-07-31,0,2
2020-08-01,1,0
2020-08-02,1,2
2020-08-03,0,3
2020-08-06,2,1
2020-08-07,1,4
2020-08-09,0,2
2020-08-10,0,3
2020-08-11,1,1
2020-08-13,2,0
2020-08-14,0,1
2020-08-15,1,1
2020-08-16,0,1
2020-08-17,1,0
2020-08-18,0,2
2020-08-24,1,1
2020-08-27,0,3
2020-08-28,1,0
2020-08-29,0,1
2020-08-31,0,1
2020-09-02,0,1
2020-09-03,0,2
2020-09-09,1,0
2020-09-10,0,1
2020-09-12,0,1
2020-09-16,0,2
2020-09-17,0,1
2020-09-21,0,1
2020-09-26,1,0
2020-09-27,1,0
2020-09-28,0,1
2020-09-30,1,0
2020-10-03,0,1
2020-10-08,1,0
2020-10-18,0,1
2020-10-26,1,0
2020-10-28,0,1
2020-10-30,1,1
2020-11-05,1,1
2020-11-07,0,1
2020-11-13,0,1
2020-11-19,1,0
2020-12-20,0,1
2020-12-22,0,1
2020-12-25,0,1
2020-12-29,0,1
2020-12-30,1,0
2021-01-08,2,0
2021-01-13,0,1
2021-01-17,1,0
2021-01-18,1,1
2021-01-20,1,2
2021-01-21,1,0
2021-01-23,0,1
2021-01-24,0,2
2021-01-25,1,0
2021-01-26,1,0
2021-01-31,1,0
2021-02-03,0,1
2021-02-04,1,0
2021-02-05,0,1
2021-02-11,1,1
2021-02-12,1,1
2021-02-14,0,1
2021-02-16,0,1
2021-02-20,1,0
2021-02-22,1,0
2021-02-24,1,1
2021-02-25,0,1
2021-02-27,1,1
2021-03-03,0,1
2021-03-08,0,1
2021-03-09,0,1
2021-03-10,0,2
2021-03-13,0,1
2021-03-14,1,0
2021-03-17,1,2
2021-03-18,0,2
2021-03-20,0,1
2021-03-21,0,1
2021-03-22,0,1
2021-03-23,2,1
2021-03-24,1,1
2021-03-25,1,2
2021-03-26,1,3
2021-03-27,1,1
2021-03-28,0,1
2021-03-30,0,2
2021-03-31,0,1
2021-04-01,2,0
2021-04-02,1,3
2021-04-03,2,1
2021-04-04,3,1
2021-04-05,0,1
2021-04-06,0,2
2021-04-07,1,1
2021-04-08,2,2
2021-04-09,0,2
2021-04-11,1,0
2021-04-12,0,2
2021-04-13,2,2
2021-04-14,2,2
2021-04-15,0,2
2021-04-16,0,2
2021-04-17,0,1
2021-04-18,1,2
2021-04-19,0,1
2021-04-21,1,1
2021-04-22,1,1
2021-04-24,0,1
2021-04-25,0,1
2021-04-26,1,1
2021-04-27,0,1
2021-04-30,1,0
2021-05-04,0,1
2021-05-08,0,1
2021-05-14,0,1
2021-05-16,1,0
2021-05-18,0,1
2021-05-20,0,1
2021-05-23,0,2
2021-05-28,0,1
2021-06-02,0,2
2021-06-07,0,1
2021-06-08,0,1
2021-06-10,0,1
2021-06-20,1,1
2021-06-29,0,1
2021-07-09,0,1
2021-07-15,0,1
2021-07-20,1,0
2021-07-27,0,1
2021-08-06,0,1
2021-08-11,0,1
2021-08-18,0,1
2021-08-21,1,0
2021-09-07,0,1
2021-09-20,0,1
2021-09-21,0,1
2021-10-23,0,1
2021-11-18,0,1
2021-11-28,0,1
2021-12-28,0,1
2022-01-11,1,0
2022-01-12,0,1
2022-01-14,0,1
2022-01-19,0,1
2022-01-22,0,1
2022-01-25,0,2
2022-01-27,1,1
2022-01-28,1,3
2022-01-29,0,1
2022-02-05,0,1
2022-02-06,1,0
2022-02-10,1,0
2022-02-11,2,1
2022-02-12,0,1
2022-02-15,2,1
2022-02-22,0,1
2022-02-24,0,1
2022-02-25,1,1
2022-02-26,0,1
2022-02-28,0,1
2022-03-03,1,0
2022-03-05,0,1
2022-03-07,0,1
2022-03-08,1,0
2022-03-14,0,2
2022-03-28,1,0
2022-04-12,0,2
2022-04-20,1,0
2022-05-04,1,0
2022-05-11,0,1
2022-05-23,1,0
2022-06-23,0,1
2022-08-04,0,1
2022-08-05,0,1
2022-08-15,0,1
2022-08-17,1,0
2022-08-19,1,0
2022-09-07,1,0
2022-09-11,0,1
2022-09-13,0,1
2022-10-02,0,1
2022-10-09,0,1
2022-11-22,0,1
2023-02-27,1,0
2023-03-04,0,1
2023-04-29,1,0
2023-07-04,0,1
