FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-04-08,0,1
2020-04-17,2,0
2020-04-24,0,1
2020-04-30,1,0
2020-05-01,2,2
2020-05-02,0,3
2020-05-05,0,1
2020-05-06,2,0
2020-05-09,1,0
2020-05-14,0,2
2020-05-17,4,0
2020-05-20,0,3
2020-05-21,2,2
2020-05-22,0,2
2020-05-28,0,1
2020-05-29,2,1
2020-06-01,2,0
2020-06-02,0,2
2020-06-03,0,1
2020-06-04,1,0
2020-06-05,0,1
2020-06-07,0,2
2020-06-08,1,0
2020-06-09,2,0
2020-06-10,0,1
2020-06-14,0,4
2020-06-15,2,0
2020-06-16,0,2
2020-06-18,0,2
2020-06-20,2,3
2020-06-21,2,6
2020-06-25,4,0
2020-06-29,2,0
2020-06-30,4,0
2020-07-02,0,2
2020-07-03,0,4
2020-07-04,0,2
2020-07-05,0,2
2020-07-06,2,4
2020-07-07,2,0
2020-07-08,0,6
2020-07-09,3,0
2020-07-10,1,0
2020-07-11,0,6
2020-07-12,5,4
2020-07-13,2,4
2020-07-14,1,7
2020-07-15,2,4
2020-07-16,0,5
2020-07-17,1,2
2020-07-18,2,0
2020-07-19,0,2
2020-07-20,0,2
2020-07-21,0,4
2020-07-23,2,4
2020-07-24,3,4
2020-07-25,4,3
2020-07-26,0,3
2020-07-27,0,1
2020-07-28,0,2
2020-07-29,0,2
2020-07-30,3,3
2020-08-01,6,0
2020-08-03,2,5
2020-08-04,0,7
2020-08-05,2,0
2020-08-06,2,2
2020-08-07,5,4
2020-08-08,1,3
2020-08-09,4,2
2020-08-10,2,4
2020-08-11,0,6
2020-08-12,6,4
2020-08-13,2,2
2020-08-14,2,2
2020-08-15,0,2
2020-08-18,6,6
2020-08-19,2,4
2020-08-20,2,3
2020-08-21,0,4
2020-08-22,4,3
2020-08-23,11,6
2020-08-24,1,7
2020-08-25,2,2
2020-08-26,0,4
2020-08-27,0,4
2020-08-28,0,8
2020-08-29,2,0
2020-08-30,2,1
2020-08-31,0,5
2020-09-01,2,2
2020-09-02,2,1
2020-09-03,0,2
2020-09-04,6,2
2020-09-05,2,4
2020-09-06,0,4
2020-09-07,0,2
2020-09-08,3,3
2020-09-09,0,4
2020-09-10,0,2
2020-09-13,0,1
2020-09-15,2,4
2020-09-16,2,6
2020-09-17,0,2
2020-09-18,0,2
2020-09-19,2,2
2020-09-20,2,4
2020-09-21,2,3
2020-09-22,3,0
2020-09-24,0,3
2020-09-26,2,0
2020-09-27,4,4
2020-09-28,0,4
2020-09-29,1,1
2020-09-30,2,0
2020-10-03,1,0
2020-10-04,0,2
2020-10-06,0,2
2020-10-07,0,1
2020-10-08,2,0
2020-10-09,2,0
2020-10-10,3,0
2020-10-14,0,2
2020-10-17,2,0
2020-10-18,1,0
2020-10-23,1,0
2020-10-27,2,0
2020-10-29,0,4
2020-11-02,0,1
2020-11-03,1,1
2020-11-04,4,0
2020-11-09,2,0
2020-11-10,0,2
2020-11-14,0,2
2020-11-22,0,2
2020-11-23,0,2
2020-11-24,2,0
2020-11-25,2,2
2020-11-26,0,1
2020-11-27,0,1
2020-11-28,2,1
2020-11-29,0,1
2020-11-30,1,2
2020-12-01,1,0
2020-12-02,2,0
2020-12-04,2,2
2020-12-08,1,4
2020-12-11,4,0
2020-12-12,2,0
2020-12-13,0,4
2020-12-14,2,0
2020-12-18,1,2
2020-12-20,0,2
2020-12-21,1,1
2020-12-23,0,2
2020-12-24,2,4
2020-12-25,0,3
2020-12-26,1,2
2020-12-29,2,1
2020-12-31,0,5
2021-01-02,3,3
2021-01-03,2,0
2021-01-04,0,2
2021-01-05,4,0
2021-01-06,2,1
2021-01-07,2,4
2021-01-08,4,2
2021-01-09,0,2
2021-01-10,0,3
2021-01-11,0,10
2021-01-12,2,8
2021-01-13,6,5
2021-01-14,0,2
2021-01-15,0,6
2021-01-16,6,14
2021-01-17,9,7
2021-01-18,2,7
2021-01-19,6,8
2021-01-20,2,9
2021-01-21,2,8
2021-01-22,6,5
2021-01-23,1,5
2021-01-24,0,5
2021-01-25,2,0
2021-01-26,2,3
2021-01-27,4,3
2021-01-28,2,9
2021-01-29,2,5
2021-01-30,4,6
2021-01-31,2,0
2021-02-01,6,3
2021-02-02,2,2
2021-02-03,1,3
2021-02-04,3,8
2021-02-05,4,0
2021-02-06,0,5
2021-02-07,2,6
2021-02-09,2,3
2021-02-10,5,5
2021-02-11,1,7
2021-02-12,5,4
2021-02-13,8,2
2021-02-14,6,5
2021-02-15,0,5
2021-02-16,0,3
2021-02-17,4,1
2021-02-19,4,5
2021-02-20,3,3
2021-02-21,2,3
2021-02-22,0,4
2021-02-23,0,2
2021-02-24,0,6
2021-02-25,2,6
2021-02-26,6,5
2021-02-27,1,1
2021-02-28,0,3
2021-03-01,2,2
2021-03-02,2,3
2021-03-03,5,0
2021-03-04,0,2
2021-03-05,2,0
2021-03-06,0,1
2021-03-07,0,1
2021-03-08,2,1
2021-03-09,0,3
2021-03-10,0,7
2021-03-11,3,3
2021-03-12,0,2
2021-03-13,2,4
2021-03-14,2,3
2021-03-15,4,2
2021-03-16,4,0
2021-03-17,1,2
2021-03-18,4,3
2021-03-19,8,2
2021-03-20,0,1
2021-03-21,2,0
2021-03-22,3,1
2021-03-23,3,2
2021-03-24,3,0
2021-03-25,2,1
2021-03-26,0,3
2021-03-27,0,2
2021-03-28,4,3
2021-03-29,8,4
2021-03-30,4,1
2021-03-31,4,2
2021-04-01,3,6
2021-04-02,0,1
2021-04-03,4,3
2021-04-04,4,0
2021-04-05,2,2
2021-04-06,2,8
2021-04-07,0,1
2021-04-08,2,1
2021-04-09,5,4
2021-04-10,4,8
2021-04-11,9,5
2021-04-12,6,6
2021-04-13,2,0
2021-04-14,4,5
2021-04-15,2,0
2021-04-16,5,2
2021-04-17,2,3
2021-04-18,2,4
2021-04-19,6,2
2021-04-20,2,3
2021-04-21,2,4
2021-04-22,2,1
2021-04-23,5,6
2021-04-24,5,1
2021-04-25,3,1
2021-04-26,2,4
2021-04-27,1,2
2021-04-28,2,1
2021-04-29,6,4
2021-04-30,0,3
2021-05-01,1,5
2021-05-02,4,4
2021-05-03,4,5
2021-05-04,2,2
2021-05-05,2,5
2021-05-06,2,6
2021-05-07,2,6
2021-05-08,2,0
2021-05-09,4,3
2021-05-10,5,6
2021-05-11,13,1
2021-05-12,4,0
2021-05-13,6,4
2021-05-14,2,3
2021-05-15,0,3
2021-05-16,10,7
2021-05-17,4,3
2021-05-18,2,4
2021-05-19,2,4
2021-05-20,0,3
2021-05-21,2,3
2021-05-22,2,3
2021-05-23,7,4
2021-05-25,2,5
2021-05-26,6,0
2021-05-27,6,6
2021-05-28,7,3
2021-05-29,6,0
2021-05-30,0,2
2021-05-31,4,8
2021-06-01,8,7
2021-06-02,5,3
2021-06-03,0,2
2021-06-04,3,1
2021-06-05,0,1
2021-06-06,2,2
2021-06-07,2,2
2021-06-08,1,1
2021-06-09,2,0
2021-06-10,2,0
2021-06-11,4,6
2021-06-12,2,1
2021-06-14,3,0
2021-06-16,1,1
2021-06-17,2,0
2021-06-18,0,1
2021-06-19,3,2
2021-06-20,2,4
2021-06-21,2,1
2021-06-22,3,4
2021-06-24,4,0
2021-06-25,0,2
2021-06-26,2,0
2021-06-27,0,1
2021-06-28,1,1
2021-06-29,3,0
2021-06-30,2,2
2021-07-01,3,1
2021-07-05,0,1
2021-07-06,0,1
2021-07-07,1,0
2021-07-10,0,1
2021-07-11,0,1
2021-07-12,1,2
2021-07-13,0,1
2021-07-14,0,1
2021-07-16,1,1
2021-07-17,0,1
2021-07-18,0,3
2021-07-20,1,0
2021-07-21,0,1
2021-07-22,1,1
2021-07-23,1,0
2021-07-25,0,1
2021-07-26,0,1
2021-07-28,1,1
2021-07-29,0,1
2021-07-30,1,1
2021-07-31,0,1
2021-08-02,0,1
2021-08-09,1,0
2021-08-12,2,1
2021-08-13,1,0
2021-08-15,0,1
2021-08-18,0,3
2021-08-20,0,1
2021-08-23,0,1
2021-08-24,0,1
2021-08-27,2,1
2021-08-30,0,1
2021-09-10,1,0
2021-09-16,0,1
2021-09-20,1,0
2021-09-21,1,0
2021-09-27,1,0
2021-09-29,1,0
2021-10-06,1,0
2021-10-08,0,1
2021-10-11,1,0
2021-10-16,1,0
2021-10-17,1,0
2021-11-04,0,1
2021-11-09,0,1
2021-11-11,0,1
2021-11-13,1,0
2021-11-14,0,1
2021-11-21,1,0
2021-12-02,1,0
2021-12-06,0,1
2021-12-09,1,1
2021-12-14,1,1
2021-12-19,0,1
2021-12-26,1,0
2021-12-27,0,1
2021-12-31,0,1
2022-01-14,1,0
2022-01-20,0,1
2022-01-21,1,0
2022-01-23,1,1
2022-01-25,1,0
2022-01-28,1,0
2022-01-30,1,1
2022-02-01,1,1
2022-02-02,1,0
2022-02-04,0,1
2022-02-05,0,1
2022-02-07,1,0
2022-02-09,1,1
2022-02-10,0,2
2022-02-11,1,1
2022-02-12,0,1
