FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-11,2,0
2020-03-21,0,2
2020-03-22,0,2
2020-03-25,2,0
2020-03-29,0,2
2020-04-02,2,0
2020-04-03,2,2
2020-04-04,4,6
2020-04-05,4,0
2020-04-06,2,4
2020-04-07,2,4
2020-04-08,2,4
2020-04-09,2,2
2020-04-10,8,10
2020-04-11,2,6
2020-04-12,2,6
2020-04-13,8,10
2020-04-14,2,12
2020-04-15,8,14
2020-04-16,12,12
2020-04-17,6,14
2020-04-18,4,24
2020-04-19,14,22
2020-04-20,6,30
2020-04-21,6,22
2020-04-22,14,20
2020-04-23,14,20
2020-04-24,20,22
2020-04-25,8,44
2020-04-26,10,40
2020-04-27,18,30
2020-04-28,10,48
2020-04-29,28,50
2020-04-30,10,68
2020-05-01,24,32
2020-05-02,28,58
2020-05-03,24,60
2020-05-04,16,64
2020-05-05,36,68
2020-05-06,36,78
2020-05-07,34,82
2020-05-08,38,74
2020-05-09,44,76
2020-05-10,46,68
2020-05-11,38,78
2020-05-12,30,74
2020-05-13,34,102
2020-05-14,50,82
2020-05-15,46,112
2020-05-16,34,98
2020-05-17,40,88
2020-05-18,60,102
2020-05-19,58,116
2020-05-20,26,116
2020-05-21,36,96
2020-05-22,38,96
2020-05-23,44,98
2020-05-24,44,108
2020-05-25,32,124
2020-05-26,36,88
2020-05-27,40,100
2020-05-28,40,78
2020-05-29,44,108
2020-05-30,44,88
2020-05-31,48,76
2020-06-01,44,94
2020-06-02,38,80
2020-06-03,30,76
2020-06-04,22,62
2020-06-05,22,82
2020-06-06,32,74
2020-06-07,28,90
2020-06-08,46,64
2020-06-09,24,60
2020-06-10,36,62
2020-06-11,22,58
2020-06-12,24,62
2020-06-13,34,62
2020-06-14,20,78
2020-06-15,28,52
2020-06-16,28,48
2020-06-17,34,50
2020-06-18,36,30
2020-06-19,34,68
2020-06-20,26,62
2020-06-21,18,44
2020-06-22,28,42
2020-06-23,20,52
2020-06-24,30,42
2020-06-25,16,54
2020-06-26,20,32
2020-06-27,24,52
2020-06-28,18,34
2020-06-29,18,34
2020-06-30,16,46
2020-07-01,18,36
2020-07-02,38,42
2020-07-03,4,52
2020-07-04,18,44
2020-07-05,18,28
2020-07-06,14,34
2020-07-07,14,20
2020-07-08,20,34
2020-07-09,20,26
2020-07-10,6,18
2020-07-11,14,32
2020-07-12,16,24
2020-07-13,16,48
2020-07-14,14,30
2020-07-15,16,34
2020-07-16,16,32
2020-07-17,4,24
2020-07-18,16,28
2020-07-19,10,28
2020-07-20,26,28
2020-07-21,16,20
2020-07-22,12,18
2020-07-23,16,18
2020-07-24,10,28
2020-07-25,16,16
2020-07-26,20,20
2020-07-27,8,20
2020-07-28,14,10
2020-07-29,10,20
2020-07-30,8,28
2020-07-31,12,26
2020-08-01,22,40
2020-08-02,20,20
2020-08-03,18,14
2020-08-04,16,26
2020-08-05,16,32
2020-08-06,16,18
2020-08-07,10,28
2020-08-08,18,24
2020-08-09,20,20
2020-08-10,22,36
2020-08-11,20,24
2020-08-12,14,22
2020-08-13,30,40
2020-08-14,18,42
2020-08-15,22,24
2020-08-16,12,26
2020-08-17,20,20
2020-08-18,24,24
2020-08-19,14,22
2020-08-20,22,24
2020-08-21,20,30
2020-08-22,18,20
2020-08-23,14,30
2020-08-24,14,34
2020-08-25,24,30
2020-08-26,26,20
2020-08-27,18,26
2020-08-28,20,12
2020-08-29,20,20
2020-08-30,22,24
2020-08-31,14,22
2020-09-01,10,26
2020-09-02,10,18
2020-09-03,14,22
2020-09-04,20,24
2020-09-05,12,22
2020-09-06,16,22
2020-09-07,18,30
2020-09-08,8,14
2020-09-09,14,10
2020-09-10,14,24
2020-09-11,12,16
2020-09-12,10,26
2020-09-13,12,20
2020-09-14,14,22
2020-09-15,12,24
2020-09-16,14,22
2020-09-17,16,14
2020-09-18,16,10
2020-09-19,12,18
2020-09-20,14,8
2020-09-21,8,10
2020-09-22,20,22
2020-09-23,8,14
2020-09-24,14,4
2020-09-25,6,12
2020-09-26,12,14
2020-09-27,6,12
2020-09-28,16,16
2020-09-29,18,10
2020-09-30,4,14
2020-10-01,8,18
2020-10-02,10,14
2020-10-03,8,18
2020-10-04,8,14
2020-10-05,8,2
2020-10-06,10,10
2020-10-07,2,14
2020-10-08,10,10
2020-10-09,8,18
2020-10-10,8,6
2020-10-11,10,18
2020-10-12,4,20
2020-10-13,6,8
2020-10-14,8,6
2020-10-15,2,8
2020-10-16,4,12
2020-10-17,14,12
2020-10-18,4,12
2020-10-19,10,6
2020-10-20,8,10
2020-10-21,4,14
2020-10-22,6,12
2020-10-23,4,8
2020-10-24,10,10
2020-10-25,4,0
2020-10-26,4,8
2020-10-27,0,8
2020-10-28,4,6
2020-10-29,2,12
2020-10-30,6,12
2020-10-31,4,8
2020-11-01,4,12
2020-11-02,6,12
2020-11-03,4,14
2020-11-04,12,8
2020-11-05,8,12
2020-11-06,12,14
2020-11-07,2,8
2020-11-08,6,6
2020-11-09,8,16
2020-11-10,2,10
2020-11-11,4,8
2020-11-12,6,10
2020-11-13,8,20
2020-11-14,6,10
2020-11-15,10,14
2020-11-16,10,14
2020-11-17,16,14
2020-11-18,16,20
2020-11-19,6,14
2020-11-20,10,10
2020-11-21,6,14
2020-11-22,10,20
2020-11-23,10,28
2020-11-24,14,12
2020-11-25,20,12
2020-11-26,14,12
2020-11-27,10,18
2020-11-28,0,20
2020-11-29,10,20
2020-11-30,12,32
2020-12-01,4,16
2020-12-02,10,30
2020-12-03,12,10
2020-12-04,20,16
2020-12-05,10,22
2020-12-06,8,24
2020-12-07,14,18
2020-12-08,12,28
2020-12-09,16,8
2020-12-10,18,20
2020-12-11,6,36
2020-12-12,14,12
2020-12-13,0,20
2020-12-14,16,24
2020-12-15,8,20
2020-12-16,14,12
2020-12-17,14,26
2020-12-18,10,10
2020-12-19,6,22
2020-12-20,4,28
2020-12-21,12,22
2020-12-22,12,10
2020-12-23,4,18
2020-12-24,10,14
2020-12-25,8,12
2020-12-26,14,16
2020-12-27,12,22
2020-12-28,14,26
2020-12-29,10,18
2020-12-30,10,24
2020-12-31,10,34
2021-01-01,12,16
2021-01-02,22,38
2021-01-03,10,12
2021-01-04,16,24
2021-01-05,12,24
2021-01-06,10,16
2021-01-07,10,20
2021-01-08,18,16
2021-01-09,8,34
2021-01-10,10,22
2021-01-11,10,18
2021-01-12,20,32
2021-01-13,12,28
2021-01-14,22,20
2021-01-15,16,26
2021-01-16,10,16
2021-01-17,20,30
2021-01-18,26,22
2021-01-19,14,22
2021-01-20,20,16
2021-01-21,22,30
2021-01-22,20,24
2021-01-23,18,38
2021-01-24,18,28
2021-01-25,22,28
2021-01-26,8,22
2021-01-27,12,22
2021-01-28,24,26
2021-01-29,22,32
2021-01-30,14,24
2021-01-31,12,36
2021-02-01,14,20
2021-02-02,14,26
2021-02-03,20,22
2021-02-04,20,26
2021-02-05,22,24
2021-02-06,8,26
2021-02-07,12,26
2021-02-08,22,26
2021-02-09,18,12
2021-02-10,10,24
2021-02-11,18,34
2021-02-12,20,20
2021-02-13,16,20
2021-02-14,8,26
2021-02-15,8,16
2021-02-16,10,18
2021-02-17,20,22
2021-02-18,12,22
2021-02-19,18,16
2021-02-20,8,26
2021-02-21,14,22
2021-02-22,14,28
2021-02-23,18,20
2021-02-24,18,26
2021-02-25,8,24
2021-02-26,12,10
2021-02-27,8,22
2021-02-28,12,30
2021-03-01,24,12
2021-03-02,8,28
2021-03-03,22,24
2021-03-04,10,22
2021-03-05,16,30
2021-03-06,24,16
2021-03-07,18,16
2021-03-08,10,36
2021-03-09,18,36
2021-03-10,28,26
2021-03-11,24,26
2021-03-12,18,20
2021-03-13,14,30
2021-03-14,20,32
2021-03-15,24,38
2021-03-16,22,22
2021-03-17,16,30
2021-03-18,34,40
2021-03-19,18,26
2021-03-20,30,32
2021-03-21,26,40
2021-03-22,34,40
2021-03-23,12,42
2021-03-24,24,40
2021-03-25,30,34
2021-03-26,26,38
2021-03-27,36,50
2021-03-28,38,46
2021-03-29,30,46
2021-03-30,38,52
2021-03-31,30,44
2021-04-01,36,38
2021-04-02,30,70
2021-04-03,32,60
2021-04-04,34,74
2021-04-05,50,74
2021-04-06,60,54
2021-04-07,40,46
2021-04-08,48,62
2021-04-09,40,90
2021-04-10,58,56
2021-04-11,66,62
2021-04-12,52,62
2021-04-13,46,82
2021-04-14,60,60
2021-04-15,36,52
2021-04-16,52,96
2021-04-17,54,70
2021-04-18,46,70
2021-04-19,60,96
2021-04-20,64,96
2021-04-21,58,80
2021-04-22,68,50
2021-04-23,38,74
2021-04-24,42,84
2021-04-25,38,70
2021-04-26,38,52
2021-04-27,52,50
2021-04-28,40,70
2021-04-29,38,54
2021-04-30,42,56
2021-05-01,36,50
2021-05-02,40,82
2021-05-03,32,58
2021-05-04,30,70
2021-05-05,40,72
2021-05-06,40,30
2021-05-07,52,52
2021-05-08,28,52
2021-05-09,28,32
2021-05-10,20,58
2021-05-11,28,76
2021-05-12,40,44
2021-05-13,30,36
2021-05-14,34,46
2021-05-15,10,52
2021-05-16,34,42
2021-05-17,26,36
2021-05-18,26,26
2021-05-19,22,52
2021-05-20,16,48
2021-05-21,18,44
2021-05-22,26,38
2021-05-23,14,44
2021-05-24,20,30
2021-05-25,22,36
2021-05-26,22,32
2021-05-27,14,26
2021-05-28,24,24
2021-05-29,30,24
2021-05-30,10,46
2021-05-31,22,26
2021-06-01,10,30
2021-06-02,16,22
2021-06-03,16,28
2021-06-04,20,40
2021-06-05,14,28
2021-06-06,10,34
2021-06-07,20,20
2021-06-08,4,18
2021-06-09,16,18
2021-06-10,10,20
2021-06-11,2,24
2021-06-12,10,20
2021-06-13,12,14
2021-06-14,18,10
2021-06-15,12,22
2021-06-16,2,24
2021-06-17,6,14
2021-06-18,12,18
2021-06-19,8,16
2021-06-20,6,0
2021-06-21,10,14
2021-06-22,10,14
2021-06-23,14,10
2021-06-24,6,20
2021-06-25,6,10
2021-06-26,4,18
