FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-24,0,1
2020-04-09,1,0
2020-04-14,0,1
2020-04-20,0,1
2020-04-24,0,1
2020-04-29,0,2
2020-05-02,1,0
2020-05-03,1,1
2020-05-04,0,1
2020-05-05,0,1
2020-05-09,0,1
2020-05-15,0,1
2020-05-16,1,0
2020-05-18,1,0
2020-05-26,1,1
2020-05-30,1,0
2020-05-31,0,1
2020-06-02,0,1
2020-06-05,0,1
2020-06-06,1,0
2020-06-09,2,0
2020-06-10,1,0
2020-06-11,1,0
2020-06-12,2,0
2020-06-13,1,0
2020-06-15,1,1
2020-06-16,0,1
2020-06-17,2,2
2020-06-18,0,1
2020-06-19,1,2
2020-06-21,0,1
2020-06-22,3,1
2020-06-23,0,2
2020-06-24,0,1
2020-06-25,0,1
2020-06-26,1,0
2020-06-27,2,2
2020-06-29,0,2
2020-06-30,1,0
2020-07-01,3,2
2020-07-02,3,2
2020-07-03,0,1
2020-07-04,1,1
2020-07-05,3,1
2020-07-06,1,1
2020-07-07,1,2
2020-07-08,2,1
2020-07-09,1,1
2020-07-10,0,1
2020-07-11,1,1
2020-07-12,1,3
2020-07-13,1,1
2020-07-14,1,1
2020-07-15,2,3
2020-07-16,0,3
2020-07-17,1,4
2020-07-18,3,7
2020-07-19,1,5
2020-07-20,2,4
2020-07-21,2,0
