FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-30,0,2
2020-04-01,2,0
2020-04-03,0,2
2020-04-06,2,2
2020-04-08,0,4
2020-04-09,0,2
2020-04-10,0,2
2020-04-11,2,0
2020-04-12,0,2
2020-04-13,4,0
2020-04-15,0,2
2020-04-17,0,2
2020-04-18,2,2
2020-04-19,2,2
2020-04-20,0,2
2020-04-21,0,6
2020-04-22,0,6
2020-04-23,0,2
2020-04-24,4,4
2020-04-25,2,2
2020-04-26,0,2
2020-05-01,0,6
2020-05-02,0,4
2020-05-04,6,0
2020-05-05,4,0
2020-05-06,4,4
2020-05-07,2,4
2020-05-08,2,2
2020-05-09,4,6
2020-05-10,0,2
2020-05-11,4,10
2020-05-12,2,6
2020-05-13,2,6
2020-05-14,6,8
2020-05-15,6,2
2020-05-16,0,4
2020-05-17,2,2
2020-05-18,2,6
2020-05-19,0,10
2020-05-20,10,10
2020-05-21,2,14
2020-05-22,14,8
2020-05-23,2,10
2020-05-24,4,14
2020-05-25,0,8
2020-05-26,6,6
2020-05-27,4,12
2020-05-28,8,14
2020-05-29,4,10
2020-05-30,12,16
2020-05-31,4,14
2020-06-01,8,16
2020-06-02,6,28
2020-06-03,6,12
2020-06-04,10,8
2020-06-05,12,14
2020-06-06,8,14
2020-06-07,8,16
2020-06-08,10,12
2020-06-09,4,2
2020-06-10,2,14
2020-06-11,8,4
2020-06-12,2,6
2020-06-13,6,20
2020-06-14,2,14
2020-06-15,6,14
2020-06-16,4,2
2020-06-17,4,4
2020-06-18,0,6
2020-06-19,4,14
2020-06-20,4,10
2020-06-21,4,14
2020-06-22,6,14
2020-06-23,4,6
2020-06-24,0,4
2020-06-25,12,10
2020-06-26,0,12
2020-06-27,2,4
2020-06-28,8,6
2020-06-29,2,14
2020-06-30,2,4
2020-07-01,4,4
2020-07-02,4,4
2020-07-03,6,0
2020-07-04,2,4
2020-07-05,6,8
2020-07-06,2,6
2020-07-07,0,6
2020-07-08,0,4
2020-07-09,4,6
2020-07-10,0,4
2020-07-11,4,4
2020-07-12,2,10
2020-07-13,2,4
2020-07-14,2,2
2020-07-15,2,4
2020-07-16,2,8
2020-07-17,2,4
2020-07-18,2,10
2020-07-19,4,2
2020-07-20,2,6
2020-07-21,0,6
2020-07-22,0,6
2020-07-23,2,4
2020-07-24,2,2
2020-07-25,2,6
2020-07-26,2,4
2020-07-27,2,2
2020-07-28,8,0
2020-07-29,2,4
2020-07-30,4,6
2020-08-01,2,2
2020-08-02,4,2
2020-08-03,2,6
2020-08-04,2,6
2020-08-05,2,4
2020-08-06,4,0
2020-08-07,0,4
2020-08-08,2,2
2020-08-09,4,0
2020-08-10,6,2
2020-08-11,4,4
2020-08-12,2,2
2020-08-13,0,4
2020-08-14,0,6
2020-08-16,4,4
2020-08-17,0,2
2020-08-18,0,2
2020-08-19,0,2
2020-08-22,2,2
2020-08-23,0,2
2020-08-24,0,4
2020-08-25,2,8
2020-08-26,4,2
2020-08-27,2,2
2020-08-28,2,4
2020-08-29,2,2
2020-08-30,0,4
2020-08-31,0,6
2020-09-01,2,6
2020-09-02,2,4
2020-09-03,0,8
2020-09-04,0,2
2020-09-05,0,2
2020-09-06,6,2
2020-09-07,2,0
2020-09-08,2,0
2020-09-09,4,4
2020-09-10,2,6
2020-09-11,2,2
2020-09-12,0,6
2020-09-13,0,2
2020-09-15,2,0
2020-09-18,2,6
2020-09-19,4,0
2020-09-21,4,0
2020-09-22,2,2
2020-09-23,0,2
2020-09-25,0,2
2020-09-26,4,6
2020-09-27,0,2
2020-09-30,0,2
2020-10-01,4,2
2020-10-02,0,2
2020-10-03,2,0
2020-10-04,0,4
2020-10-07,0,2
2020-10-09,0,2
2020-10-13,4,4
2020-10-15,2,0
2020-10-16,2,4
2020-10-17,4,4
2020-10-18,0,2
2020-10-19,4,0
2020-10-20,2,2
2020-10-21,2,2
2020-10-22,2,0
2020-10-25,0,2
2020-10-26,2,2
2020-10-28,2,6
2020-10-30,0,2
2020-10-31,4,2
2020-11-03,0,2
2020-11-04,0,2
2020-11-05,2,0
2020-11-07,6,2
2020-11-09,2,0
2020-11-10,2,0
2020-11-11,2,2
2020-11-15,0,2
2020-11-17,2,0
2020-11-20,0,4
2020-11-21,0,4
2020-11-22,0,2
2020-11-24,2,4
2020-11-25,4,2
2020-11-26,2,0
2020-11-27,2,0
2020-11-28,2,0
2020-11-29,2,0
2020-11-30,0,2
2020-12-01,0,2
2020-12-03,2,2
2020-12-05,2,0
2020-12-06,0,2
2020-12-07,2,2
2020-12-09,0,2
2020-12-10,0,4
2020-12-11,0,4
2020-12-12,2,0
2020-12-13,2,0
2020-12-14,0,2
2020-12-15,2,6
2020-12-16,0,2
2020-12-17,0,2
2020-12-18,2,2
