FECHA_FALLECIMIENTO,FEMENINO,MASCULINO
2020-03-03,0,1
2020-03-07,1,0
2020-03-11,1,0
2020-03-14,0,2
2020-03-16,2,2
2020-03-17,3,3
2020-03-18,1,4
2020-03-19,1,5
2020-03-20,2,2
2020-03-21,0,4
2020-03-22,1,4
2020-03-23,3,3
2020-03-24,2,10
2020-03-25,3,3
2020-03-26,3,5
2020-03-27,4,11
2020-03-28,4,5
2020-03-29,8,10
2020-03-30,8,17
2020-03-31,6,17
2020-04-01,8,14
2020-04-02,9,17
2020-04-03,15,34
2020-04-04,16,43
2020-04-05,17,26
2020-04-06,18,45
2020-04-07,14,34
2020-04-08,28,70
2020-04-09,30,51
2020-04-10,31,72
2020-04-11,29,64
2020-04-12,36,69
2020-04-13,28,81
2020-04-14,42,97
2020-04-15,50,83
2020-04-16,49,108
2020-04-17,45,93
2020-04-18,44,114
2020-04-19,74,130
2020-04-20,59,150
2020-04-21,55,164
2020-04-22,70,176
2020-04-23,75,171
2020-04-24,93,195
2020-04-25,78,212
2020-04-26,95,210
2020-04-27,103,210
2020-04-28,105,240
2020-04-29,105,227
2020-04-30,109,290
2020-05-01,126,282
2020-05-02,112,303
2020-05-03,135,303
2020-05-04,130,298
2020-05-05,137,320
2020-05-06,143,338
2020-05-07,122,331
2020-05-08,138,339
2020-05-09,161,356
2020-05-10,157,363
2020-05-11,142,373
2020-05-12,150,315
2020-05-13,170,348
2020-05-14,163,382
2020-05-15,179,330
2020-05-16,121,381
2020-05-17,190,344
2020-05-18,194,421
2020-05-19,163,365
2020-05-20,153,390
2020-05-21,167,360
2020-05-22,156,362
2020-05-23,173,370
2020-05-24,173,399
2020-05-25,168,412
2020-05-26,180,364
2020-05-27,175,414
2020-05-28,180,373
2020-05-29,193,440
2020-05-30,172,426
2020-05-31,184,385
2020-06-01,215,447
2020-06-02,157,383
2020-06-03,171,378
2020-06-04,195,422
2020-06-05,171,418
2020-06-06,190,422
2020-06-07,195,375
2020-06-08,196,423
2020-06-09,192,405
2020-06-10,206,411
2020-06-11,194,408
2020-06-12,185,379
2020-06-13,229,398
2020-06-14,196,402
2020-06-15,203,427
2020-06-16,208,406
2020-06-17,190,416
2020-06-18,179,346
2020-06-19,205,412
2020-06-20,189,399
2020-06-21,170,376
2020-06-22,189,352
2020-06-23,177,376
2020-06-24,183,348
2020-06-25,163,355
2020-06-26,172,355
2020-06-27,171,363
2020-06-28,173,365
2020-06-29,170,329
2020-06-30,168,389
2020-07-01,185,348
2020-07-02,182,354
2020-07-03,175,393
2020-07-04,174,350
2020-07-05,197,385
2020-07-06,186,374
2020-07-07,183,360
2020-07-08,185,386
2020-07-09,179,343
2020-07-10,194,385
2020-07-11,196,386
2020-07-12,194,397
2020-07-13,207,391
2020-07-14,200,397
2020-07-15,204,413
2020-07-16,193,379
2020-07-17,194,405
2020-07-18,208,392
2020-07-19,201,391
2020-07-20,246,384
2020-07-21,212,389
2020-07-22,233,385
2020-07-23,200,419
2020-07-24,216,365
2020-07-25,215,402
2020-07-26,229,395
2020-07-27,247,410
2020-07-28,233,384
2020-07-29,204,385
2020-07-30,231,373
2020-07-31,236,398
2020-08-01,257,414
2020-08-02,214,365
2020-08-03,250,413
2020-08-04,237,421
2020-08-05,258,345
2020-08-06,263,367
2020-08-07,254,414
2020-08-08,269,384
2020-08-09,241,344
2020-08-10,250,385
2020-08-11,235,353
2020-08-12,258,365
2020-08-13,250,405
2020-08-14,268,383
2020-08-15,239,347
2020-08-16,207,344
2020-08-17,221,393
2020-08-18,236,340
2020-08-19,231,286
2020-08-20,211,295
2020-08-21,224,297
2020-08-22,216,298
2020-08-23,203,322
2020-08-24,195,319
2020-08-25,210,315
2020-08-26,176,270
2020-08-27,211,281
2020-08-28,190,296
2020-08-29,176,251
2020-08-30,168,217
2020-08-31,166,262
2020-09-01,142,235
2020-09-02,146,254
2020-09-03,152,208
2020-09-04,150,216
2020-09-05,147,214
2020-09-06,141,213
2020-09-07,126,207
2020-09-08,124,197
2020-09-09,135,188
2020-09-10,139,165
2020-09-11,127,167
2020-09-12,115,176
2020-09-13,136,142
2020-09-14,109,179
2020-09-15,108,173
2020-09-16,103,157
2020-09-17,123,132
2020-09-18,98,148
2020-09-19,123,161
2020-09-20,108,133
2020-09-21,100,134
2020-09-22,108,126
2020-09-23,100,122
2020-09-24,104,110
2020-09-25,97,122
2020-09-26,107,124
2020-09-27,60,106
2020-09-28,87,112
2020-09-29,71,104
2020-09-30,72,89
2020-10-01,72,111
2020-10-02,59,104
2020-10-03,70,101
2020-10-04,73,110
2020-10-05,67,100
2020-10-06,70,105
2020-10-07,79,103
2020-10-08,61,91
2020-10-09,72,88
2020-10-10,71,82
2020-10-11,59,77
2020-10-12,61,88
2020-10-13,66,83
2020-10-14,49,86
2020-10-15,52,80
2020-10-16,64,84
2020-10-17,54,74
2020-10-18,54,70
2020-10-19,64,79
2020-10-20,47,89
2020-10-21,57,72
2020-10-22,53,60
2020-10-23,46,70
2020-10-24,47,58
2020-10-25,35,59
2020-10-26,58,66
2020-10-27,56,55
2020-10-28,45,77
2020-10-29,40,67
2020-10-30,58,69
2020-10-31,41,53
2020-11-01,45,70
2020-11-02,45,61
2020-11-03,45,52
2020-11-04,64,62
2020-11-05,47,50
2020-11-06,46,61
2020-11-07,41,50
2020-11-08,42,62
2020-11-09,44,65
2020-11-10,34,70
2020-11-11,37,56
2020-11-12,46,49
2020-11-13,38,85
2020-11-14,41,62
2020-11-15,29,41
2020-11-16,34,59
2020-11-17,46,57
2020-11-18,37,55
2020-11-19,31,51
2020-11-20,33,72
2020-11-21,47,58
2020-11-22,36,52
2020-11-23,37,64
2020-11-24,48,55
2020-11-25,34,58
2020-11-26,49,53
2020-11-27,35,53
2020-11-28,28,64
2020-11-29,29,56
2020-11-30,48,64
2020-12-01,35,68
2020-12-02,38,72
2020-12-03,33,48
2020-12-04,35,65
2020-12-05,39,53
2020-12-06,40,65
2020-12-07,44,67
2020-12-08,36,54
2020-12-09,44,56
2020-12-10,42,60
2020-12-11,42,78
2020-12-12,38,83
2020-12-13,37,69
2020-12-14,39,82
2020-12-15,35,67
2020-12-16,40,70
2020-12-17,46,86
2020-12-18,53,65
2020-12-19,42,88
2020-12-20,40,84
2020-12-21,39,81
2020-12-22,45,82
2020-12-23,59,69
2020-12-24,49,70
2020-12-25,53,71
2020-12-26,50,91
2020-12-27,46,89
2020-12-28,45,98
2020-12-29,50,74
2020-12-30,69,105
2020-12-31,52,110
2021-01-01,52,97
2021-01-02,81,116
2021-01-03,72,101
2021-01-04,84,127
2021-01-05,61,121
2021-01-06,69,110
2021-01-07,66,142
2021-01-08,90,142
2021-01-09,77,143
2021-01-10,95,162
2021-01-11,83,171
2021-01-12,93,151
2021-01-13,105,212
2021-01-14,110,164
