DEPARTAMENTO,SEXO,POBLACION,INDICE
AMAZONAS,1410,452125,312
ANCASH,7431,1189403,625
APURIMAC,1699,440629,386
AREQUIPA,10660,1488247,716
AYACUCHO,2421,658081,368
CAJAMARCA,4626,1528904,303
CALLAO,10939,1090990,1003
CUSCO,5300,1392648,381
HUANCAVELICA,1303,414882,314
HUANUCO,2990,823560,363
ICA,9153,889916,1029
JUNIN,7641,1340064,570
LA LIBERTAD,11076,1955991,566
LAMBAYEQUE,9509,1325269,718
LIMA,97430,10741923,907
LORETO,4484,1096407,409
MADRE DE DIOS,895,170503,525
MOQUEGUA,1722,190442,904
PASCO,1142,283946,402
PIURA,13247,1966703,674
PUNO,4857,1221523,398
SAN MARTIN,3255,920842,353
TACNA,2277,365771,623
TUMBES,1764,235194,750
UCAYALI,3313,597287,555
