FECHA_RESULTADO,AG,PCR,PR
2020-03-06,0,1,0
2020-03-07,0,6,0
2020-03-08,0,8,0
2020-03-09,0,11,0
2020-03-10,0,12,0
2020-03-11,0,20,0
2020-03-12,0,28,0
2020-03-13,0,38,0
2020-03-14,0,57,0
2020-03-15,0,85,0
2020-03-16,0,105,0
2020-03-17,0,132,0
2020-03-18,0,188,0
2020-03-19,0,250,0
2020-03-20,0,306,0
2020-03-21,0,336,0
2020-03-22,0,375,0
2020-03-23,0,408,0
2020-03-24,0,472,0
2020-03-25,0,572,0
2020-03-26,0,624,0
2020-03-27,0,658,0
2020-03-28,0,794,0
2020-03-29,0,935,2
2020-03-30,0,1042,25
2020-03-31,0,1287,30
2020-04-01,0,1381,54
2020-04-02,0,1552,105
2020-04-03,0,1718,232
2020-04-04,0,2247,540
2020-04-05,0,2529,703
2020-04-06,0,2920,965
2020-04-07,0,3570,1359
2020-04-08,1,4091,1923
2020-04-09,1,4521,2313
2020-04-10,1,5216,2659
2020-04-11,1,5720,3563
2020-04-12,1,6087,3941
2020-04-13,1,6481,4844
2020-04-14,1,6769,5613
2020-04-15,1,7211,6574
2020-04-16,1,7645,7483
2020-04-17,1,7918,8339
2020-04-18,1,8371,9313
2020-04-19,1,8888,9891
2020-04-20,1,9419,11420
2020-04-21,1,9975,13059
2020-04-22,1,10712,14448
2020-04-23,1,11333,15908
2020-04-24,1,11875,17635
2020-04-25,1,12564,19362
2020-04-26,1,12986,20379
2020-04-27,1,13585,23207
2020-04-28,1,14237,25957
2020-04-29,1,14856,29583
2020-04-30,1,15372,32443
2020-05-01,1,15997,34459
2020-05-02,1,16549,37285
2020-05-03,1,17105,38652
2020-05-04,1,17554,42201
2020-05-05,1,18390,45359
2020-05-06,1,19381,48041
2020-05-07,1,20247,50793
2020-05-08,1,20869,53472
2020-05-09,1,21625,55195
2020-05-10,1,21826,55932
2020-05-11,1,22526,58839
2020-05-12,1,23636,62080
2020-05-13,1,24515,65651
2020-05-14,1,25161,68746
2020-05-15,1,26152,72081
2020-05-16,1,27164,75206
2020-05-17,2,27863,76295
2020-05-18,2,28646,80648
2020-05-19,2,29570,84932
2020-05-20,3,30261,89549
2020-05-21,3,30738,94608
2020-05-22,3,31715,99754
2020-05-23,3,32629,104259
2020-05-24,3,33015,105668
2020-05-25,3,33587,112098
2020-05-26,3,34457,118238
2020-05-27,3,35545,124542
2020-05-28,3,36682,129881
2020-05-29,3,37528,134811
2020-05-30,3,38490,138539
2020-05-31,3,39451,139869
2020-06-01,4,39909,143746
2020-06-02,4,40760,146761
2020-06-03,4,41452,148742
2020-06-04,4,42336,151985
2020-06-05,4,44011,155388
2020-06-06,5,45984,158235
2020-06-07,5,47247,159625
2020-06-08,5,48152,163538
2020-06-09,5,49443,167661
2020-06-10,5,50582,172329
2020-06-11,6,52100,178217
2020-06-12,7,53798,182188
2020-06-13,7,54963,185566
2020-06-14,7,55817,187172
2020-06-15,7,57061,190395
2020-06-16,7,58183,192762
2020-06-17,7,59386,195612
2020-06-18,7,60198,198349
2020-06-19,7,60772,201413
2020-06-20,7,62056,203755
2020-06-21,7,62642,204647
2020-06-22,7,63792,207971
2020-06-23,7,65353,210289
2020-06-24,7,66913,212977
2020-06-25,7,68533,215678
2020-06-26,7,69607,219130
2020-06-27,7,70658,221759
2020-06-28,7,71224,222829
2020-06-29,7,72154,224709
2020-06-30,7,73047,227811
2020-07-01,7,74115,230593
2020-07-02,7,75063,233248
2020-07-03,7,75902,236524
2020-07-04,7,76821,239261
2020-07-05,7,77900,240551
2020-07-06,7,79226,243179
2020-07-07,7,80900,245801
2020-07-08,7,81729,247787
2020-07-09,7,82869,249346
2020-07-10,7,83731,253651
2020-07-11,7,85072,256748
2020-07-12,7,86024,258251
2020-07-13,7,87488,260109
2020-07-14,7,89456,262582
2020-07-15,8,91402,265296
2020-07-16,8,93468,267996
2020-07-17,8,95141,271751
2020-07-18,8,96479,275749
2020-07-19,8,97410,277240
2020-07-20,8,98841,280087
2020-07-21,8,100101,284138
2020-07-22,8,101704,288862
2020-07-23,8,103334,293101
2020-07-24,8,104978,297714
2020-07-25,8,106155,302411
2020-07-26,8,107421,304218
2020-07-27,8,108733,310291
2020-07-28,8,109474,312721
2020-07-29,9,110747,318363
2020-07-30,9,111946,324803
2020-07-31,10,113325,331506
2020-08-01,10,114860,337113
2020-08-02,10,115997,339364
2020-08-03,10,117335,346287
2020-08-04,10,118988,352804
2020-08-05,10,120511,359203
2020-08-06,10,122169,366649
2020-08-07,10,123114,373687
2020-08-08,10,124488,379497
2020-08-09,10,125605,382126
2020-08-10,11,126619,389714
2020-08-11,11,128556,397160
2020-08-12,12,130962,404518
2020-08-13,13,132999,412109
2020-08-14,14,135317,420273
2020-08-15,15,137627,427427
2020-08-16,15,139152,429773
2020-08-17,15,141198,437450
2020-08-18,16,143279,444742
2020-08-19,17,145604,452220
2020-08-20,18,147581,460746
2020-08-21,18,149255,468040
2020-08-22,18,150729,474252
2020-08-23,18,151579,475420
2020-08-24,18,152691,482988
2020-08-25,18,153805,493041
2020-08-26,18,155655,499776
2020-08-27,18,156904,506565
2020-08-28,18,158859,513800
2020-08-29,18,159809,519363
2020-08-30,18,160708,520828
2020-08-31,18,161869,526165
2020-09-01,18,162963,531478
2020-09-02,18,164104,536845
2020-09-03,18,165192,539550
2020-09-04,18,166449,548399
2020-09-05,18,167333,551575
2020-09-06,18,167930,552860
2020-09-07,20,168989,558180
2020-09-08,20,169928,564101
2020-09-09,21,171148,569432
2020-09-10,21,172050,572523
2020-09-11,21,173167,582215
2020-09-12,22,174079,587093
2020-09-13,22,174718,588484
2020-09-14,23,175431,593873
2020-09-15,23,176151,598751
2020-09-16,24,176820,603776
2020-09-17,26,177895,609285
2020-09-18,26,178862,614725
2020-09-19,26,179749,619252
2020-09-20,26,180188,620565
2020-09-21,26,180998,624990
2020-09-22,26,181937,630289
2020-09-23,26,182915,635338
2020-09-24,26,183869,640273
2020-09-25,27,184649,645243
2020-09-26,27,185295,649538
2020-09-27,27,185905,650853
2020-09-28,31,186457,652740
2020-09-29,31,187091,655020
2020-09-30,31,187907,657276
2020-10-01,34,188576,659410
2020-10-02,34,189408,661841
2020-10-03,35,190146,663603
2020-10-04,35,190590,664393
2020-10-05,35,191094,666495
2020-10-06,36,191669,668743
2020-10-07,36,192456,671052
2020-10-08,36,193144,673612
2020-10-09,36,193982,676420
2020-10-10,36,194435,678518
2020-10-11,37,194793,679532
2020-10-12,37,195123,682505
2020-10-13,37,195718,685687
2020-10-14,38,196146,688369
2020-10-15,38,196687,690830
2020-10-16,38,197549,693758
2020-10-17,38,198036,695643
2020-10-18,38,198473,696454
2020-10-19,38,199091,698643
2020-10-20,39,199581,701187
2020-10-21,41,200360,703545
2020-10-22,41,200927,705679
2020-10-23,43,201407,707983
2020-10-24,43,201757,709721
2020-10-25,43,202045,710405
2020-10-26,44,202476,712364
2020-10-27,45,202939,714427
2020-10-28,45,203295,716167
2020-10-29,46,203754,718153
2020-10-30,46,204133,720143
2020-10-31,46,204498,721937
2020-11-01,46,204599,722729
2020-11-02,46,204987,724376
2020-11-03,47,205452,726180
2020-11-04,49,205964,727995
2020-11-05,50,206370,729662
2020-11-07,50,206709,730930
2020-11-08,51,206924,731703
2020-11-09,53,207284,733375
2020-11-10,53,207653,735039
2020-11-11,55,208042,736559
2020-11-12,58,208501,738050
2020-11-13,63,209105,739588
2020-11-14,64,209444,740670
2020-11-15,64,209763,741240
2020-11-16,65,210016,742635
2020-11-17,67,210453,744098
2020-11-18,68,210856,745287
2020-11-19,68,211359,746709
2020-11-20,68,211878,748049
2020-11-21,70,212326,748955
2020-11-22,70,212573,749484
2020-11-23,77,212717,750893
2020-11-24,78,212993,752267
2020-11-25,83,213294,753647
2020-11-26,85,213735,754871
2020-11-27,88,214230,756527
2020-11-28,90,214391,757561
2020-11-29,90,214931,758024
2020-11-30,93,215482,759148
2020-12-01,103,215941,760293
2020-12-02,109,216291,761462
2020-12-03,122,216842,762577
2020-12-04,128,217330,763596
2020-12-05,131,217731,764502
2020-12-07,137,218156,765564
2020-12-08,137,218428,766112
2020-12-09,142,218852,767504
2020-12-10,150,219292,768708
2020-12-11,161,219820,770052
2020-12-12,195,220478,770888
2020-12-13,195,221145,771310
2020-12-14,212,221513,772557
2020-12-15,222,222108,773793
2020-12-16,232,222773,775009
2020-12-17,239,223500,776208
2020-12-18,261,224137,777335
2020-12-19,276,224702,778123
2020-12-20,282,225197,778583
2020-12-21,300,225949,779686
2020-12-22,313,226830,780536
2020-12-23,339,227641,781289
2020-12-24,346,228469,781723
2020-12-25,349,229114,781962
2020-12-26,377,229792,782669
2020-12-27,380,230653,783037
2020-12-28,408,231395,784119
2020-12-29,454,232396,785133
2020-12-30,516,234362,785975
2020-12-31,569,235462,786397
2021-01-01,588,235981,786586
2021-01-02,732,237261,786825
2021-01-03,753,238686,787039
2021-01-04,1021,239508,787537
2021-01-05,1475,240867,788367
2021-01-06,2177,242676,788855
2021-01-07,2775,244430,789937
2021-01-08,3373,247432,790510
2021-01-09,3957,248602,791569
2021-01-10,4204,250390,791791
2021-01-11,5066,251227,793282
2021-01-12,5807,253970,794829
2021-01-13,6680,256421,796249
2021-01-14,7603,258119,797651
2021-01-15,8507,260782,799110
2021-01-16,9529,263049,800298
2021-01-17,9915,266347,800705
2021-01-18,11310,268591,802428
2021-01-19,12592,271282,803953
2021-01-20,13967,273246,805427
2021-01-21,15289,276176,806924
2021-01-22,16819,279328,808512
2021-01-23,18102,283083,809793
2021-01-24,18618,284560,810254
2021-01-25,20522,287126,812670
2021-01-26,22362,290026,814343
2021-01-27,24207,292545,815914
2021-01-28,26086,296023,817440
2021-01-29,28104,299143,819078
2021-01-30,29899,301833,820382
2021-01-31,30484,304551,820781
2021-02-01,33453,308175,822714
2021-02-02,36168,312347,824394
2021-02-03,39232,315243,826068
2021-02-04,42219,319161,827604
2021-02-05,45250,323236,829089
2021-02-06,47833,326681,830113
2021-02-07,48860,329453,830650
2021-02-08,52614,332125,832277
2021-02-09,56154,334887,833915
2021-02-10,59678,337840,835428
2021-02-11,63171,341097,836725
2021-02-12,66403,343496,838003
2021-02-13,69355,346501,839142
2021-02-14,70115,348025,839453
2021-02-15,74053,350196,841055
2021-02-16,77445,353390,842519
2021-02-17,80748,357171,843867
2021-02-18,83880,360076,844991
2021-02-19,86904,362603,846135
2021-02-20,89716,365217,847104
