FECHA_RESULTADO,AG,PCR,PR
2020-04-11,0,1,0
2020-04-13,0,0,2
2020-04-14,0,3,2
2020-04-16,0,0,2
2020-04-17,0,0,1
2020-04-18,0,0,3
2020-04-20,0,0,1
2020-04-21,0,0,5
2020-04-22,0,0,1
2020-04-23,0,0,2
2020-04-24,0,0,1
2020-04-25,0,1,8
2020-04-26,0,0,2
2020-04-27,0,0,5
2020-04-28,0,0,5
2020-04-29,0,0,9
2020-04-30,0,0,11
2020-05-02,0,0,2
2020-05-04,0,0,2
2020-05-05,0,0,1
2020-05-06,0,0,1
2020-05-09,0,0,1
2020-05-11,0,0,3
2020-05-12,0,0,4
2020-05-14,0,0,2
2020-05-15,0,0,2
2020-05-17,0,0,1
2020-05-18,0,0,3
2020-05-19,0,0,1
2020-05-21,0,0,3
2020-05-22,0,0,8
2020-05-23,0,0,3
2020-05-25,0,0,10
2020-05-26,0,0,2
2020-05-27,0,0,3
2020-05-28,0,0,5
2020-05-29,0,0,3
2020-05-30,0,0,6
2020-05-31,0,0,3
2020-06-01,0,0,5
2020-06-02,0,0,3
2020-06-03,0,0,3
2020-06-04,0,0,10
2020-06-05,0,0,5
2020-06-06,0,0,8
2020-06-07,0,0,2
2020-06-08,0,0,5
2020-06-09,0,0,8
2020-06-10,0,0,2
2020-06-11,0,6,19
2020-06-12,0,1,14
2020-06-13,0,0,2
2020-06-15,0,0,1
2020-06-16,0,0,1
2020-06-17,0,0,2
2020-06-18,0,1,3
2020-06-19,0,1,2
2020-06-20,0,0,13
2020-06-21,0,0,15
2020-06-22,0,0,4
2020-06-23,0,0,4
2020-06-25,0,0,3
2020-06-26,0,0,10
2020-06-27,0,0,4
2020-06-29,0,0,3
2020-06-30,0,0,1
2020-07-01,0,0,3
2020-07-02,0,0,5
2020-07-03,0,2,4
2020-07-04,0,1,2
2020-07-05,0,0,3
2020-07-06,0,0,2
2020-07-07,0,0,6
2020-07-08,0,0,2
2020-07-09,0,0,2
2020-07-10,0,0,8
2020-07-11,0,7,6
2020-07-12,0,0,1
2020-07-14,0,0,4
2020-07-15,0,2,1
2020-07-16,0,0,5
2020-07-17,0,1,2
2020-07-18,0,2,8
2020-07-20,0,2,5
2020-07-21,0,3,3
2020-07-22,0,0,8
2020-07-23,0,0,4
2020-07-24,0,4,5
2020-07-25,0,0,9
2020-07-26,0,2,1
2020-07-27,0,0,10
2020-07-28,0,0,7
2020-07-29,0,0,15
2020-07-30,0,0,23
2020-07-31,0,5,21
2020-08-01,0,0,13
2020-08-02,0,0,2
2020-08-03,0,4,28
2020-08-04,0,0,18
2020-08-05,0,5,28
2020-08-06,0,11,19
2020-08-07,0,0,23
2020-08-08,0,0,32
2020-08-09,0,2,4
2020-08-10,0,1,50
2020-08-11,0,3,52
2020-08-12,0,8,31
2020-08-13,0,7,27
2020-08-14,0,11,44
2020-08-15,0,7,12
2020-08-16,0,0,4
2020-08-17,0,6,50
2020-08-18,0,1,33
2020-08-19,0,0,25
2020-08-20,0,7,26
2020-08-21,0,1,41
2020-08-22,0,21,21
2020-08-23,0,0,5
2020-08-24,0,0,48
2020-08-25,0,6,59
2020-08-26,0,8,41
2020-08-27,0,4,27
2020-08-28,0,16,34
2020-08-29,0,3,27
2020-08-30,0,0,10
2020-08-31,0,8,48
2020-09-01,0,0,23
2020-09-02,0,2,32
2020-09-03,0,3,8
2020-09-04,0,0,118
2020-09-05,0,0,13
2020-09-06,0,0,13
2020-09-07,0,1,67
2020-09-08,0,0,61
2020-09-09,0,24,54
2020-09-10,0,0,14
2020-09-11,0,12,45
2020-09-12,0,4,10
2020-09-13,0,11,5
2020-09-14,0,3,22
2020-09-15,0,3,27
2020-09-16,0,5,24
2020-09-17,0,1,50
2020-09-18,0,11,29
2020-09-19,0,1,9
2020-09-20,0,1,3
2020-09-21,0,0,25
2020-09-22,0,13,25
2020-09-23,0,3,25
2020-09-24,0,5,17
2020-09-25,0,7,17
2020-09-26,0,0,31
2020-09-27,0,0,2
2020-09-28,0,7,9
2020-09-29,0,6,5
2020-09-30,0,9,5
2020-10-01,0,8,21
2020-10-02,0,12,12
2020-10-03,0,0,8
2020-10-04,0,0,1
2020-10-05,0,7,13
2020-10-06,0,11,7
2020-10-07,0,6,16
2020-10-08,0,2,18
2020-10-09,0,3,10
2020-10-10,0,0,7
2020-10-11,0,0,4
2020-10-12,0,10,11
2020-10-13,0,0,20
2020-10-14,0,16,6
2020-10-15,0,6,13
2020-10-16,0,6,13
2020-10-17,0,0,10
2020-10-18,0,0,3
2020-10-19,0,13,17
2020-10-20,0,3,8
2020-10-21,0,7,10
2020-10-22,0,9,8
2020-10-23,0,4,16
2020-10-24,0,0,8
2020-10-25,0,0,4
2020-10-26,0,4,15
2020-10-27,0,8,12
2020-10-28,0,0,17
2020-10-29,0,7,19
2020-10-30,0,4,10
2020-10-31,0,0,4
2020-11-01,0,0,1
2020-11-02,0,5,5
2020-11-03,0,2,9
2020-11-04,0,1,9
2020-11-05,0,7,18
2020-11-07,0,0,8
2020-11-08,0,0,6
2020-11-09,0,3,5
2020-11-10,0,0,17
2020-11-11,0,3,7
2020-11-12,0,8,10
2020-11-13,0,1,13
2020-11-14,0,0,7
2020-11-15,0,0,8
2020-11-16,0,3,9
2020-11-17,0,9,12
2020-11-18,0,0,8
2020-11-19,0,8,9
2020-11-20,0,3,10
2020-11-21,0,4,4
2020-11-22,0,0,4
2020-11-23,0,3,7
2020-11-24,0,0,8
2020-11-25,0,2,26
2020-11-26,0,5,3
2020-11-27,0,9,15
2020-11-28,0,0,9
2020-11-29,0,0,2
2020-11-30,0,20,5
2020-12-01,0,6,7
2020-12-02,0,6,7
2020-12-03,0,6,9
2020-12-04,0,9,10
2020-12-05,0,0,11
2020-12-07,0,4,13
2020-12-08,0,2,3
2020-12-09,0,1,5
2020-12-10,0,6,10
2020-12-11,0,6,9
2020-12-12,0,0,5
2020-12-13,0,0,9
2020-12-14,0,17,10
2020-12-15,0,10,7
2020-12-16,0,7,11
2020-12-17,0,25,5
2020-12-18,0,6,5
2020-12-19,0,5,8
2020-12-20,0,5,2
2020-12-21,0,6,7
2020-12-22,0,10,4
2020-12-23,0,14,5
2020-12-24,0,11,3
2020-12-25,0,0,5
2020-12-26,0,0,11
2020-12-27,0,0,7
2020-12-28,0,25,6
2020-12-29,0,10,7
2020-12-30,0,25,10
2020-12-31,0,58,3
2021-01-01,0,0,5
2021-01-02,0,0,2
2021-01-03,0,15,9
2021-01-04,1,0,3
2021-01-05,1,24,2
2021-01-06,0,24,4
2021-01-07,1,20,15
2021-01-08,1,87,5
2021-01-09,4,2,13
2021-01-10,0,33,4
2021-01-11,1,0,25
2021-01-12,2,0,20
2021-01-13,3,58,17
2021-01-14,0,8,14
2021-01-15,3,60,20
2021-01-16,5,23,8
2021-01-17,2,0,4
2021-01-18,7,6,18
2021-01-19,5,15,13
2021-01-20,7,12,13
2021-01-21,14,16,8
2021-01-22,14,39,7
2021-01-23,12,0,5
2021-01-24,2,0,4
2021-01-25,9,20,15
2021-01-26,11,18,8
2021-01-27,10,14,4
2021-01-28,5,9,7
2021-01-29,7,11,11
2021-01-30,14,6,6
2021-01-31,4,0,7
2021-02-01,14,4,18
2021-02-02,13,9,12
2021-02-03,21,11,9
2021-02-04,22,11,6
2021-02-05,23,8,5
2021-02-06,22,0,5
2021-02-07,10,0,7
2021-02-08,28,7,8
2021-02-09,14,2,16
2021-02-10,27,14,14
2021-02-11,22,4,8
2021-02-12,15,12,8
2021-02-13,10,0,10
2021-02-14,4,0,1
2021-02-15,27,6,17
2021-02-16,23,4,11
2021-02-17,14,6,10
2021-02-18,21,2,9
2021-02-19,15,2,10
2021-02-20,9,0,10
2021-02-21,3,0,2
2021-02-22,14,6,3
2021-02-23,22,4,9
2021-02-24,14,1,10
2021-02-25,24,2,6
2021-02-26,13,0,4
2021-02-27,14,1,1
2021-02-28,4,0,4
2021-03-01,25,1,12
2021-03-02,19,0,13
2021-03-03,10,1,10
2021-03-04,15,2,2
2021-03-05,14,2,2
2021-03-06,16,0,7
2021-03-07,5,0,2
2021-03-08,22,1,7
2021-03-09,29,6,15
2021-03-10,29,0,5
2021-03-11,26,6,5
2021-03-12,21,2,4
2021-03-13,23,0,4
2021-03-14,15,0,2
2021-03-15,28,9,9
2021-03-16,26,0,12
2021-03-17,31,2,12
2021-03-18,33,5,14
2021-03-19,37,13,11
2021-03-20,29,0,11
2021-03-21,12,1,6
2021-03-22,44,8,15
2021-03-23,24,2,17
2021-03-24,38,3,17
2021-03-25,49,6,11
2021-03-26,57,4,7
2021-03-27,31,10,8
2021-03-28,19,0,3
2021-03-29,52,5,13
2021-03-30,67,10,17
2021-03-31,55,10,5
2021-04-01,51,21,5
2021-04-02,53,0,3
2021-04-03,78,9,2
2021-04-04,52,0,1
2021-04-05,102,4,11
2021-04-06,89,14,5
2021-04-07,119,18,12
2021-04-08,90,12,8
2021-04-09,78,22,6
2021-04-10,60,19,13
2021-04-11,17,0,6
2021-04-12,100,10,8
2021-04-13,97,20,10
2021-04-14,100,16,13
2021-04-15,67,11,7
2021-04-16,104,38,16
2021-04-17,84,31,5
2021-04-18,34,0,2
2021-04-19,114,28,12
2021-04-20,83,37,10
2021-04-21,56,20,13
2021-04-22,71,42,8
2021-04-23,85,46,9
2021-04-24,56,14,10
2021-04-25,27,0,4
2021-04-26,57,18,19
2021-04-27,46,29,15
2021-04-28,72,31,9
2021-04-29,60,24,14
2021-04-30,55,51,8
2021-05-01,21,0,5
2021-05-02,16,0,9
2021-05-03,63,13,17
2021-05-04,53,49,6
2021-05-05,64,8,12
2021-05-06,50,36,6
2021-05-07,55,41,6
2021-05-08,37,0,11
2021-05-09,8,0,0
2021-05-10,65,1,10
2021-05-11,38,17,13
2021-05-12,45,5,7
2021-05-13,51,39,8
2021-05-14,38,24,8
