FECHA_RESULTADO,AG,PCR,PR
2020-03-07,0,1,0
2020-03-22,0,2,0
2020-03-25,0,2,0
2020-03-29,0,4,0
2020-03-30,0,1,0
2020-03-31,0,3,0
2020-04-02,0,1,0
2020-04-04,0,6,0
2020-04-05,0,5,0
2020-04-06,0,4,0
2020-04-07,0,1,1
2020-04-08,0,0,1
2020-04-09,0,1,0
2020-04-11,0,0,5
2020-04-12,0,7,2
2020-04-13,0,0,3
2020-04-14,0,0,6
2020-04-15,0,5,6
2020-04-16,0,2,13
2020-04-17,0,0,5
2020-04-18,0,0,13
2020-04-19,0,0,1
2020-04-20,0,2,10
2020-04-21,0,6,8
2020-04-22,0,0,14
2020-04-23,0,6,18
2020-04-24,0,2,29
2020-04-25,0,1,7
2020-04-27,0,2,34
2020-04-28,0,5,25
2020-04-29,0,1,49
2020-04-30,0,5,17
2020-05-01,0,0,17
2020-05-02,0,2,13
2020-05-03,0,0,4
2020-05-04,0,3,22
2020-05-05,0,5,26
2020-05-06,0,4,23
2020-05-07,0,2,18
2020-05-08,0,3,18
2020-05-09,0,11,18
2020-05-10,0,5,5
2020-05-11,0,1,21
2020-05-12,0,7,43
2020-05-13,0,2,45
2020-05-14,0,5,59
2020-05-15,0,6,39
2020-05-16,0,7,34
2020-05-17,0,0,6
2020-05-18,0,1,41
2020-05-19,0,11,44
2020-05-20,0,5,70
2020-05-21,0,1,62
2020-05-22,0,11,88
2020-05-23,0,8,62
2020-05-24,0,0,18
2020-05-25,0,19,71
2020-05-26,0,9,53
2020-05-27,0,19,69
2020-05-28,0,10,79
2020-05-29,0,7,67
2020-05-30,0,0,51
2020-05-31,0,0,8
2020-06-01,0,0,25
2020-06-02,0,0,55
2020-06-03,0,0,20
2020-06-04,0,3,19
2020-06-05,0,23,23
2020-06-06,0,16,31
2020-06-07,0,0,10
2020-06-08,0,9,34
2020-06-09,0,15,36
2020-06-10,0,14,40
2020-06-11,0,15,50
2020-06-12,0,20,37
2020-06-13,0,31,44
2020-06-14,0,0,6
2020-06-15,0,7,26
2020-06-16,0,3,41
2020-06-17,0,29,43
2020-06-18,0,0,31
2020-06-19,0,6,35
2020-06-20,0,0,35
2020-06-21,0,24,15
2020-06-22,0,1,38
2020-06-23,0,42,27
2020-06-24,0,52,41
2020-06-25,0,24,37
2020-06-26,0,8,69
2020-06-27,0,44,43
2020-06-28,0,0,25
2020-06-29,0,0,22
2020-06-30,0,4,48
2020-07-01,0,22,50
2020-07-02,0,0,38
2020-07-03,0,1,46
2020-07-04,0,29,60
2020-07-05,0,13,17
2020-07-06,0,2,33
2020-07-07,0,18,43
2020-07-08,0,31,40
2020-07-09,0,23,18
2020-07-10,0,37,102
2020-07-11,0,55,85
2020-07-12,0,0,29
2020-07-13,0,7,41
2020-07-14,0,20,59
2020-07-15,0,35,92
2020-07-16,0,8,83
2020-07-17,0,32,55
2020-07-18,0,33,110
2020-07-19,0,0,30
2020-07-20,0,9,48
2020-07-21,0,17,183
2020-07-22,0,41,216
2020-07-23,0,16,155
2020-07-24,0,21,175
2020-07-25,0,18,195
2020-07-26,0,0,33
2020-07-27,0,19,191
2020-07-28,0,0,72
2020-07-29,0,4,154
2020-07-30,0,26,247
2020-07-31,0,10,272
2020-08-01,0,21,282
2020-08-02,0,0,43
2020-08-03,0,7,338
2020-08-04,0,38,262
2020-08-05,0,22,369
2020-08-06,0,25,382
2020-08-07,0,10,314
2020-08-08,0,12,273
2020-08-09,0,0,53
2020-08-10,0,8,309
2020-08-11,0,18,312
2020-08-12,0,16,392
2020-08-13,0,25,377
2020-08-14,0,26,314
2020-08-15,0,1,264
2020-08-16,0,0,63
2020-08-17,0,13,312
2020-08-18,0,28,268
2020-08-19,0,28,386
2020-08-20,0,11,681
2020-08-21,0,20,350
2020-08-22,0,15,421
2020-08-23,0,0,26
2020-08-24,0,7,173
2020-08-25,0,13,411
2020-08-26,0,27,250
2020-08-27,0,32,278
2020-08-28,0,5,224
2020-08-29,0,5,198
2020-08-30,0,5,59
2020-08-31,0,21,218
2020-09-01,0,21,167
2020-09-02,0,10,161
2020-09-03,0,9,74
2020-09-04,0,6,276
2020-09-05,0,3,121
2020-09-06,0,0,27
2020-09-07,0,11,174
2020-09-08,0,21,363
2020-09-09,0,10,126
2020-09-10,0,5,61
2020-09-11,0,5,378
2020-09-12,0,3,109
2020-09-13,0,0,41
2020-09-14,0,16,211
2020-09-15,0,18,104
2020-09-16,0,15,96
2020-09-17,0,19,85
2020-09-18,0,10,117
2020-09-19,0,7,80
2020-09-20,0,1,18
2020-09-21,0,9,159
2020-09-22,0,5,125
2020-09-23,0,26,86
2020-09-24,0,21,144
2020-09-25,0,12,124
2020-09-26,0,5,153
2020-09-27,0,1,20
2020-09-28,0,10,49
2020-09-29,0,34,20
2020-09-30,0,5,48
2020-10-01,0,16,30
2020-10-02,0,23,30
2020-10-03,0,10,31
2020-10-04,0,14,7
2020-10-05,0,10,19
2020-10-06,0,14,22
2020-10-07,0,29,33
2020-10-08,0,5,32
2020-10-09,0,26,31
2020-10-10,0,16,31
2020-10-11,0,0,8
2020-10-12,0,6,32
2020-10-13,0,9,37
2020-10-14,0,12,29
2020-10-15,0,25,19
2020-10-16,0,2,35
2020-10-17,0,17,14
2020-10-18,0,4,14
2020-10-19,0,10,36
2020-10-20,0,21,22
2020-10-21,0,5,30
2020-10-22,0,9,60
2020-10-23,0,11,69
2020-10-24,0,13,36
2020-10-25,0,1,7
2020-10-26,0,5,21
2020-10-27,0,22,22
2020-10-28,0,5,16
2020-10-29,0,6,48
2020-10-30,0,9,19
2020-10-31,0,4,26
2020-11-01,0,3,3
2020-11-02,0,4,19
2020-11-03,0,14,20
2020-11-04,0,1,17
2020-11-05,0,8,16
2020-11-07,0,6,12
2020-11-08,0,0,6
2020-11-09,0,9,22
2020-11-10,0,10,13
2020-11-11,0,10,26
2020-11-12,0,4,30
2020-11-13,0,10,13
2020-11-14,0,4,15
2020-11-15,0,6,7
2020-11-16,0,7,12
2020-11-17,0,15,23
2020-11-18,0,11,13
2020-11-19,0,4,23
2020-11-20,0,7,12
2020-11-21,0,8,11
2020-11-22,0,1,10
2020-11-23,0,1,9
2020-11-24,0,8,15
2020-11-25,0,3,17
2020-11-26,0,10,32
2020-11-27,0,3,36
2020-11-28,0,1,19
2020-11-29,0,8,10
2020-11-30,0,12,15
2020-12-01,0,22,15
2020-12-02,0,11,11
2020-12-03,0,7,19
2020-12-04,0,6,17
2020-12-05,0,7,12
2020-12-07,0,9,9
2020-12-08,0,1,6
2020-12-09,0,23,21
2020-12-10,0,7,9
2020-12-11,0,25,14
2020-12-12,0,13,8
2020-12-13,0,0,12
2020-12-14,0,10,13
2020-12-15,0,36,16
2020-12-16,0,34,14
2020-12-17,0,1,16
2020-12-18,0,17,12
2020-12-19,0,34,12
2020-12-20,0,0,10
2020-12-21,0,19,15
2020-12-22,0,30,18
2020-12-23,1,17,12
2020-12-24,1,0,11
2020-12-25,0,16,6
2020-12-26,0,0,16
2020-12-27,0,41,1
2020-12-28,0,14,29
2020-12-29,0,22,18
2020-12-30,0,37,13
2020-12-31,1,3,11
2021-01-01,0,1,6
2021-01-02,2,34,5
2021-01-03,0,3,5
2021-01-04,1,18,13
2021-01-05,8,50,15
2021-01-06,13,14,17
2021-01-07,2,37,31
2021-01-08,11,79,15
2021-01-09,9,15,13
2021-01-10,8,3,5
2021-01-11,6,0,40
2021-01-12,3,44,36
2021-01-13,6,93,22
2021-01-14,14,50,41
2021-01-15,14,62,31
2021-01-16,13,33,28
2021-01-17,6,53,21
2021-01-18,30,29,49
2021-01-19,22,53,42
2021-01-20,19,49,37
2021-01-21,24,41,50
2021-01-22,26,73,59
2021-01-23,17,69,24
2021-01-24,5,57,16
2021-01-25,24,70,57
2021-01-26,22,59,38
2021-01-27,37,47,39
2021-01-28,33,62,38
2021-01-29,31,35,49
2021-01-30,41,55,26
2021-01-31,12,3,9
2021-02-01,48,66,61
2021-02-02,43,88,43
2021-02-03,55,38,37
2021-02-04,48,80,30
2021-02-05,53,43,41
2021-02-06,30,23,21
2021-02-07,14,50,12
2021-02-08,56,14,28
2021-02-09,52,75,46
2021-02-10,57,43,49
2021-02-11,71,70,44
2021-02-12,58,25,40
2021-02-13,47,28,31
2021-02-14,4,10,14
2021-02-15,50,49,24
2021-02-16,51,58,43
2021-02-17,42,42,29
2021-02-18,44,30,22
2021-02-19,40,40,20
2021-02-20,43,24,14
2021-02-21,12,0,3
2021-02-22,61,35,24
2021-02-23,56,50,31
2021-02-24,46,48,26
2021-02-25,40,47,13
2021-02-26,54,50,14
2021-02-27,27,3,15
2021-02-28,11,14,4
2021-03-01,49,19,28
2021-03-02,38,53,19
2021-03-03,42,30,23
2021-03-04,46,11,21
2021-03-05,47,22,19
2021-03-06,33,24,14
2021-03-07,5,1,9
2021-03-08,56,61,25
2021-03-09,45,19,9
2021-03-10,32,26,14
2021-03-11,33,37,12
2021-03-12,21,42,14
2021-03-13,31,1,18
2021-03-14,5,7,6
2021-03-15,42,47,13
2021-03-16,25,52,9
2021-03-17,37,21,11
2021-03-18,42,30,18
2021-03-19,41,18,16
2021-03-20,41,10,10
2021-03-21,30,12,7
2021-03-22,60,18,12
2021-03-23,40,20,13
2021-03-24,60,43,17
2021-03-25,46,25,16
2021-03-26,53,27,14
2021-03-27,51,13,9
2021-03-28,17,0,2
2021-03-29,86,45,19
2021-03-30,49,59,13
2021-03-31,72,61,21
2021-04-01,47,26,11
2021-04-02,42,5,10
2021-04-03,74,15,10
2021-04-04,29,16,4
2021-04-05,119,20,17
2021-04-06,77,56,6
2021-04-07,83,32,8
2021-04-08,59,49,6
2021-04-09,74,51,13
2021-04-10,52,24,17
2021-04-11,23,1,9
2021-04-12,87,65,22
2021-04-13,76,38,7
2021-04-14,75,26,7
2021-04-15,78,45,10
2021-04-16,74,39,13
2021-04-17,60,21,10
2021-04-18,16,1,7
2021-04-19,114,45,28
2021-04-20,60,38,9
2021-04-21,88,50,16
2021-04-22,97,36,8
2021-04-23,75,44,15
2021-04-24,84,26,3
2021-04-25,38,17,5
2021-04-26,133,40,17
2021-04-27,90,54,8
2021-04-28,70,54,18
2021-04-29,92,47,8
2021-04-30,110,24,19
2021-05-01,39,22,4
2021-05-02,25,3,4
2021-05-03,107,51,19
2021-05-04,94,65,19
2021-05-05,142,33,19
2021-05-06,125,40,15
2021-05-07,142,34,17
2021-05-08,110,55,29
2021-05-09,33,47,1
2021-05-10,204,33,35
2021-05-11,144,60,18
2021-05-12,158,52,16
2021-05-13,155,70,14
2021-05-14,169,45,22
2021-05-15,148,52,22
2021-05-16,53,1,3
2021-05-17,161,70,25
2021-05-18,179,75,27
2021-05-19,151,67,23
2021-05-20,170,57,21
2021-05-21,172,63,19
2021-05-22,140,49,15
2021-05-23,33,19,3
2021-05-24,255,81,27
2021-05-25,189,66,21
2021-05-26,184,57,19
2021-05-27,220,74,21
2021-05-28,203,108,22
2021-05-29,144,55,13
2021-05-30,40,4,6
2021-05-31,270,42,23
2021-06-01,214,106,14
2021-06-02,239,95,21
2021-06-03,225,77,15
2021-06-04,260,72,28
2021-06-05,191,67,8
2021-06-06,42,3,2
2021-06-07,268,70,23
2021-06-08,236,79,22
2021-06-09,218,89,18
2021-06-10,191,59,15
2021-06-11,212,73,24
2021-06-12,180,74,18
2021-06-13,40,1,4
2021-06-14,318,78,28
2021-06-15,243,331,40
2021-06-16,272,102,46
2021-06-17,292,45,23
2021-06-18,256,57,25
2021-06-19,251,128,19
2021-06-20,48,1,8
2021-06-21,337,95,14
2021-06-22,301,92,19
2021-06-23,235,70,27
2021-06-24,231,51,17
2021-06-25,259,48,26
2021-06-26,251,58,17
2021-06-27,88,3,4
2021-06-28,307,39,23
2021-06-29,55,35,3
2021-06-30,208,41,28
2021-07-01,216,37,35
2021-07-02,236,32,37
2021-07-03,212,28,26
2021-07-04,25,9,9
2021-07-05,220,12,41
2021-07-06,170,48,45
2021-07-07,155,32,29
2021-07-08,156,43,26
2021-07-09,134,39,24
2021-07-10,104,10,26
2021-07-11,42,12,6
2021-07-12,160,31,25
2021-07-13,100,34,20
2021-07-14,101,17,19
2021-07-15,90,18,23
2021-07-16,82,17,15
2021-07-17,73,22,14
2021-07-18,25,1,8
2021-07-19,107,22,24
2021-07-20,87,21,16
2021-07-21,79,36,13
2021-07-22,89,18,13
2021-07-23,65,27,17
2021-07-24,52,27,10
2021-07-25,32,1,4
2021-07-26,85,9,16
2021-07-27,47,16,15
2021-07-28,12,11,3
2021-07-29,35,1,6
2021-07-30,67,15,19
2021-07-31,60,9,6
2021-08-01,10,1,2
2021-08-02,63,19,5
2021-08-03,44,21,4
2021-08-04,41,10,5
2021-08-05,46,18,3
2021-08-06,56,18,7
2021-08-07,28,3,9
2021-08-08,10,4,3
2021-08-09,42,7,8
2021-08-10,39,21,4
2021-08-11,33,5,9
2021-08-12,37,12,4
2021-08-13,34,11,2
2021-08-14,25,6,2
2021-08-15,11,0,2
2021-08-16,31,3,1
2021-08-17,29,19,8
2021-08-18,23,11,5
2021-08-19,34,10,0
2021-08-20,24,9,3
2021-08-21,18,6,3
2021-08-22,6,4,0
2021-08-23,33,3,7
2021-08-24,27,5,3
2021-08-25,26,16,4
2021-08-26,13,3,1
2021-08-27,20,10,1
2021-08-28,24,11,5
2021-08-29,5,0,0
2021-08-30,15,2,1
2021-08-31,23,22,1
2021-09-01,27,7,7
2021-09-02,14,8,2
2021-09-03,17,8,2
2021-09-04,22,0,3
2021-09-05,5,6,1
2021-09-06,19,6,6
2021-09-07,26,11,3
2021-09-08,17,0,3
2021-09-09,12,6,1
2021-09-10,22,15,3
2021-09-11,4,4,2
2021-09-12,4,0,0
2021-09-13,10,9,2
2021-09-14,14,9,1
2021-09-15,17,7,1
2021-09-16,12,0,4
2021-09-17,9,3,1
2021-09-18,11,0,1
2021-09-19,3,8,0
2021-09-20,13,4,3
2021-09-21,9,0,0
2021-09-22,11,7,1
2021-09-23,10,7,4
2021-09-24,7,4,3
2021-09-25,7,8,0
2021-09-26,3,3,1
2021-09-27,11,7,3
2021-09-28,10,11,3
2021-09-29,11,5,3
2021-09-30,16,9,0
2021-10-01,13,10,4
2021-10-02,5,3,3
2021-10-03,3,3,0
2021-10-04,15,7,6
2021-10-05,4,4,1
2021-10-06,11,7,5
2021-10-07,6,12,2
2021-10-08,6,0,0
2021-10-09,4,0,3
2021-10-10,5,0,0
2021-10-11,15,9,3
2021-10-12,7,7,0
2021-10-13,11,8,3
2021-10-14,5,4,2
2021-10-15,7,7,3
2021-10-16,2,1,4
2021-10-17,1,0,0
2021-10-18,21,5,1
2021-10-19,7,6,1
2021-10-20,5,7,4
2021-10-21,4,3,1
2021-10-22,5,3,3
2021-10-23,8,2,4
2021-10-24,4,0,0
2021-10-25,7,12,2
2021-10-26,12,4,2
2021-10-27,10,6,4
2021-10-28,12,3,1
2021-10-29,8,2,3
2021-10-30,8,3,1
2021-10-31,1,0,1
2021-11-01,6,6,2
2021-11-02,11,4,9
2021-11-03,15,5,3
2021-11-04,11,8,4
2021-11-05,6,5,4
2021-11-06,5,5,3
2021-11-07,5,1,0
2021-11-08,13,8,5
2021-11-09,8,2,7
2021-11-10,4,10,1
2021-11-11,7,4,0
2021-11-12,7,7,1
2021-11-13,9,3,3
2021-11-14,6,0,0
2021-11-15,12,10,1
2021-11-16,13,6,1
2021-11-17,16,8,0
2021-11-18,7,8,0
2021-11-19,9,6,2
2021-11-20,6,4,1
2021-11-21,5,0,1
2021-11-22,14,2,0
2021-11-23,11,12,4
2021-11-24,4,9,1
2021-11-25,11,13,1
2021-11-26,5,3,0
2021-11-27,7,5,2
2021-11-28,4,0,1
2021-11-29,17,2,2
2021-11-30,14,12,3
2021-12-01,5,5,2
2021-12-02,9,6,4
2021-12-03,14,6,4
2021-12-04,4,8,1
2021-12-05,6,0,0
2021-12-06,6,11,0
2021-12-07,13,21,0
2021-12-08,5,1,0
2021-12-09,4,4,1
2021-12-10,7,9,0
2021-12-11,11,4,0
2021-12-12,2,0,0
2021-12-13,16,9,1
2021-12-14,9,11,1
2021-12-15,7,1,2
2021-12-16,8,10,0
2021-12-17,2,8,0
2021-12-18,3,5,0
2021-12-19,3,0,0
2021-12-20,6,5,1
2021-12-21,7,3,0
2021-12-22,5,17,0
2021-12-23,6,7,0
2021-12-24,13,6,0
2021-12-25,10,5,0
2021-12-26,7,2,0
2021-12-27,23,14,0
2021-12-28,31,37,0
2021-12-29,34,29,4
2021-12-30,50,28,1
2021-12-31,52,37,0
2022-01-01,25,11,0
2022-01-02,25,2,11
2022-01-03,126,68,13
2022-01-04,189,42,0
2022-01-05,256,121,0
2022-01-06,264,137,0
2022-01-07,305,120,0
2022-01-08,419,191,0
2022-01-09,187,63,0
2022-01-10,625,177,1
2022-01-11,677,234,0
2022-01-12,971,276,5
2022-01-13,1118,388,0
2022-01-14,1301,333,5
2022-01-15,1289,278,0
2022-01-16,381,175,0
2022-01-17,1850,231,0
2022-01-18,1613,461,0
2022-01-19,1954,390,0
2022-01-20,1600,886,0
2022-01-21,1731,600,0
2022-01-22,1318,167,0
2022-01-23,432,264,0
2022-01-24,1886,214,0
2022-01-25,1713,474,0
2022-01-26,1303,360,0
