FECHA_RESULTADO,AG,PCR,PR
2020-03-14,0,1,0
2020-03-15,0,2,0
2020-03-17,0,1,0
2020-03-20,0,1,0
2020-03-24,0,1,0
2020-03-25,0,3,0
2020-03-26,0,2,0
2020-03-27,0,1,0
2020-03-28,0,3,0
2020-03-29,0,7,0
2020-03-30,0,1,0
2020-03-31,0,7,0
2020-04-01,0,10,3
2020-04-02,0,2,0
2020-04-03,0,3,7
2020-04-04,0,19,91
2020-04-05,0,12,21
2020-04-06,0,41,11
2020-04-07,0,4,35
2020-04-08,0,35,52
2020-04-09,0,31,9
2020-04-10,0,60,7
2020-04-11,0,23,188
2020-04-12,0,11,17
2020-04-13,0,30,172
2020-04-14,0,23,43
2020-04-15,0,20,67
2020-04-16,0,31,55
2020-04-17,0,36,63
2020-04-18,0,19,76
2020-04-19,0,29,32
2020-04-20,0,23,235
2020-04-21,0,4,256
2020-04-22,0,28,67
2020-04-23,0,42,83
2020-04-24,0,8,99
2020-04-25,0,63,78
2020-04-26,0,14,41
2020-04-27,0,47,142
2020-04-28,0,15,168
2020-04-29,0,9,159
2020-04-30,0,43,182
2020-05-01,0,40,59
2020-05-02,0,38,154
2020-05-03,0,39,44
2020-05-04,0,2,167
2020-05-05,0,73,173
2020-05-06,0,76,143
2020-05-07,0,81,209
2020-05-08,0,39,167
2020-05-09,0,60,85
2020-05-10,0,9,26
2020-05-11,0,15,175
2020-05-12,0,47,221
2020-05-13,0,56,239
2020-05-14,0,11,277
2020-05-15,0,38,248
2020-05-16,0,11,184
2020-05-17,0,38,41
2020-05-18,0,4,204
2020-05-19,0,83,263
2020-05-20,0,39,277
2020-05-21,0,40,308
2020-05-22,0,27,353
2020-05-23,0,53,253
2020-05-24,0,7,46
2020-05-25,0,29,345
2020-05-26,0,44,416
2020-05-27,0,67,391
2020-05-28,0,80,366
2020-05-29,0,26,307
2020-05-30,0,15,200
2020-05-31,0,65,55
2020-06-01,0,1,160
2020-06-02,0,40,117
2020-06-03,0,68,47
2020-06-04,0,55,141
2020-06-05,0,132,92
2020-06-06,0,108,103
2020-06-07,0,53,33
2020-06-08,0,80,170
2020-06-09,0,61,107
2020-06-10,0,147,209
2020-06-11,0,46,334
2020-06-12,0,95,181
2020-06-13,0,67,101
2020-06-14,0,66,50
2020-06-15,0,28,87
2020-06-16,0,8,83
2020-06-17,0,107,90
2020-06-18,0,41,177
2020-06-19,0,28,132
2020-06-20,0,8,124
2020-06-21,0,50,20
2020-06-22,0,33,80
2020-06-23,0,44,40
2020-06-24,0,22,58
2020-06-25,0,54,88
2020-06-26,0,39,146
2020-06-27,0,18,101
2020-06-28,0,9,19
2020-06-29,0,28,38
2020-06-30,0,38,100
2020-07-01,0,3,56
2020-07-02,0,0,73
2020-07-03,0,0,89
2020-07-04,0,17,44
2020-07-05,0,8,28
2020-07-06,0,10,86
2020-07-07,0,46,116
2020-07-08,0,52,42
2020-07-09,0,41,66
2020-07-10,0,5,105
2020-07-11,0,30,49
2020-07-12,0,30,32
2020-07-13,0,28,23
2020-07-14,0,19,44
2020-07-15,0,61,81
2020-07-16,0,33,115
2020-07-17,0,41,137
2020-07-18,0,37,87
2020-07-19,0,6,14
2020-07-20,0,19,40
2020-07-21,0,26,68
2020-07-22,0,42,107
2020-07-23,0,67,99
2020-07-24,0,1,155
2020-07-25,0,33,106
2020-07-26,0,28,29
2020-07-27,0,35,141
2020-07-28,0,1,50
2020-07-29,0,11,130
2020-07-30,0,3,167
2020-07-31,0,40,177
2020-08-01,0,22,131
2020-08-02,0,34,30
2020-08-03,0,41,205
2020-08-04,0,17,167
2020-08-05,0,41,159
2020-08-06,0,41,167
2020-08-07,0,1,186
2020-08-08,0,1,181
2020-08-09,0,20,37
2020-08-10,0,29,162
2020-08-11,0,73,186
2020-08-12,0,121,190
2020-08-13,0,42,194
2020-08-14,0,21,191
2020-08-15,1,54,172
2020-08-16,0,41,22
2020-08-17,0,16,177
2020-08-18,0,52,158
2020-08-19,0,32,183
2020-08-20,0,44,172
2020-08-21,0,30,178
2020-08-22,0,25,109
2020-08-23,0,4,13
2020-08-24,0,46,242
2020-08-25,0,4,222
2020-08-26,0,14,167
2020-08-27,0,35,138
2020-08-28,0,85,143
2020-08-29,0,6,121
2020-08-30,0,27,37
2020-08-31,0,3,153
2020-09-01,0,3,172
2020-09-02,0,46,105
2020-09-03,0,14,115
2020-09-04,0,28,188
2020-09-05,0,15,70
2020-09-06,0,20,16
2020-09-07,0,0,140
2020-09-08,0,9,219
2020-09-09,0,19,182
2020-09-10,0,80,161
2020-09-11,0,51,261
2020-09-12,0,79,131
2020-09-13,0,18,26
2020-09-14,0,17,162
2020-09-15,0,7,125
2020-09-16,0,30,128
2020-09-17,0,21,134
2020-09-18,0,21,128
2020-09-19,0,80,86
2020-09-20,0,15,23
2020-09-21,0,31,82
2020-09-22,0,55,109
2020-09-23,0,18,119
2020-09-24,0,22,555
2020-09-25,0,25,577
2020-09-26,0,15,464
2020-09-27,0,10,23
2020-09-28,0,64,63
2020-09-29,0,11,53
2020-09-30,0,10,77
2020-10-01,0,17,98
2020-10-02,0,20,126
2020-10-03,0,68,49
2020-10-04,0,19,46
2020-10-05,0,39,63
2020-10-06,0,32,70
2020-10-07,0,8,72
2020-10-08,0,16,61
2020-10-09,0,12,109
2020-10-10,0,12,68
2020-10-11,0,6,36
2020-10-12,0,5,100
2020-10-13,0,40,132
2020-10-14,0,23,100
2020-10-15,0,14,91
2020-10-16,0,24,104
2020-10-17,0,85,74
2020-10-18,0,22,15
2020-10-19,0,32,84
2020-10-20,0,29,91
2020-10-21,0,73,95
2020-10-22,0,59,91
2020-10-23,0,55,91
2020-10-24,0,56,64
2020-10-25,0,3,23
2020-10-26,0,10,85
2020-10-27,0,10,95
2020-10-28,0,21,77
2020-10-29,0,109,66
2020-10-30,0,11,89
2020-10-31,0,108,64
2020-11-01,0,0,25
2020-11-02,0,42,104
2020-11-03,0,55,100
2020-11-04,0,28,100
