FECHA_RESULTADO,AG,PCR,PR
2020-03-28,0,1,0
2020-03-29,0,2,0
2020-03-30,0,1,0
2020-03-31,0,1,0
2020-04-01,0,1,0
2020-04-02,0,2,1
2020-04-03,0,3,0
2020-04-04,0,1,2
2020-04-05,0,1,0
2020-04-06,0,0,1
2020-04-08,0,1,0
2020-04-09,0,1,0
2020-04-10,0,0,1
2020-04-16,0,0,2
2020-04-17,0,0,1
2020-04-18,0,0,5
2020-04-20,0,0,6
2020-04-21,0,0,2
2020-04-22,0,0,7
2020-04-23,0,0,3
2020-04-24,0,1,0
2020-04-25,0,0,3
2020-04-27,0,0,9
2020-04-28,0,0,7
2020-04-29,0,1,5
2020-04-30,0,0,11
2020-05-01,0,0,2
2020-05-02,0,0,4
2020-05-03,0,0,1
2020-05-04,0,1,3
2020-05-05,0,0,10
2020-05-06,0,1,15
2020-05-07,0,0,12
2020-05-08,0,0,13
2020-05-09,0,0,4
2020-05-10,0,0,1
2020-05-11,0,0,16
2020-05-12,0,1,10
2020-05-13,0,0,10
2020-05-14,0,0,9
2020-05-15,0,1,1
2020-05-16,0,0,5
2020-05-18,0,1,2
2020-05-19,0,0,10
2020-05-20,0,0,11
2020-05-21,0,0,9
2020-05-22,0,1,12
2020-05-23,0,0,12
2020-05-24,0,0,2
2020-05-25,0,1,19
2020-05-26,0,1,10
2020-05-27,0,0,9
2020-05-28,0,0,20
2020-05-29,0,0,13
2020-05-30,0,0,6
2020-06-01,0,2,10
2020-06-02,0,1,7
2020-06-03,0,1,3
2020-06-04,0,0,6
2020-06-05,0,1,3
2020-06-06,0,6,3
2020-06-07,0,3,3
2020-06-08,0,0,7
2020-06-09,0,2,9
2020-06-10,0,4,8
2020-06-11,0,2,27
2020-06-12,0,10,12
2020-06-13,0,1,2
2020-06-14,0,0,3
2020-06-15,0,0,3
2020-06-16,0,2,5
2020-06-17,0,6,3
2020-06-18,0,1,2
2020-06-19,0,1,2
2020-06-20,0,7,3
2020-06-21,0,0,1
2020-06-22,0,0,8
2020-06-23,0,2,9
2020-06-24,0,0,3
2020-06-25,0,2,4
2020-06-26,0,2,10
2020-06-27,0,2,6
2020-06-28,0,0,2
2020-06-29,0,5,6
2020-06-30,0,4,5
2020-07-01,0,0,4
2020-07-02,0,8,4
2020-07-03,0,5,4
2020-07-04,0,1,9
2020-07-05,0,5,5
2020-07-06,0,3,13
2020-07-07,0,10,6
2020-07-08,0,1,6
2020-07-09,0,7,1
2020-07-10,0,12,18
2020-07-11,0,13,18
2020-07-12,0,0,5
2020-07-13,0,7,13
2020-07-14,0,21,7
2020-07-15,0,19,4
2020-07-16,0,10,6
2020-07-17,0,13,9
2020-07-18,0,29,11
2020-07-19,0,0,9
2020-07-20,0,20,15
2020-07-21,0,30,13
2020-07-22,0,55,16
2020-07-23,0,5,15
2020-07-24,0,40,10
2020-07-25,0,37,18
2020-07-26,0,38,10
2020-07-27,0,11,43
2020-07-28,0,11,16
2020-07-29,0,62,33
2020-07-30,0,37,31
2020-07-31,0,51,48
2020-08-01,0,27,26
2020-08-02,0,0,24
2020-08-03,0,38,30
2020-08-04,0,41,47
2020-08-05,0,32,52
2020-08-06,0,54,52
2020-08-07,0,66,51
2020-08-08,0,14,49
