FECHA_RESULTADO,AG,PCR,PR
2020-04-03,0,0,3
2020-04-04,0,2,0
2020-04-08,0,3,1
2020-04-09,0,3,0
2020-04-10,0,5,3
2020-04-11,0,2,5
2020-04-12,0,0,1
2020-04-13,0,5,6
2020-04-14,0,1,0
2020-04-15,0,2,5
2020-04-16,0,2,5
2020-04-17,0,1,11
2020-04-18,0,4,9
2020-04-19,0,0,1
2020-04-20,0,0,11
2020-04-21,0,5,1
2020-04-22,0,5,9
2020-04-23,0,1,12
2020-04-24,0,0,3
2020-04-25,0,1,6
2020-04-26,0,2,1
2020-04-27,0,6,17
2020-04-28,0,1,30
2020-04-29,0,18,41
2020-04-30,0,2,18
2020-05-01,0,2,13
2020-05-02,0,4,13
2020-05-03,0,3,3
2020-05-04,0,3,23
2020-05-05,0,4,14
2020-05-06,0,3,17
2020-05-07,0,5,22
2020-05-08,0,5,32
2020-05-09,0,5,8
2020-05-10,0,0,3
2020-05-11,0,1,8
2020-05-12,0,14,24
2020-05-13,0,3,28
2020-05-14,0,8,27
2020-05-15,0,5,29
2020-05-16,0,2,58
2020-05-17,0,8,9
2020-05-18,0,11,64
2020-05-19,0,6,30
2020-05-20,0,9,34
2020-05-21,0,7,79
2020-05-22,0,10,43
2020-05-23,0,12,18
2020-05-24,0,2,3
2020-05-25,0,16,91
2020-05-26,0,18,51
2020-05-27,0,7,70
2020-05-28,0,1,43
2020-05-29,0,19,122
2020-05-30,0,11,40
2020-05-31,0,6,2
2020-06-01,0,3,67
2020-06-02,0,14,61
2020-06-03,0,2,48
2020-06-04,0,9,29
2020-06-05,0,15,34
2020-06-06,0,35,32
2020-06-07,0,19,14
2020-06-08,0,18,54
2020-06-09,0,14,52
2020-06-10,0,24,55
2020-06-11,0,18,65
2020-06-12,0,15,55
2020-06-13,0,13,50
2020-06-14,0,1,10
2020-06-15,0,18,26
2020-06-16,0,20,20
2020-06-17,0,26,41
2020-06-18,0,1,19
2020-06-19,0,8,26
2020-06-20,0,23,22
2020-06-21,0,5,13
2020-06-22,0,30,61
2020-06-23,0,31,40
2020-06-24,0,6,51
2020-06-25,0,9,38
2020-06-26,0,14,72
2020-06-27,0,7,50
2020-06-28,0,18,18
2020-06-29,0,9,44
2020-06-30,0,3,44
2020-07-01,0,16,57
2020-07-02,0,6,55
2020-07-03,0,10,77
2020-07-04,0,12,62
2020-07-05,0,35,12
2020-07-06,0,23,56
2020-07-07,0,17,40
2020-07-08,0,11,27
2020-07-09,0,18,34
2020-07-10,0,6,70
2020-07-11,0,12,49
2020-07-12,0,8,9
2020-07-13,0,13,27
2020-07-14,0,20,73
2020-07-15,0,4,94
2020-07-16,0,20,74
2020-07-17,0,4,143
2020-07-18,0,3,119
2020-07-19,0,5,13
2020-07-20,0,15,42
2020-07-21,0,1,154
2020-07-22,0,4,140
2020-07-23,0,8,171
2020-07-24,0,1,108
2020-07-25,0,6,109
2020-07-26,0,0,30
2020-07-27,0,0,96
2020-07-28,0,8,30
2020-07-29,0,4,69
2020-07-30,0,1,92
2020-07-31,0,1,126
2020-08-01,0,3,124
2020-08-02,0,0,15
2020-08-03,0,6,137
2020-08-04,0,6,104
2020-08-05,0,0,130
2020-08-06,0,12,167
2020-08-07,0,0,141
2020-08-08,0,3,127
2020-08-09,0,2,42
2020-08-10,0,0,202
2020-08-11,0,6,127
2020-08-12,0,6,123
2020-08-13,0,5,128
2020-08-14,0,7,116
2020-08-15,0,3,67
2020-08-16,0,3,48
2020-08-17,0,7,138
2020-08-18,0,1,129
2020-08-19,0,32,111
2020-08-20,0,3,170
2020-08-21,0,24,163
2020-08-22,0,1,131
2020-08-23,0,0,5
2020-08-24,0,10,155
2020-08-25,0,15,248
2020-08-26,0,6,109
2020-08-27,0,5,160
2020-08-28,0,20,135
2020-08-29,0,8,162
2020-08-30,0,0,25
2020-08-31,0,4,94
2020-09-01,0,11,85
2020-09-02,0,8,107
2020-09-03,0,6,62
2020-09-04,0,28,259
2020-09-05,0,3,61
2020-09-06,0,2,19
2020-09-07,0,6,137
2020-09-08,0,0,124
2020-09-09,0,7,109
2020-09-10,0,3,30
2020-09-11,0,5,140
2020-09-12,0,10,77
2020-09-13,0,4,9
2020-09-14,0,6,100
2020-09-15,0,6,102
2020-09-16,0,2,112
2020-09-17,0,2,110
2020-09-18,0,10,133
2020-09-19,0,2,89
2020-09-20,0,0,10
2020-09-21,0,1,85
2020-09-22,0,3,96
2020-09-23,0,1,110
2020-09-24,0,5,93
2020-09-25,1,5,131
2020-09-26,0,7,100
2020-09-27,0,1,21
2020-09-28,0,0,28
2020-09-29,0,0,22
2020-09-30,0,6,34
2020-10-01,0,2,32
2020-10-02,0,4,26
2020-10-03,0,3,23
2020-10-04,0,0,8
2020-10-05,0,0,23
2020-10-06,0,1,33
2020-10-07,0,8,47
2020-10-08,0,2,38
2020-10-09,0,2,17
2020-10-10,0,0,18
2020-10-11,0,0,8
2020-10-12,0,16,23
2020-10-13,0,0,7
2020-10-14,0,7,32
2020-10-15,0,0,10
2020-10-16,0,4,7
2020-10-17,0,0,5
2020-10-18,0,0,14
2020-10-19,0,3,20
2020-10-20,0,0,10
2020-10-21,0,3,8
2020-10-22,0,0,17
2020-10-23,0,2,12
2020-10-24,0,0,18
2020-10-25,0,0,6
2020-10-26,0,0,17
2020-10-27,0,9,23
2020-10-28,0,0,13
2020-10-29,0,4,18
2020-10-30,0,2,11
2020-10-31,0,0,17
2020-11-01,0,0,2
2020-11-02,0,0,9
2020-11-03,0,3,14
2020-11-04,0,3,19
2020-11-05,0,0,11
2020-11-07,0,2,9
2020-11-08,0,0,3
2020-11-09,0,0,18
2020-11-10,0,0,14
2020-11-11,0,1,7
2020-11-12,0,0,10
2020-11-13,0,1,2
2020-11-14,0,1,13
2020-11-15,0,0,4
2020-11-16,0,1,6
2020-11-17,0,2,11
2020-11-18,0,1,3
2020-11-19,0,2,4
2020-11-20,0,1,6
2020-11-21,0,4,8
2020-11-22,0,0,5
2020-11-23,0,0,11
2020-11-24,0,0,5
2020-11-25,0,2,4
2020-11-26,0,1,6
2020-11-27,0,1,9
2020-11-28,0,2,8
2020-11-29,0,7,0
2020-11-30,0,4,4
