FECHA_RESULTADO,AG,PCR,PR
2020-03-20,0,2,0
2020-04-03,0,1,0
2020-04-05,0,2,0
2020-04-07,0,5,0
2020-04-08,0,0,1
2020-04-09,0,4,0
2020-04-11,0,1,0
2020-04-14,0,2,9
2020-04-15,0,0,5
2020-04-16,0,2,7
2020-04-17,0,4,3
2020-04-18,0,2,2
2020-04-19,0,1,0
2020-04-20,0,0,2
2020-04-21,0,2,3
2020-04-22,0,0,3
2020-04-23,0,0,6
2020-04-24,0,1,2
2020-04-25,0,1,4
2020-04-26,0,0,1
2020-04-27,0,0,2
2020-04-28,0,1,7
2020-04-29,0,0,7
2020-04-30,0,1,18
2020-05-01,0,0,6
2020-05-02,0,4,7
2020-05-03,0,1,5
2020-05-04,0,0,11
2020-05-05,0,0,16
2020-05-06,0,2,14
2020-05-07,0,0,14
2020-05-08,0,0,7
2020-05-09,0,0,5
2020-05-10,0,0,6
2020-05-11,0,0,11
2020-05-12,0,0,7
2020-05-13,0,1,17
2020-05-14,0,0,4
2020-05-15,0,1,11
2020-05-16,0,0,4
2020-05-17,0,1,1
2020-05-18,0,2,25
2020-05-19,0,4,9
2020-05-20,0,0,10
2020-05-21,0,0,6
2020-05-22,0,1,10
2020-05-23,0,0,4
2020-05-24,0,0,6
2020-05-25,0,1,5
2020-05-26,0,1,8
2020-05-27,0,2,19
2020-05-28,0,1,11
2020-05-29,0,0,18
2020-05-30,0,1,7
2020-05-31,0,0,3
2020-06-01,0,1,11
2020-06-02,0,2,17
2020-06-03,0,3,9
2020-06-04,0,0,5
2020-06-05,0,0,6
2020-06-06,0,9,4
2020-06-07,0,6,1
2020-06-08,0,6,13
2020-06-09,0,0,14
2020-06-10,0,10,15
2020-06-11,0,8,30
2020-06-12,0,0,25
2020-06-13,0,8,9
2020-06-14,0,6,3
2020-06-15,0,0,14
2020-06-16,0,0,13
2020-06-17,0,4,8
2020-06-18,0,8,7
2020-06-19,0,1,5
2020-06-20,0,7,21
2020-06-21,0,0,5
2020-06-22,0,4,10
2020-06-23,0,2,13
2020-06-24,0,0,11
2020-06-25,0,6,10
2020-06-26,0,0,17
2020-06-27,0,0,15
2020-06-28,0,8,4
2020-06-29,0,7,7
2020-06-30,0,0,14
2020-07-01,0,1,14
2020-07-02,0,0,14
2020-07-03,0,0,19
2020-07-04,0,0,11
2020-07-05,0,19,11
2020-07-06,0,11,24
2020-07-07,0,0,12
2020-07-08,0,0,6
2020-07-09,0,0,9
2020-07-10,0,0,33
2020-07-11,0,28,19
2020-07-12,0,5,9
2020-07-13,0,0,9
2020-07-14,0,23,16
2020-07-15,0,0,21
2020-07-16,0,9,16
2020-07-17,0,0,48
2020-07-18,0,0,37
2020-07-19,0,3,10
2020-07-20,0,5,25
2020-07-21,0,0,27
2020-07-22,0,1,39
2020-07-23,0,0,31
2020-07-24,0,0,30
2020-07-25,0,0,26
2020-07-26,0,15,13
2020-07-27,0,8,32
2020-07-28,0,0,20
2020-07-29,0,0,34
2020-07-30,0,0,28
2020-07-31,0,17,44
2020-08-01,0,1,37
2020-08-02,0,1,19
2020-08-03,0,5,47
2020-08-04,0,0,45
2020-08-05,0,1,51
2020-08-06,0,14,50
2020-08-07,0,3,50
2020-08-08,0,1,18
2020-08-09,0,0,17
2020-08-10,0,5,62
2020-08-11,0,3,37
2020-08-12,0,1,51
2020-08-13,0,4,77
2020-08-14,0,4,106
2020-08-15,0,0,85
2020-08-16,0,3,9
2020-08-17,0,7,75
2020-08-18,0,4,64
2020-08-19,0,8,59
2020-08-20,1,8,51
2020-08-21,0,10,38
2020-08-22,0,1,40
2020-08-23,0,2,15
2020-08-24,0,0,32
2020-08-25,0,2,100
2020-08-26,0,8,61
2020-08-27,0,7,36
2020-08-28,0,3,53
2020-08-29,0,3,41
2020-08-30,0,0,16
2020-08-31,0,0,44
2020-09-01,0,2,41
2020-09-02,0,4,45
2020-09-03,0,0,13
2020-09-04,0,0,73
2020-09-05,0,0,13
2020-09-06,0,8,6
2020-09-07,0,0,30
2020-09-08,0,0,67
2020-09-09,0,0,21
2020-09-10,0,4,25
2020-09-11,0,11,88
2020-09-12,0,2,23
2020-09-13,0,2,14
2020-09-14,0,0,37
2020-09-15,0,0,43
2020-09-16,0,0,50
2020-09-17,0,0,30
2020-09-18,0,13,33
2020-09-19,0,0,44
2020-09-20,0,7,12
2020-09-21,0,0,62
2020-09-22,0,0,40
2020-09-23,0,0,27
2020-09-24,0,7,31
2020-09-25,0,0,19
2020-09-26,0,0,40
2020-09-27,0,0,15
2020-09-28,0,0,13
2020-09-29,0,3,22
2020-09-30,0,2,13
2020-10-01,0,6,10
2020-10-02,0,0,11
2020-10-03,0,2,20
2020-10-04,0,0,4
2020-10-05,0,10,12
2020-10-06,0,1,8
2020-10-07,0,1,13
2020-10-08,0,2,34
2020-10-09,0,1,32
2020-10-10,0,0,19
2020-10-11,0,0,9
2020-10-12,0,2,62
2020-10-13,0,3,58
2020-10-14,0,0,33
2020-10-15,0,4,30
2020-10-16,0,0,49
2020-10-17,0,0,20
2020-10-18,0,0,8
2020-10-19,0,4,32
2020-10-20,0,1,26
2020-10-21,0,5,24
2020-10-22,0,0,27
2020-10-23,0,1,29
2020-10-24,0,0,18
2020-10-25,0,0,13
2020-10-26,0,4,18
2020-10-27,0,0,20
2020-10-28,0,0,35
2020-10-29,0,1,21
2020-10-30,0,3,26
2020-10-31,0,0,22
2020-11-01,0,0,6
2020-11-02,0,0,18
2020-11-03,0,2,23
2020-11-04,0,0,26
2020-11-05,0,2,13
2020-11-07,0,0,7
2020-11-08,0,0,12
2020-11-09,0,1,13
2020-11-10,0,0,20
2020-11-11,0,1,21
