FECHA_RESULTADO,AG,PCR,PR
2020-03-15,0,1,0
2020-03-16,0,2,0
2020-03-20,0,2,0
2020-03-24,0,2,0
2020-03-26,0,1,0
2020-03-27,0,1,0
2020-03-28,0,5,0
2020-03-29,0,0,1
2020-03-30,0,2,0
2020-03-31,0,3,0
2020-04-01,0,0,1
2020-04-02,0,1,2
2020-04-03,0,21,6
2020-04-04,0,33,6
2020-04-05,0,0,8
2020-04-06,0,8,13
2020-04-07,0,98,18
2020-04-08,0,43,16
2020-04-09,0,0,15
2020-04-10,0,18,28
2020-04-11,0,26,26
2020-04-12,0,22,20
2020-04-13,0,2,48
2020-04-14,0,1,52
2020-04-15,0,101,29
2020-04-16,0,1,65
2020-04-17,0,8,52
2020-04-18,0,9,31
2020-04-19,0,0,23
2020-04-20,0,16,104
2020-04-21,0,4,102
2020-04-22,0,8,105
2020-04-23,0,39,101
2020-04-24,0,48,130
2020-04-25,0,19,85
2020-04-26,0,0,58
2020-04-27,0,31,201
2020-04-28,0,0,206
2020-04-29,0,18,189
2020-04-30,0,27,151
2020-05-01,0,8,173
2020-05-02,0,7,104
2020-05-03,0,0,104
2020-05-04,0,15,245
2020-05-05,0,1,185
2020-05-06,0,6,142
2020-05-07,0,10,115
2020-05-08,0,0,115
2020-05-09,0,10,48
2020-05-10,0,0,23
2020-05-11,0,13,94
2020-05-12,0,1,105
2020-05-13,0,17,118
2020-05-14,0,62,91
2020-05-15,0,28,190
2020-05-16,0,0,106
2020-05-17,0,0,24
2020-05-18,0,50,122
2020-05-19,0,25,149
2020-05-20,0,22,84
2020-05-21,0,28,100
2020-05-22,0,3,131
2020-05-23,0,66,95
2020-05-24,0,0,80
2020-05-25,0,19,233
2020-05-26,0,2,361
2020-05-27,0,29,363
2020-05-28,0,32,218
2020-05-29,0,9,172
2020-05-30,0,9,235
2020-05-31,0,0,48
2020-06-01,0,23,107
2020-06-02,0,22,115
2020-06-03,0,30,84
2020-06-04,0,36,105
2020-06-05,0,0,71
2020-06-06,0,26,95
2020-06-07,0,46,55
2020-06-08,0,12,132
2020-06-09,0,0,168
2020-06-10,0,5,205
2020-06-11,0,61,194
2020-06-12,0,49,198
2020-06-13,0,28,134
2020-06-14,0,0,29
2020-06-15,0,15,130
2020-06-16,0,2,97
2020-06-17,0,16,146
2020-06-18,0,2,126
2020-06-19,0,0,138
2020-06-20,0,7,85
2020-06-21,0,4,37
2020-06-22,0,8,136
2020-06-23,0,1,91
2020-06-24,0,15,202
2020-06-25,0,8,103
2020-06-26,0,1,200
2020-06-27,0,0,116
2020-06-28,0,1,23
2020-06-29,0,0,45
2020-06-30,0,0,97
2020-07-01,0,0,109
2020-07-02,0,6,91
2020-07-03,0,13,111
2020-07-04,0,2,70
2020-07-05,0,2,27
2020-07-06,0,3,121
2020-07-07,0,1,86
2020-07-08,0,1,135
2020-07-09,0,4,51
2020-07-10,0,1,132
2020-07-11,0,2,95
2020-07-12,0,0,35
2020-07-13,0,3,55
2020-07-14,0,1,110
2020-07-15,0,4,67
2020-07-16,0,12,80
2020-07-17,0,1,98
2020-07-18,0,0,122
2020-07-19,0,0,17
2020-07-20,0,2,61
2020-07-21,0,19,84
2020-07-22,0,12,127
2020-07-23,0,0,117
2020-07-24,0,20,124
2020-07-25,0,1,110
2020-07-26,0,1,30
2020-07-27,0,18,207
2020-07-28,0,0,46
2020-07-29,0,0,158
2020-07-30,0,6,164
2020-07-31,0,0,135
2020-08-01,0,4,110
2020-08-02,0,8,44
2020-08-03,0,0,148
2020-08-04,0,16,163
2020-08-05,0,0,98
2020-08-06,0,2,179
2020-08-07,0,0,162
2020-08-08,0,0,136
2020-08-09,0,0,30
2020-08-10,0,0,153
2020-08-11,0,0,149
2020-08-12,0,0,151
2020-08-13,0,0,172
2020-08-14,0,0,139
2020-08-15,0,0,124
2020-08-16,0,0,31
2020-08-17,0,6,128
2020-08-18,0,0,123
2020-08-19,0,12,167
2020-08-20,0,123,127
2020-08-21,0,29,130
2020-08-22,0,1,100
2020-08-23,0,7,20
2020-08-24,0,3,131
2020-08-25,0,8,196
2020-08-26,0,2,133
2020-08-27,0,7,145
2020-08-28,0,14,199
2020-08-29,0,9,142
2020-08-30,0,1,34
2020-08-31,0,4,106
2020-09-01,0,14,138
2020-09-02,0,7,78
2020-09-03,0,11,26
2020-09-04,0,8,189
2020-09-05,0,15,74
2020-09-06,0,0,16
2020-09-07,0,14,88
2020-09-08,0,3,89
2020-09-09,0,4,119
2020-09-10,0,5,89
2020-09-11,0,6,177
2020-09-12,0,10,90
2020-09-13,0,0,36
2020-09-14,0,0,150
2020-09-15,0,8,163
2020-09-16,0,0,177
2020-09-17,0,3,110
2020-09-18,0,19,71
2020-09-19,0,8,80
2020-09-20,0,10,30
2020-09-21,0,2,74
2020-09-22,0,13,166
2020-09-23,0,13,149
2020-09-24,0,11,99
2020-09-25,0,12,137
2020-09-26,0,7,176
2020-09-27,0,0,15
2020-09-28,0,10,39
2020-09-29,0,0,131
2020-09-30,0,10,50
2020-10-01,0,13,64
2020-10-02,0,0,58
2020-10-03,0,9,43
2020-10-04,0,10,10
2020-10-05,0,1,48
2020-10-06,0,0,23
2020-10-07,0,33,42
2020-10-08,0,1,48
2020-10-09,0,6,69
2020-10-10,0,3,46
2020-10-11,0,15,20
2020-10-12,0,0,65
2020-10-13,0,27,128
2020-10-14,0,0,42
2020-10-15,0,11,97
2020-10-16,0,78,51
2020-10-17,0,10,95
2020-10-18,0,8,14
2020-10-19,0,17,41
2020-10-20,0,0,100
2020-10-21,0,51,110
2020-10-22,0,1,45
2020-10-23,0,25,42
2020-10-24,0,21,33
2020-10-25,0,0,18
2020-10-26,0,0,22
2020-10-27,0,28,32
2020-10-28,0,2,31
2020-10-29,0,25,26
2020-10-30,0,29,12
2020-10-31,0,0,25
2020-11-01,0,5,14
2020-11-02,0,13,24
2020-11-03,0,33,32
2020-11-04,0,38,17
2020-11-05,0,13,19
2020-11-07,0,22,31
2020-11-08,0,0,9
2020-11-09,0,0,18
2020-11-10,0,15,34
2020-11-11,0,19,46
2020-11-12,0,78,13
2020-11-13,1,20,19
2020-11-14,0,28,14
2020-11-15,0,0,7
2020-11-16,0,0,32
2020-11-17,0,38,57
2020-11-18,0,48,29
2020-11-19,0,4,121
2020-11-20,0,59,24
2020-11-21,0,33,27
2020-11-22,0,0,9
2020-11-23,0,1,47
2020-11-24,0,0,35
2020-11-25,0,0,39
2020-11-26,0,29,39
2020-11-27,0,29,132
2020-11-28,0,0,36
2020-11-29,0,9,13
2020-11-30,0,0,39
2020-12-01,0,30,68
2020-12-02,0,6,62
2020-12-03,0,30,55
2020-12-04,0,25,22
2020-12-05,0,92,20
2020-12-07,0,1,32
2020-12-08,0,0,22
2020-12-09,0,29,79
2020-12-10,1,38,71
2020-12-11,1,26,109
2020-12-12,0,22,6
2020-12-13,0,6,8
2020-12-14,0,5,44
2020-12-15,1,39,92
2020-12-16,0,39,51
2020-12-17,0,0,65
2020-12-18,0,41,36
2020-12-19,0,7,15
2020-12-20,0,14,10
2020-12-21,0,15,31
2020-12-22,2,10,6
2020-12-23,0,2,8
2020-12-24,0,41,10
2020-12-25,0,10,1
2020-12-26,0,3,17
2020-12-27,0,27,0
2020-12-28,1,37,20
2020-12-29,0,17,22
2020-12-30,0,87,18
2020-12-31,0,1,8
2021-01-01,0,0,7
2021-01-02,5,0,19
2021-01-03,0,32,0
2021-01-04,0,1,21
2021-01-05,8,33,27
2021-01-06,12,27,17
2021-01-07,9,40,29
2021-01-08,7,89,37
2021-01-09,8,0,18
2021-01-10,2,35,0
2021-01-11,20,0,41
2021-01-12,12,17,94
2021-01-13,3,93,42
2021-01-14,6,26,29
2021-01-15,11,61,47
2021-01-16,7,46,17
2021-01-17,2,0,1
2021-01-18,9,6,40
2021-01-19,9,21,76
2021-01-20,7,12,36
2021-01-21,6,38,35
2021-01-22,4,78,28
2021-01-23,5,35,36
2021-01-24,2,49,7
2021-01-25,11,7,29
2021-01-26,12,60,44
2021-01-27,8,10,29
2021-01-28,3,32,24
2021-01-29,11,59,24
2021-01-30,7,38,24
2021-01-31,2,16,2
2021-02-01,19,11,34
2021-02-02,9,18,87
2021-02-03,13,42,46
2021-02-04,15,15,25
2021-02-05,7,88,42
2021-02-06,6,60,20
2021-02-07,3,106,6
2021-02-08,17,66,26
2021-02-09,19,58,81
2021-02-10,16,45,40
2021-02-11,12,9,48
2021-02-12,14,30,42
2021-02-13,18,11,9
2021-02-14,3,0,0
2021-02-15,15,23,23
2021-02-16,23,13,76
2021-02-17,10,10,21
2021-02-18,21,40,59
2021-02-19,17,56,17
2021-02-20,18,1,25
2021-02-21,4,6,6
2021-02-22,22,4,33
2021-02-23,13,18,55
2021-02-24,28,1,36
2021-02-25,17,1,29
2021-02-26,21,0,70
2021-02-27,29,74,19
2021-02-28,3,94,1
2021-03-01,31,10,44
2021-03-02,34,0,42
2021-03-03,36,0,27
2021-03-04,32,14,44
2021-03-05,25,70,31
2021-03-06,43,43,6
2021-03-07,13,71,0
2021-03-08,49,38,35
2021-03-09,42,12,66
2021-03-10,40,52,25
2021-03-11,40,55,36
2021-03-12,35,53,39
2021-03-13,52,12,9
2021-03-14,12,56,4
2021-03-15,55,7,21
2021-03-16,60,36,43
2021-03-17,55,5,21
2021-03-18,57,35,17
2021-03-19,59,2,60
