FECHA_RESULTADO,AG,PCR,PR
2020-03-07,0,2,0
2020-03-08,0,2,0
2020-03-09,0,1,0
2020-03-10,0,1,0
2020-03-11,0,6,0
2020-03-12,0,5,0
2020-03-13,0,5,0
2020-03-14,0,14,0
2020-03-15,0,17,0
2020-03-16,0,13,0
2020-03-17,0,15,0
2020-03-18,0,32,0
2020-03-19,0,47,0
2020-03-20,0,22,0
2020-03-21,0,22,0
2020-03-22,0,24,0
2020-03-23,0,14,0
2020-03-24,0,30,0
2020-03-25,0,59,0
2020-03-26,0,25,0
2020-03-27,0,15,0
2020-03-28,0,61,0
2020-03-29,0,80,0
2020-03-30,0,52,17
2020-03-31,0,140,4
2020-04-01,0,38,11
2020-04-02,0,98,29
2020-04-03,0,69,75
2020-04-04,0,304,90
2020-04-05,0,155,85
2020-04-06,0,212,153
2020-04-07,0,271,222
2020-04-08,1,267,299
2020-04-09,0,253,247
2020-04-10,0,440,200
2020-04-11,0,303,315
2020-04-12,0,206,192
2020-04-13,0,230,324
2020-04-14,0,110,366
2020-04-15,0,162,477
2020-04-16,0,248,412
2020-04-17,0,77,372
2020-04-18,0,240,442
2020-04-19,0,306,331
2020-04-20,0,332,568
2020-04-21,0,359,635
2020-04-22,0,485,687
2020-04-23,0,358,679
2020-04-24,0,296,740
2020-04-25,0,364,755
2020-04-26,0,268,516
2020-04-27,0,280,1347
2020-04-28,0,258,1100
2020-04-29,0,259,1864
2020-04-30,0,239,1230
2020-05-01,0,366,743
2020-05-02,0,275,1249
2020-05-03,0,314,655
2020-05-04,0,239,1697
2020-05-05,0,481,1397
2020-05-06,0,541,1236
2020-05-07,0,485,1410
2020-05-08,0,362,1280
2020-05-09,0,394,720
2020-05-10,0,108,362
2020-05-11,0,416,1475
2020-05-12,0,651,1694
2020-05-13,0,488,1828
2020-05-14,0,276,1429
2020-05-15,0,464,1523
2020-05-16,0,383,1582
2020-05-17,0,379,608
2020-05-18,0,334,2081
2020-05-19,0,385,1874
2020-05-20,0,344,2076
2020-05-21,0,199,2257
2020-05-22,0,531,2241
2020-05-23,0,462,2042
2020-05-24,0,192,559
2020-05-25,0,286,3111
2020-05-26,0,506,2843
2020-05-27,0,519,3016
2020-05-28,0,530,2383
2020-05-29,0,440,2177
2020-05-30,0,578,1562
2020-05-31,0,364,736
2020-06-01,1,201,1490
2020-06-02,0,448,1153
2020-06-03,0,308,527
2020-06-04,0,271,1295
2020-06-05,0,872,1438
2020-06-06,0,1030,1013
2020-06-07,0,715,680
2020-06-08,0,408,1447
2020-06-09,0,675,1584
2020-06-10,0,440,1835
2020-06-11,0,763,1931
2020-06-12,0,876,1023
2020-06-13,0,580,1179
2020-06-14,0,529,790
2020-06-15,0,622,1269
2020-06-16,0,667,908
2020-06-17,0,587,912
2020-06-18,0,369,996
2020-06-19,0,259,936
2020-06-20,0,778,730
2020-06-21,0,221,280
2020-06-22,0,727,1053
2020-06-23,0,929,596
2020-06-24,0,878,775
2020-06-25,0,937,801
2020-06-26,0,615,978
2020-06-27,0,498,648
2020-06-28,0,286,367
2020-06-29,0,475,491
2020-06-30,0,399,791
2020-07-01,0,499,744
2020-07-02,0,402,726
2020-07-03,0,388,948
2020-07-04,0,464,703
2020-07-05,0,593,384
2020-07-06,0,678,641
2020-07-07,0,875,642
2020-07-08,0,331,532
2020-07-09,0,517,499
2020-07-10,0,421,1194
2020-07-11,0,463,799
2020-07-12,0,622,351
2020-07-13,0,894,682
2020-07-14,0,1008,708
2020-07-15,1,1102,745
2020-07-16,0,1226,730
2020-07-17,0,799,1060
2020-07-18,0,686,990
2020-07-19,0,591,414
2020-07-20,0,819,849
2020-07-21,0,656,1254
2020-07-22,0,895,1258
2020-07-23,0,985,866
2020-07-24,0,1032,1075
2020-07-25,0,573,1150
2020-07-26,0,775,542
2020-07-27,0,691,1644
2020-07-28,0,482,531
2020-07-29,0,649,1603
2020-07-30,0,623,1895
2020-07-31,1,623,1784
2020-08-01,0,860,1559
2020-08-02,0,799,634
2020-08-03,0,784,1963
2020-08-04,0,935,1772
2020-08-05,0,896,1611
2020-08-06,0,873,1771
2020-08-07,0,364,1917
2020-08-08,0,857,1506
2020-08-09,0,688,831
2020-08-10,1,564,1899
2020-08-11,0,1106,1865
2020-08-12,1,1344,1944
2020-08-13,0,1218,1723
2020-08-14,1,1511,1738
2020-08-15,0,1520,1546
2020-08-16,0,1131,594
2020-08-17,0,1219,1987
2020-08-18,0,1278,1803
2020-08-19,1,1271,1818
2020-08-20,0,1006,1558
2020-08-21,0,1011,1731
2020-08-22,0,920,1433
2020-08-23,0,657,336
2020-08-24,0,661,1725
2020-08-25,0,649,1998
2020-08-26,0,999,1685
2020-08-27,0,750,1900
2020-08-28,0,1161,2143
2020-08-29,1,541,1662
2020-08-30,1,670,368
2020-08-31,0,733,1391
2020-09-01,0,641,1390
2020-09-02,1,670,1394
2020-09-03,0,705,891
2020-09-04,0,818,1921
2020-09-05,0,541,954
2020-09-06,0,364,385
2020-09-07,2,699,1249
2020-09-08,0,545,1240
2020-09-09,1,802,1424
2020-09-10,0,484,748
2020-09-11,0,702,2656
2020-09-12,0,529,1280
2020-09-13,0,469,402
2020-09-14,1,415,1205
2020-09-15,0,441,1158
2020-09-16,1,409,1340
2020-09-17,0,743,1551
2020-09-18,0,599,1499
2020-09-19,0,481,1374
2020-09-20,1,292,414
2020-09-21,0,557,1043
2020-09-22,0,528,1143
