FECHA_RESULTADO,AG,PCR,PR
2020-03-16,0,1,0
2020-03-17,0,9,0
2020-03-18,0,1,0
2020-03-19,0,1,0
2020-03-20,0,2,0
2020-03-21,0,2,0
2020-03-24,0,2,0
2020-03-26,0,5,0
2020-03-27,0,4,0
2020-03-28,0,25,0
2020-03-29,0,1,0
2020-03-30,0,5,0
2020-03-31,0,4,0
2020-04-01,0,10,1
2020-04-02,0,9,0
2020-04-03,0,25,0
2020-04-04,0,37,4
2020-04-05,0,28,3
2020-04-06,0,8,2
2020-04-07,0,96,4
2020-04-08,0,37,31
2020-04-09,0,2,2
2020-04-10,0,0,7
2020-04-11,0,5,8
2020-04-12,0,21,4
2020-04-13,0,15,11
2020-04-14,0,22,9
2020-04-15,0,12,0
2020-04-16,0,0,8
2020-04-17,0,53,5
2020-04-18,0,62,9
2020-04-19,0,38,4
2020-04-20,0,35,7
2020-04-21,0,13,7
2020-04-22,0,12,6
2020-04-23,0,5,20
2020-04-24,0,34,45
2020-04-25,0,28,56
2020-04-26,0,35,25
2020-04-27,0,46,28
2020-04-28,0,106,68
2020-04-29,0,175,55
2020-04-30,0,49,45
2020-05-01,0,48,108
2020-05-02,0,61,45
2020-05-03,0,6,19
2020-05-04,0,38,98
2020-05-05,0,23,49
2020-05-06,0,34,77
2020-05-07,0,22,55
2020-05-08,0,16,110
2020-05-09,0,60,45
2020-05-10,0,14,37
2020-05-11,0,57,139
2020-05-12,0,46,79
2020-05-13,0,55,103
2020-05-14,0,51,82
2020-05-15,0,109,139
2020-05-16,0,84,73
2020-05-17,0,61,18
2020-05-18,0,57,110
2020-05-19,0,36,226
2020-05-20,0,55,143
2020-05-21,0,13,192
2020-05-22,0,16,142
2020-05-23,0,53,100
2020-05-24,0,63,33
2020-05-25,0,32,118
2020-05-26,0,13,260
2020-05-27,0,20,135
2020-05-28,0,3,82
2020-05-29,0,24,161
2020-05-30,0,39,116
2020-05-31,0,270,34
2020-06-01,0,24,160
2020-06-02,0,58,109
2020-06-03,0,10,81
2020-06-04,0,6,193
2020-06-05,0,9,336
2020-06-06,0,14,182
2020-06-07,0,0,30
2020-06-08,0,27,154
2020-06-09,0,78,55
2020-06-10,0,42,187
2020-06-11,0,13,252
2020-06-12,0,0,225
2020-06-13,0,16,153
2020-06-14,0,0,17
2020-06-15,0,0,105
2020-06-16,0,5,61
2020-06-17,0,8,108
2020-06-18,0,26,124
2020-06-19,0,1,157
2020-06-20,0,39,83
2020-06-21,0,1,17
2020-06-22,0,11,255
2020-06-23,0,1,133
2020-06-24,0,3,37
2020-06-25,0,3,81
2020-06-26,0,0,98
2020-06-27,0,1,51
2020-06-28,0,0,32
2020-06-29,0,0,57
2020-06-30,0,5,61
2020-07-01,0,23,105
2020-07-02,0,4,91
2020-07-03,0,1,67
2020-07-04,0,0,76
2020-07-05,0,0,55
2020-07-06,0,8,115
2020-07-07,0,2,128
2020-07-08,0,4,65
2020-07-09,0,11,63
2020-07-10,0,0,154
2020-07-11,0,1,100
2020-07-12,0,0,53
2020-07-13,0,7,68
2020-07-14,0,27,67
2020-07-15,0,2,127
2020-07-16,0,6,116
2020-07-17,0,2,148
2020-07-18,0,0,131
2020-07-19,0,0,76
2020-07-20,0,0,269
2020-07-21,0,4,175
2020-07-22,0,2,99
2020-07-23,0,5,207
2020-07-24,0,0,179
2020-07-25,0,0,126
2020-07-26,0,0,88
2020-07-27,0,0,228
2020-07-28,0,0,72
2020-07-29,0,5,164
2020-07-30,0,2,187
2020-07-31,0,0,132
2020-08-01,0,12,165
2020-08-02,0,0,60
2020-08-03,0,1,218
2020-08-04,0,1,151
2020-08-05,0,0,111
2020-08-06,0,2,157
2020-08-07,0,2,154
2020-08-08,0,0,118
2020-08-09,0,0,32
2020-08-10,0,0,196
2020-08-11,0,5,166
2020-08-12,0,1,204
2020-08-13,0,5,205
2020-08-14,0,6,271
2020-08-15,0,0,179
2020-08-16,0,0,81
2020-08-17,0,3,211
2020-08-18,0,7,214
2020-08-19,0,1,198
2020-08-20,0,0,289
2020-08-21,0,6,187
2020-08-22,0,0,119
2020-08-23,0,0,48
2020-08-24,0,1,222
2020-08-25,0,0,209
2020-08-26,0,7,154
2020-08-27,0,12,125
2020-08-28,0,2,106
2020-08-29,0,0,88
2020-08-30,0,0,80
2020-08-31,0,0,142
2020-09-01,0,0,178
