FECHA_RESULTADO,AG,PCR,PR
2020-03-18,0,1,0
2020-04-01,0,1,0
2020-04-08,0,1,0
2020-04-09,0,0,1
2020-04-11,0,0,6
2020-04-12,0,0,5
2020-04-13,0,0,2
2020-04-14,0,0,2
2020-04-15,0,0,4
2020-04-16,0,4,0
2020-04-17,0,0,2
2020-04-18,0,1,2
2020-04-20,0,0,1
2020-04-21,0,1,0
2020-04-22,0,0,6
2020-04-23,0,0,1
2020-04-24,0,0,1
2020-04-25,0,1,4
2020-04-27,0,0,4
2020-04-28,0,0,2
2020-04-29,0,1,3
2020-04-30,0,0,1
2020-05-01,0,0,2
2020-05-02,0,0,1
2020-05-04,0,2,2
2020-05-05,0,0,1
2020-05-06,0,3,2
2020-05-08,0,1,2
2020-05-09,0,2,0
2020-05-11,0,0,8
2020-05-12,0,4,1
2020-05-13,0,1,3
2020-05-14,0,0,4
2020-05-15,0,0,1
2020-05-16,0,0,13
2020-05-18,0,6,3
2020-05-19,0,2,2
2020-05-20,0,0,2
2020-05-21,0,0,3
2020-05-22,0,2,12
2020-05-23,0,0,8
2020-05-25,0,0,13
2020-05-26,0,0,9
2020-05-27,0,0,9
2020-05-28,0,8,15
2020-05-29,0,6,11
2020-05-30,0,0,6
2020-05-31,0,0,1
2020-06-01,0,2,21
2020-06-02,0,1,18
2020-06-03,0,4,7
2020-06-04,0,28,9
2020-06-05,0,7,1
2020-06-06,0,1,11
2020-06-07,0,0,1
2020-06-08,0,14,12
2020-06-09,0,0,15
2020-06-10,0,12,19
2020-06-11,0,0,28
2020-06-12,0,3,16
2020-06-13,0,4,9
2020-06-14,0,0,5
2020-06-15,0,7,22
2020-06-16,0,36,19
2020-06-17,0,8,10
2020-06-18,0,0,8
2020-06-19,0,18,15
2020-06-20,0,0,12
2020-06-21,0,0,1
2020-06-22,0,2,14
2020-06-23,0,5,22
2020-06-24,0,0,14
2020-06-25,0,9,19
2020-06-26,0,5,23
2020-06-27,0,0,38
2020-06-28,0,0,5
2020-06-29,0,0,33
2020-06-30,0,2,30
2020-07-01,0,7,34
2020-07-02,0,16,19
2020-07-03,0,12,19
2020-07-04,0,7,15
2020-07-05,0,0,6
2020-07-06,0,8,15
2020-07-07,0,7,21
2020-07-08,0,0,4
2020-07-09,0,0,6
2020-07-10,0,0,17
2020-07-11,0,0,12
2020-07-12,0,0,8
2020-07-13,0,3,6
2020-07-14,0,21,13
2020-07-15,0,0,1
2020-07-16,0,0,10
2020-07-17,0,18,6
2020-07-18,0,0,24
2020-07-19,0,0,2
2020-07-20,0,19,12
2020-07-21,0,0,32
2020-07-22,0,0,31
2020-07-23,0,7,23
2020-07-24,0,3,42
2020-07-25,0,0,33
2020-07-26,0,0,6
2020-07-27,0,8,42
2020-07-28,0,0,33
2020-07-29,0,0,34
2020-07-30,0,0,55
2020-07-31,0,11,56
2020-08-01,0,0,30
2020-08-02,0,0,9
2020-08-03,0,0,42
2020-08-04,0,4,39
2020-08-05,0,0,48
2020-08-06,0,0,91
2020-08-07,0,0,26
2020-08-08,0,0,23
2020-08-09,0,1,16
2020-08-10,0,0,39
2020-08-11,0,0,35
2020-08-12,0,0,61
2020-08-13,0,2,68
2020-08-14,0,2,49
2020-08-15,0,0,25
2020-08-16,0,0,3
2020-08-17,0,0,30
2020-08-18,0,2,61
2020-08-19,0,0,56
2020-08-20,0,0,56
2020-08-21,0,0,35
2020-08-22,0,0,35
2020-08-23,0,0,8
2020-08-24,0,0,39
2020-08-25,0,0,107
2020-08-26,0,0,57
2020-08-27,0,0,47
2020-08-28,0,4,56
2020-08-29,0,0,39
2020-08-30,0,0,5
2020-08-31,0,6,39
2020-09-01,0,0,34
2020-09-02,0,2,48
2020-09-03,0,0,12
2020-09-04,0,0,49
2020-09-05,0,0,14
2020-09-06,0,0,16
2020-09-07,0,0,20
2020-09-08,0,0,37
2020-09-09,0,0,27
2020-09-10,0,0,25
2020-09-11,0,0,93
2020-09-12,0,0,87
2020-09-13,0,0,10
2020-09-14,0,0,14
2020-09-15,0,0,19
2020-09-16,0,0,23
2020-09-17,0,0,23
2020-09-18,0,0,25
2020-09-19,0,0,21
2020-09-20,0,0,28
2020-09-21,0,0,28
2020-09-22,0,0,20
2020-09-23,0,0,97
2020-09-24,0,0,13
2020-09-25,0,0,27
2020-09-26,0,0,22
2020-09-27,0,0,8
2020-09-28,0,0,2
2020-09-29,0,0,10
2020-09-30,0,0,15
2020-10-01,0,0,3
2020-10-02,0,0,1
2020-10-03,0,0,4
2020-10-04,0,0,2
2020-10-05,0,0,9
2020-10-06,0,0,5
2020-10-07,0,0,11
2020-10-08,0,0,45
2020-10-09,0,0,5
2020-10-10,0,0,8
2020-10-11,0,0,4
2020-10-12,0,0,13
2020-10-13,0,0,12
