FECHA_RESULTADO,AG,PCR,PR
2020-03-26,0,2,0
2020-04-03,0,2,0
2020-04-04,0,2,0
2020-04-05,0,4,0
2020-04-09,0,6,4
2020-04-10,0,2,0
2020-04-11,0,4,0
2020-04-13,0,0,4
2020-04-14,0,0,4
2020-04-15,0,0,6
2020-04-16,0,2,4
2020-04-17,0,0,6
2020-04-18,0,0,34
2020-04-19,0,0,4
2020-04-20,0,12,14
2020-04-21,0,0,24
2020-04-22,0,2,16
2020-04-23,0,0,24
2020-04-24,0,0,20
2020-04-25,0,0,32
2020-04-26,0,0,12
2020-04-27,0,0,30
2020-04-28,0,0,18
2020-04-29,0,8,20
2020-04-30,0,0,6
2020-05-01,0,0,14
2020-05-02,0,0,22
2020-05-03,0,0,10
2020-05-04,0,0,62
2020-05-05,0,0,22
2020-05-06,0,0,20
2020-05-07,0,2,12
2020-05-08,0,0,6
2020-05-09,0,0,16
2020-05-10,0,2,2
2020-05-11,0,0,6
2020-05-12,0,0,24
2020-05-13,0,0,20
2020-05-14,0,0,32
2020-05-15,0,0,20
2020-05-16,0,0,40
2020-05-17,0,0,16
2020-05-18,0,4,16
2020-05-19,0,0,44
2020-05-20,0,0,52
2020-05-21,0,0,66
2020-05-22,0,0,104
2020-05-23,0,0,90
2020-05-24,0,0,50
2020-05-25,0,0,40
2020-05-26,0,0,60
2020-05-27,0,0,52
2020-05-28,0,0,44
2020-05-29,0,2,6
2020-05-30,0,2,22
2020-05-31,0,2,4
2020-06-01,0,0,66
2020-06-02,0,0,20
2020-06-03,0,0,66
2020-06-04,0,4,54
2020-06-05,0,4,22
2020-06-06,0,0,16
2020-06-07,0,2,20
2020-06-08,0,0,42
2020-06-09,0,0,54
2020-06-10,0,6,50
2020-06-11,0,2,82
2020-06-12,0,0,34
2020-06-13,0,0,70
2020-06-14,0,0,26
2020-06-15,0,4,44
2020-06-16,0,0,12
2020-06-17,0,2,6
2020-06-18,0,4,24
2020-06-19,0,0,36
2020-06-20,0,0,20
2020-06-21,0,0,4
2020-06-22,0,0,14
2020-06-23,0,0,26
2020-06-24,0,0,22
2020-06-25,0,0,26
2020-06-26,0,0,40
2020-06-27,0,6,24
2020-06-28,0,8,8
2020-06-29,0,0,30
2020-06-30,0,0,26
2020-07-01,0,0,26
2020-07-02,0,16,28
2020-07-03,0,0,12
2020-07-04,0,0,38
2020-07-05,0,4,18
2020-07-06,0,26,22
2020-07-07,0,0,44
2020-07-08,0,22,34
2020-07-09,0,2,18
2020-07-10,0,2,144
2020-07-11,0,6,62
2020-07-12,0,0,40
2020-07-13,0,32,24
2020-07-14,0,10,22
2020-07-15,0,18,14
2020-07-16,0,0,28
2020-07-17,0,0,40
2020-07-18,0,6,64
2020-07-19,0,0,24
2020-07-20,0,6,30
2020-07-21,0,12,44
2020-07-22,0,0,62
2020-07-23,0,0,64
2020-07-24,0,10,58
2020-07-25,0,0,108
2020-07-26,0,2,60
2020-07-27,0,12,104
2020-07-28,0,0,46
2020-07-29,0,0,116
2020-07-30,0,14,178
2020-07-31,0,8,110
2020-08-01,0,0,72
2020-08-02,0,0,194
2020-08-03,0,0,162
2020-08-04,0,0,238
2020-08-05,0,0,136
2020-08-06,0,14,236
2020-08-07,0,20,118
2020-08-08,0,4,128
2020-08-09,0,6,114
2020-08-10,0,0,168
2020-08-11,0,0,174
2020-08-12,0,26,86
2020-08-13,0,6,106
2020-08-14,0,10,138
2020-08-15,0,0,82
2020-08-16,0,18,64
2020-08-17,0,0,120
2020-08-18,0,14,90
2020-08-19,0,0,118
2020-08-20,0,16,148
2020-08-21,0,12,106
2020-08-22,0,0,46
2020-08-23,0,2,6
2020-08-24,0,0,98
2020-08-25,0,0,200
2020-08-26,0,8,90
2020-08-27,0,14,150
2020-08-28,0,0,132
2020-08-29,0,34,110
2020-08-30,0,6,22
2020-08-31,0,0,112
2020-09-01,0,0,82
2020-09-02,0,0,132
2020-09-03,0,8,16
2020-09-04,0,0,218
2020-09-05,0,14,50
