FECHA_RESULTADO,AG,PCR,PR
2020-03-23,0,3,0
2020-03-26,0,1,0
2020-03-27,0,1,0
2020-03-28,0,2,0
2020-03-29,0,0,1
2020-03-30,0,2,0
2020-03-31,0,3,0
2020-04-01,0,2,0
2020-04-02,0,1,3
2020-04-03,0,4,1
2020-04-04,0,5,4
2020-04-06,0,1,2
2020-04-07,0,0,3
2020-04-08,0,0,14
2020-04-10,0,1,1
2020-04-11,0,5,23
2020-04-12,0,0,5
2020-04-13,0,0,9
2020-04-14,0,12,6
2020-04-15,0,0,16
2020-04-16,0,0,7
2020-04-17,0,0,5
2020-04-18,0,0,5
2020-04-19,0,0,4
2020-04-20,0,0,13
2020-04-21,0,0,2
2020-04-22,0,0,6
2020-04-23,0,1,6
2020-04-24,0,1,13
2020-04-25,0,0,8
2020-04-26,0,0,6
2020-04-27,0,0,11
2020-04-28,0,0,7
2020-04-29,0,0,29
2020-04-30,0,0,20
2020-05-01,0,0,14
2020-05-02,0,0,32
2020-05-03,0,0,7
2020-05-04,0,0,17
2020-05-05,0,0,29
2020-05-06,0,0,9
2020-05-07,0,0,8
2020-05-08,0,0,10
2020-05-09,0,0,16
2020-05-10,0,0,2
2020-05-11,0,0,24
2020-05-12,0,0,17
2020-05-13,0,0,24
2020-05-14,0,0,10
2020-05-15,0,0,21
2020-05-16,0,0,23
2020-05-17,0,0,8
2020-05-18,0,0,17
2020-05-19,0,0,25
2020-05-20,0,0,25
2020-05-21,0,0,33
2020-05-22,0,0,36
2020-05-23,0,0,23
2020-05-24,0,0,10
2020-05-25,0,0,35
2020-05-26,0,0,27
2020-05-27,0,0,17
2020-05-28,0,2,44
2020-05-29,0,0,37
2020-05-30,0,0,21
2020-05-31,0,0,9
2020-06-01,0,0,47
2020-06-02,0,0,40
2020-06-03,0,0,38
2020-06-04,0,0,42
2020-06-05,0,0,73
2020-06-06,0,0,55
2020-06-07,0,0,8
2020-06-08,0,0,52
2020-06-09,0,0,61
2020-06-10,0,0,60
2020-06-11,0,0,101
2020-06-12,0,0,64
2020-06-13,0,0,46
2020-06-14,0,0,16
2020-06-15,0,0,69
2020-06-16,0,0,58
2020-06-17,0,0,80
2020-06-18,0,0,44
2020-06-19,0,0,43
2020-06-20,0,0,57
2020-06-21,0,0,20
2020-06-22,0,0,41
2020-06-23,0,0,52
2020-06-24,0,0,76
2020-06-25,0,0,60
2020-06-26,0,0,63
2020-06-27,0,23,63
2020-06-28,0,0,23
2020-06-29,0,39,41
2020-06-30,0,76,59
2020-07-01,0,2,67
2020-07-02,0,67,44
2020-07-03,0,0,50
2020-07-04,0,5,30
2020-07-05,0,0,30
2020-07-06,0,11,25
2020-07-07,0,0,36
2020-07-08,0,0,27
2020-07-09,0,35,4
2020-07-10,0,3,68
2020-07-11,0,31,33
2020-07-12,0,0,15
2020-07-13,0,0,18
2020-07-14,0,4,13
2020-07-15,0,49,23
2020-07-16,0,0,13
2020-07-17,0,51,26
2020-07-18,0,0,29
2020-07-19,0,0,16
2020-07-20,0,3,16
2020-07-21,0,0,17
2020-07-22,0,17,51
2020-07-23,0,0,28
2020-07-24,0,0,35
2020-07-25,0,0,38
2020-07-26,0,0,16
2020-07-27,0,10,51
2020-07-28,0,0,18
2020-07-29,0,15,36
2020-07-30,0,0,36
2020-07-31,0,0,43
2020-08-01,0,0,33
2020-08-02,0,26,9
2020-08-03,0,0,74
2020-08-04,0,8,49
2020-08-05,0,5,46
2020-08-06,0,13,56
2020-08-07,0,8,73
2020-08-08,0,0,44
2020-08-09,0,0,24
2020-08-10,0,0,47
2020-08-11,0,0,71
2020-08-12,0,0,46
2020-08-13,0,0,50
2020-08-14,0,0,42
2020-08-15,0,0,51
2020-08-16,0,0,7
2020-08-17,0,0,22
2020-08-18,0,0,47
2020-08-19,0,29,46
2020-08-20,0,9,32
2020-08-21,0,16,34
2020-08-22,0,0,28
2020-08-23,0,0,1
2020-08-24,0,0,59
2020-08-25,0,0,68
2020-08-26,0,0,40
2020-08-27,0,0,26
2020-08-28,0,0,27
2020-08-29,0,0,40
2020-08-30,0,0,9
2020-08-31,0,0,30
2020-09-01,0,21,31
2020-09-02,0,4,28
2020-09-03,0,1,15
2020-09-04,0,0,34
2020-09-05,0,0,21
2020-09-06,0,0,16
2020-09-07,0,4,60
2020-09-08,0,0,56
2020-09-09,0,0,43
2020-09-10,0,0,14
2020-09-11,0,0,54
2020-09-12,0,0,37
2020-09-13,0,0,47
2020-09-14,0,0,54
2020-09-15,0,11,65
2020-09-16,0,0,40
2020-09-17,0,0,93
2020-09-18,0,0,52
2020-09-19,0,0,22
2020-09-20,0,0,11
2020-09-21,0,0,66
2020-09-22,0,0,96
2020-09-23,0,0,48
2020-09-24,0,0,68
2020-09-25,0,0,70
2020-09-26,0,0,17
2020-09-27,0,0,10
2020-09-28,0,0,22
2020-09-29,0,0,28
2020-09-30,0,0,39
2020-10-01,0,0,26
2020-10-02,0,0,13
2020-10-03,0,0,23
2020-10-04,0,0,7
2020-10-05,0,0,11
2020-10-06,0,0,19
2020-10-07,0,0,79
2020-10-08,0,0,21
2020-10-09,0,0,39
2020-10-10,0,0,21
2020-10-11,0,0,10
2020-10-12,0,0,14
2020-10-13,0,0,14
2020-10-14,0,0,29
2020-10-15,0,0,50
2020-10-16,0,0,28
2020-10-17,0,0,23
2020-10-18,0,0,11
2020-10-19,0,0,33
2020-10-20,0,0,41
2020-10-21,0,0,32
2020-10-22,0,0,29
2020-10-23,0,0,33
2020-10-24,0,0,21
2020-10-25,0,0,6
2020-10-26,0,0,26
2020-10-27,0,0,24
2020-10-28,0,0,15
2020-10-29,0,0,10
2020-10-30,0,0,25
2020-10-31,0,0,14
2020-11-01,0,0,7
2020-11-02,0,0,28
2020-11-03,0,0,15
2020-11-04,0,0,16
2020-11-05,0,0,29
2020-11-07,0,0,21
2020-11-08,0,0,8
2020-11-09,0,0,27
2020-11-10,0,0,16
2020-11-11,0,0,14
2020-11-12,0,9,18
2020-11-13,0,14,6
2020-11-14,0,0,9
2020-11-15,0,0,6
2020-11-16,0,0,14
2020-11-17,0,1,3
2020-11-18,0,0,5
2020-11-19,0,0,24
2020-11-20,0,3,8
2020-11-21,0,1,8
2020-11-22,0,0,4
2020-11-23,0,0,11
2020-11-24,0,0,10
2020-11-25,0,0,10
2020-11-26,0,13,10
2020-11-27,0,0,14
2020-11-28,0,1,5
2020-11-29,0,14,1
2020-11-30,0,0,11
2020-12-01,0,0,10
2020-12-02,0,0,12
2020-12-03,0,0,16
2020-12-04,0,0,7
2020-12-05,0,15,16
2020-12-07,0,0,11
2020-12-08,0,0,4
2020-12-09,0,0,18
2020-12-10,0,8,15
2020-12-11,0,0,12
2020-12-12,0,0,11
2020-12-13,0,0,1
2020-12-14,0,0,6
2020-12-15,0,7,3
2020-12-16,0,0,8
2020-12-17,0,0,8
2020-12-18,0,2,7
2020-12-19,1,0,8
2020-12-20,0,0,2
2020-12-21,0,12,14
2020-12-22,0,0,9
2020-12-23,0,0,1
2020-12-24,0,14,1
2020-12-26,0,0,7
2020-12-28,0,14,7
2020-12-29,3,0,3
2020-12-30,0,16,3
2020-12-31,2,0,2
2021-01-02,3,0,1
2021-01-04,0,27,1
2021-01-05,1,1,1
2021-01-06,2,23,1
2021-01-07,1,2,3
2021-01-08,4,37,0
2021-01-09,5,18,1
2021-01-10,2,0,0
2021-01-11,3,0,1
2021-01-12,3,29,1
2021-01-13,3,32,3
2021-01-14,0,2,4
2021-01-15,2,32,1
2021-01-16,4,24,3
2021-01-17,0,0,1
2021-01-18,6,55,2
2021-01-19,4,0,5
2021-01-20,8,63,5
2021-01-21,5,10,1
2021-01-22,9,12,2
2021-01-23,6,35,0
2021-01-24,2,4,0
2021-01-25,12,51,4
2021-01-26,8,35,5
2021-01-27,10,30,2
2021-01-28,7,25,1
2021-01-29,12,4,5
2021-01-30,10,46,5
2021-01-31,4,0,0
2021-02-01,13,39,4
2021-02-02,13,0,2
2021-02-03,10,59,4
2021-02-04,12,6,3
2021-02-05,9,1,2
2021-02-06,7,5,2
2021-02-07,4,36,0
2021-02-08,15,41,2
2021-02-09,9,2,3
2021-02-10,15,25,0
2021-02-11,18,66,4
2021-02-12,16,0,1
2021-02-13,36,48,0
2021-02-14,1,0,0
2021-02-15,31,9,4
2021-02-16,17,12,3
2021-02-17,19,22,2
2021-02-18,21,3,3
2021-02-19,13,51,2
2021-02-20,21,0,1
2021-02-22,28,25,7
2021-02-23,17,18,3
2021-02-24,27,68,3
2021-02-25,41,1,0
2021-02-26,24,34,2
2021-02-27,35,30,0
2021-02-28,6,27,1
2021-03-01,45,38,1
2021-03-02,31,1,2
2021-03-03,27,25,0
2021-03-04,22,49,3
2021-03-05,19,0,0
2021-03-06,30,6,1
2021-03-07,5,0,0
2021-03-08,40,3,5
2021-03-09,23,13,1
2021-03-10,36,16,1
2021-03-11,29,3,3
2021-03-12,33,60,2
2021-03-13,17,3,1
2021-03-14,8,16,0
2021-03-15,31,1,1
2021-03-16,52,53,2
2021-03-17,23,0,0
2021-03-18,29,22,0
2021-03-19,24,47,0
2021-03-20,39,0,1
2021-03-21,9,0,0
2021-03-22,61,60,3
2021-03-23,63,0,3
2021-03-24,40,54,4
2021-03-25,51,29,7
2021-03-26,48,0,5
2021-03-27,56,35,5
2021-03-28,7,0,0
2021-03-29,52,3,0
2021-03-30,72,0,2
2021-03-31,52,24,2
2021-04-01,23,0,1
2021-04-02,7,0,1
2021-04-03,43,28,0
2021-04-04,12,18,0
2021-04-05,74,12,1
2021-04-06,72,0,2
2021-04-07,42,16,3
2021-04-08,48,2,1
2021-04-09,46,1,1
2021-04-10,47,72,0
2021-04-11,4,0,0
2021-04-12,59,2,0
2021-04-13,53,0,0
2021-04-14,34,0,5
2021-04-15,43,2,1
2021-04-16,66,1,1
2021-04-17,44,33,0
2021-04-18,7,0,0
2021-04-19,78,0,1
2021-04-20,38,45,8
2021-04-21,37,2,2
2021-04-22,35,10,1
2021-04-23,59,15,5
2021-04-24,41,1,3
2021-04-25,6,0,0
2021-04-26,36,24,0
2021-04-27,38,44,8
2021-04-28,19,1,1
2021-04-29,49,16,2
2021-04-30,69,0,0
2021-05-01,16,0,0
2021-05-02,4,0,0
2021-05-03,31,10,1
2021-05-04,20,10,0
2021-05-05,25,28,1
2021-05-06,22,0,10
2021-05-07,26,41,1
2021-05-08,23,1,2
2021-05-09,5,0,2
2021-05-10,55,0,2
2021-05-11,44,23,3
2021-05-12,23,1,1
2021-05-13,37,0,1
2021-05-14,25,55,0
2021-05-15,36,0,0
2021-05-16,3,0,4
2021-05-17,75,0,4
2021-05-18,32,0,3
2021-05-19,23,1,2
2021-05-20,23,0,0
2021-05-21,17,1,2
2021-05-22,18,1,0
2021-05-23,3,0,0
2021-05-24,20,46,0
2021-05-25,13,19,0
2021-05-26,10,0,0
2021-05-27,8,0,0
2021-05-28,28,11,1
2021-05-29,16,26,0
2021-05-30,4,0,0
2021-05-31,18,0,1
2021-06-01,16,47,1
2021-06-02,7,1,0
2021-06-03,10,0,1
2021-06-04,9,0,0
2021-06-05,7,83,1
2021-06-07,13,1,0
2021-06-08,11,21,0
2021-06-09,9,2,0
2021-06-10,10,2,0
2021-06-11,4,18,0
2021-06-12,5,6,0
2021-06-14,6,38,2
2021-06-15,7,1,3
2021-06-16,18,32,0
2021-06-17,12,32,0
2021-06-18,7,8,5
2021-06-19,7,10,0
2021-06-20,0,15,0
2021-06-21,6,1,0
2021-06-22,10,62,1
2021-06-23,5,1,2
2021-06-24,6,14,1
2021-06-25,4,1,0
2021-06-26,3,0,0
2021-06-27,0,22,0
2021-06-28,12,0,0
2021-06-29,0,10,0
2021-06-30,2,51,1
2021-07-01,10,0,0
2021-07-02,4,24,0
2021-07-03,0,34,0
2021-07-05,4,8,2
2021-07-06,6,22,0
2021-07-07,8,7,0
2021-07-08,8,14,2
2021-07-09,9,2,0
2021-07-10,9,7,0
2021-07-11,1,0,1
2021-07-12,3,0,0
2021-07-13,7,0,0
2021-07-14,3,11,1
2021-07-15,5,0,0
2021-07-16,4,5,2
2021-07-17,1,0,0
2021-07-18,0,0,1
2021-07-19,1,10,0
2021-07-20,2,5,0
2021-07-21,5,1,0
2021-07-22,1,1,0
2021-07-23,5,0,0
2021-07-24,4,13,0
2021-07-25,2,0,0
2021-07-26,7,0,0
2021-07-27,2,11,2
2021-07-29,1,0,1
2021-07-30,7,3,0
2021-07-31,2,1,0
2021-08-01,1,0,0
2021-08-02,3,3,0
2021-08-03,3,2,0
2021-08-04,2,2,0
2021-08-05,1,36,0
2021-08-06,3,4,0
2021-08-07,2,3,0
2021-08-08,1,0,0
2021-08-09,2,0,0
2021-08-10,2,0,0
2021-08-11,4,9,0
2021-08-12,1,7,0
2021-08-13,2,30,0
2021-08-14,4,0,0
2021-08-16,0,6,0
2021-08-17,4,7,0
2021-08-18,3,4,1
2021-08-19,13,0,3
2021-08-20,5,10,1
2021-08-21,1,0,0
2021-08-23,4,18,0
2021-08-24,6,2,0
2021-08-25,4,0,0
2021-08-26,4,5,1
2021-08-27,1,17,0
2021-08-28,1,0,0
2021-08-29,2,0,0
2021-08-30,3,0,0
2021-08-31,10,0,0
2021-09-01,4,0,0
2021-09-02,5,0,0
2021-09-03,4,0,2
2021-09-04,1,1,0
2021-09-06,8,0,0
2021-09-07,7,0,0
