FECHA_RESULTADO,AG,PCR,PR
2020-04-02,0,0,1
2020-04-03,0,0,1
2020-04-04,0,0,6
2020-04-06,0,0,5
2020-04-07,0,0,1
2020-04-10,0,1,2
2020-04-11,0,0,1
2020-04-12,0,0,3
2020-04-13,0,0,11
2020-04-14,0,0,6
2020-04-15,0,6,16
2020-04-16,0,1,6
2020-04-17,0,0,15
2020-04-18,0,0,19
2020-04-19,0,8,14
2020-04-20,0,0,26
2020-04-21,0,0,23
2020-04-22,0,0,24
2020-04-23,0,0,15
2020-04-24,0,0,51
2020-04-25,0,0,21
2020-04-26,0,0,18
2020-04-27,0,0,109
2020-04-28,0,78,106
2020-04-29,0,0,87
2020-04-30,0,0,79
2020-05-01,0,0,76
2020-05-02,0,0,106
2020-05-03,0,30,64
2020-05-04,0,2,89
2020-05-05,0,0,59
2020-05-06,0,29,52
2020-05-07,0,0,12
2020-05-08,0,0,101
2020-05-09,0,0,190
2020-05-10,0,0,47
2020-05-11,0,0,47
2020-05-12,0,0,84
2020-05-13,0,0,110
2020-05-14,0,0,111
2020-05-15,0,11,93
2020-05-16,0,250,157
2020-05-17,0,0,57
2020-05-18,0,30,324
2020-05-19,0,0,142
2020-05-20,0,2,315
2020-05-21,0,0,170
2020-05-22,0,0,193
2020-05-23,0,0,125
2020-05-24,0,0,36
2020-05-25,0,0,77
2020-05-26,0,0,197
2020-05-27,0,99,77
2020-05-28,0,43,167
2020-05-29,0,3,169
2020-05-30,0,0,207
2020-05-31,0,0,50
2020-06-01,0,0,114
2020-06-02,0,0,39
2020-06-03,0,0,58
2020-06-04,0,0,61
2020-06-05,0,93,60
2020-06-06,0,3,169
2020-06-07,0,20,31
2020-06-08,0,12,186
2020-06-09,0,0,209
2020-06-10,0,0,117
2020-06-11,0,0,210
2020-06-12,0,0,158
2020-06-13,0,1,238
2020-06-14,0,0,30
2020-06-15,0,0,44
2020-06-16,0,0,45
2020-06-17,0,1,52
2020-06-18,0,0,49
2020-06-19,0,0,132
2020-06-20,0,0,65
2020-06-21,0,110,21
2020-06-22,0,0,73
2020-06-23,0,0,53
2020-06-24,0,0,22
2020-06-25,0,0,98
2020-06-26,0,0,110
2020-06-27,0,0,102
2020-06-28,0,0,23
2020-06-29,0,0,42
2020-06-30,0,15,92
2020-07-01,0,72,73
2020-07-02,0,5,43
2020-07-03,0,0,139
2020-07-04,0,0,57
2020-07-05,0,0,48
2020-07-06,0,0,101
2020-07-07,0,8,95
2020-07-08,0,0,57
2020-07-09,0,0,48
2020-07-10,0,0,165
2020-07-11,0,0,113
2020-07-12,0,0,36
2020-07-13,0,0,24
2020-07-14,0,0,71
2020-07-15,0,0,92
2020-07-16,0,0,68
2020-07-17,0,0,54
2020-07-18,0,0,112
2020-07-19,0,0,57
2020-07-20,0,0,35
2020-07-21,0,0,44
2020-07-22,0,0,42
2020-07-23,0,0,49
2020-07-24,0,0,76
2020-07-25,0,0,76
2020-07-26,0,0,41
2020-07-27,0,0,122
2020-07-28,0,0,41
2020-07-29,0,0,148
2020-07-30,0,0,103
2020-07-31,0,0,122
2020-08-01,0,0,108
2020-08-02,0,0,28
2020-08-03,0,0,96
2020-08-04,0,0,136
2020-08-05,0,0,123
2020-08-06,0,0,129
2020-08-07,0,2,97
2020-08-08,0,0,166
2020-08-09,0,0,27
2020-08-10,0,0,184
2020-08-11,0,0,147
2020-08-12,0,5,168
2020-08-13,0,8,207
2020-08-14,0,1,144
2020-08-15,0,4,94
2020-08-16,0,0,42
2020-08-17,0,11,153
2020-08-18,0,3,236
2020-08-19,0,6,201
2020-08-20,0,15,202
2020-08-21,0,2,62
2020-08-22,0,4,115
2020-08-23,0,0,37
2020-08-24,0,1,151
2020-08-25,0,0,248
2020-08-26,0,1,225
2020-08-27,0,2,127
2020-08-28,0,0,144
2020-08-29,0,1,128
2020-08-30,0,0,51
2020-08-31,0,2,82
2020-09-01,0,0,116
2020-09-02,0,2,92
2020-09-03,0,1,54
2020-09-04,0,0,122
2020-09-05,0,0,77
2020-09-06,0,0,45
2020-09-07,0,0,136
2020-09-08,0,6,108
2020-09-09,0,0,124
2020-09-10,0,1,81
2020-09-11,0,0,183
2020-09-12,0,0,74
2020-09-13,0,0,32
2020-09-14,0,0,159
2020-09-15,0,1,108
2020-09-16,0,1,122
2020-09-17,0,0,169
2020-09-18,0,1,75
2020-09-19,0,2,48
2020-09-20,0,0,56
2020-09-21,0,0,115
2020-09-22,0,0,147
2020-09-23,0,3,61
2020-09-24,0,1,95
2020-09-25,0,0,58
2020-09-26,0,1,59
2020-09-27,0,0,37
2020-09-28,0,0,31
2020-09-29,0,4,34
2020-09-30,0,2,45
2020-10-01,0,1,50
2020-10-02,0,0,43
2020-10-03,0,0,28
2020-10-04,0,0,16
2020-10-05,0,6,34
2020-10-06,0,0,84
2020-10-07,0,0,78
2020-10-08,0,1,60
2020-10-09,0,0,84
2020-10-10,0,0,99
2020-10-11,0,0,21
2020-10-12,0,0,62
2020-10-13,0,1,47
2020-10-14,0,0,84
2020-10-15,0,0,50
2020-10-16,0,0,55
2020-10-17,0,0,68
2020-10-18,0,0,36
2020-10-19,0,0,62
2020-10-20,0,0,50
2020-10-21,0,2,46
2020-10-22,0,0,84
2020-10-23,0,1,62
2020-10-24,0,2,42
2020-10-25,0,0,22
2020-10-26,0,1,44
2020-10-27,0,0,42
2020-10-28,0,1,48
2020-10-29,0,1,32
2020-10-30,0,0,46
2020-10-31,0,0,13
2020-11-01,0,0,11
2020-11-02,0,0,45
2020-11-03,0,2,94
2020-11-04,0,0,47
2020-11-05,0,0,30
2020-11-07,0,1,55
2020-11-08,0,0,54
2020-11-09,0,2,19
2020-11-10,0,0,60
2020-11-11,0,0,34
2020-11-12,0,0,38
2020-11-13,0,1,71
2020-11-14,0,0,22
2020-11-15,0,0,30
2020-11-16,0,1,50
2020-11-17,0,0,47
2020-11-18,0,0,32
2020-11-19,0,0,11
2020-11-20,0,1,23
2020-11-21,0,0,27
2020-11-22,0,0,26
2020-11-23,0,0,29
2020-11-24,0,0,35
2020-11-25,0,0,31
2020-11-26,0,0,19
2020-11-27,0,0,5
2020-11-28,0,0,5
2020-11-29,0,0,4
2020-11-30,0,0,13
2020-12-01,0,0,19
2020-12-02,0,0,20
2020-12-03,0,0,29
2020-12-04,0,0,18
2020-12-05,0,0,16
2020-12-07,0,0,28
2020-12-08,0,0,20
2020-12-09,0,0,34
2020-12-10,0,3,28
2020-12-11,0,0,39
2020-12-12,0,0,42
2020-12-13,0,0,21
2020-12-14,0,0,51
2020-12-15,0,2,59
2020-12-16,0,0,35
2020-12-17,0,0,51
2020-12-18,0,1,20
2020-12-19,0,0,27
2020-12-20,0,0,11
2020-12-21,0,3,24
2020-12-22,0,0,28
2020-12-23,0,0,6
2020-12-24,0,1,17
2020-12-25,1,0,8
2020-12-26,0,0,35
2020-12-27,0,0,14
2020-12-28,0,2,57
2020-12-29,0,0,59
2020-12-30,1,9,18
2020-12-31,0,0,3
2021-01-01,0,0,2
2021-01-02,2,4,0
2021-01-03,0,0,3
2021-01-04,2,0,4
2021-01-05,1,12,16
2021-01-06,4,7,7
2021-01-07,2,10,34
2021-01-08,5,9,6
2021-01-09,6,0,13
2021-01-10,1,0,1
2021-01-11,15,0,28
2021-01-12,7,3,16
2021-01-13,6,5,49
2021-01-14,3,15,20
2021-01-15,3,15,46
2021-01-16,5,12,40
2021-01-17,1,3,11
2021-01-18,11,23,27
2021-01-19,15,14,23
2021-01-20,7,14,18
2021-01-21,7,0,23
2021-01-22,9,23,29
2021-01-23,5,12,24
2021-01-24,0,0,14
2021-01-25,15,11,32
2021-01-26,5,11,43
2021-01-27,9,7,40
2021-01-28,6,8,30
2021-01-29,11,0,40
2021-01-30,4,16,42
2021-01-31,3,0,9
2021-02-01,13,13,46
2021-02-02,18,15,33
2021-02-03,15,15,30
2021-02-04,12,4,24
2021-02-05,17,6,18
2021-02-06,18,8,33
2021-02-07,13,0,8
2021-02-08,32,4,19
2021-02-09,30,5,28
2021-02-10,27,8,7
2021-02-11,15,3,7
2021-02-12,22,3,21
2021-02-13,19,4,20
2021-02-14,6,0,6
2021-02-15,26,5,23
2021-02-16,23,0,37
2021-02-17,23,7,30
2021-02-18,22,20,13
2021-02-19,41,1,21
2021-02-20,36,1,34
2021-02-21,13,0,13
2021-02-22,44,8,29
2021-02-23,31,6,40
2021-02-24,40,8,11
2021-02-25,47,9,26
2021-02-26,37,5,32
2021-02-27,27,4,21
2021-02-28,9,0,6
2021-03-01,66,9,16
2021-03-02,46,6,45
2021-03-03,66,9,25
2021-03-04,80,6,20
2021-03-05,87,8,33
2021-03-06,63,19,18
2021-03-07,11,0,8
2021-03-08,113,1,33
2021-03-09,99,14,20
2021-03-10,112,40,23
2021-03-11,108,9,76
2021-03-12,103,9,21
2021-03-13,107,0,19
2021-03-14,45,0,1
2021-03-15,192,43,30
2021-03-16,135,0,27
2021-03-17,157,24,24
2021-03-18,179,18,23
2021-03-19,157,20,22
2021-03-20,130,13,17
2021-03-21,31,0,3
2021-03-22,185,6,23
2021-03-23,143,17,24
2021-03-24,147,25,27
2021-03-25,141,35,22
2021-03-26,144,10,15
2021-03-27,129,0,12
2021-03-28,25,31,1
2021-03-29,128,5,13
2021-03-30,143,12,17
2021-03-31,126,1,10
2021-04-01,67,40,3
2021-04-02,56,0,2
2021-04-03,103,0,9
2021-04-04,58,0,3
2021-04-05,157,14,12
2021-04-06,137,18,15
2021-04-07,94,27,12
2021-04-08,97,8,17
2021-04-09,79,22,20
2021-04-10,71,22,5
2021-04-11,14,0,2
2021-04-12,75,0,11
2021-04-13,82,33,15
2021-04-14,79,14,16
2021-04-15,94,10,7
2021-04-16,63,13,19
2021-04-17,73,10,15
2021-04-18,23,0,2
2021-04-19,82,3,6
2021-04-20,56,34,11
2021-04-21,90,21,5
2021-04-22,62,17,14
2021-04-23,56,0,4
2021-04-24,63,30,4
2021-04-25,16,0,1
2021-04-26,63,12,4
2021-04-27,58,15,22
2021-04-28,66,4,9
2021-04-29,47,18,6
2021-04-30,43,17,5
2021-05-01,18,0,2
2021-05-02,8,0,0
2021-05-03,32,1,4
2021-05-04,48,7,8
2021-05-05,37,6,2
2021-05-06,37,15,6
2021-05-07,15,4,1
2021-05-08,27,5,4
2021-05-09,8,0,0
2021-05-10,36,2,3
2021-05-11,58,0,11
2021-05-12,27,7,4
2021-05-13,24,2,6
2021-05-14,30,0,7
2021-05-15,26,11,5
