FECHA_RESULTADO,AG,PCR,PR
2020-03-08,0,1,0
2020-03-09,0,2,0
2020-03-11,0,1,0
2020-03-13,0,2,0
2020-03-14,0,6,0
2020-03-15,0,6,0
2020-03-16,0,4,0
2020-03-17,0,7,0
2020-03-18,0,10,0
2020-03-19,0,16,0
2020-03-20,0,12,0
2020-03-21,0,8,0
2020-03-22,0,9,0
2020-03-23,0,2,0
2020-03-24,0,13,0
2020-03-25,0,19,0
2020-03-26,0,11,0
2020-03-27,0,7,0
2020-03-28,0,31,0
2020-03-29,0,39,2
2020-03-30,0,25,5
2020-03-31,0,66,0
2020-04-01,0,15,6
2020-04-02,0,44,9
2020-04-03,0,39,32
2020-04-04,0,134,81
2020-04-05,0,58,37
2020-04-06,0,81,59
2020-04-07,0,162,102
2020-04-08,0,140,148
2020-04-09,0,107,95
2020-04-10,0,183,98
2020-04-11,0,106,229
2020-04-12,0,83,91
2020-04-13,0,77,239
2020-04-14,0,65,199
2020-04-15,0,113,262
2020-04-16,0,98,252
2020-04-17,0,64,237
2020-04-18,0,109,269
2020-04-19,0,102,133
2020-04-20,0,132,364
2020-04-21,0,150,435
2020-04-22,0,162,359
2020-04-23,0,181,369
2020-04-24,0,130,435
2020-04-25,0,167,474
2020-04-26,0,116,235
2020-04-27,0,150,754
2020-04-28,0,158,752
2020-04-29,0,162,988
2020-04-30,0,115,815
2020-05-01,0,135,567
2020-05-02,0,153,765
2020-05-03,0,140,323
2020-05-04,0,137,997
2020-05-05,0,205,847
2020-05-06,0,239,723
2020-05-07,0,208,744
2020-05-08,0,167,734
2020-05-09,0,195,463
2020-05-10,0,41,188
2020-05-11,0,160,785
2020-05-12,0,304,923
2020-05-13,0,200,1030
2020-05-14,0,160,835
2020-05-15,0,255,1022
2020-05-16,0,229,969
2020-05-17,0,177,276
2020-05-18,0,214,1253
2020-05-19,0,228,1158
2020-05-20,0,163,1307
2020-05-21,0,118,1464
2020-05-22,0,259,1467
2020-05-23,0,261,1294
2020-05-24,0,104,327
2020-05-25,0,162,1704
2020-05-26,0,228,1616
2020-05-27,0,292,1654
2020-05-28,0,289,1464
2020-05-29,0,190,1457
2020-05-30,0,247,1052
2020-05-31,0,274,338
2020-06-01,0,123,1028
2020-06-02,0,233,846
2020-06-03,0,178,576
2020-06-04,0,208,880
2020-06-05,0,383,940
2020-06-06,1,497,783
2020-06-07,0,324,358
2020-06-08,1,223,1047
2020-06-09,0,310,1080
2020-06-10,1,304,1237
2020-06-11,0,380,1670
2020-06-12,1,457,1056
2020-06-13,0,311,904
2020-06-14,0,201,426
2020-06-15,0,350,882
2020-06-16,0,291,673
2020-06-17,0,360,742
2020-06-18,0,214,712
2020-06-19,0,160,815
2020-06-20,0,393,665
2020-06-21,0,153,207
2020-06-22,0,312,878
2020-06-23,0,432,639
2020-06-24,0,441,743
2020-06-25,0,413,734
2020-06-26,0,285,933
2020-06-27,0,255,716
2020-06-28,0,172,283
2020-06-29,0,254,536
2020-06-30,0,218,862
2020-07-01,0,279,765
2020-07-02,0,253,720
2020-07-03,0,262,945
2020-07-04,0,252,751
2020-07-05,0,290,314
2020-07-06,0,359,749
2020-07-07,0,454,693
2020-07-08,0,240,551
2020-07-09,0,314,463
2020-07-10,0,259,1184
2020-07-11,0,374,855
2020-07-12,0,262,398
2020-07-13,0,407,541
2020-07-14,0,559,728
2020-07-15,0,570,808
2020-07-16,0,555,804
2020-07-17,0,467,1102
2020-07-18,0,384,1189
2020-07-19,0,255,381
2020-07-20,0,421,881
2020-07-21,0,345,1180
2020-07-22,0,464,1381
2020-07-23,0,457,1243
2020-07-24,0,498,1420
2020-07-25,0,338,1378
2020-07-26,0,328,514
2020-07-27,1,369,1686
2020-07-28,0,229,698
2020-07-29,0,350,1603
2020-07-30,0,383,1939
2020-07-31,0,378,2025
2020-08-01,0,434,1615
2020-08-02,0,276,594
2020-08-03,0,386,2045
2020-08-04,0,505,1899
2020-08-05,0,444,1904
2020-08-06,0,497,2238
2020-08-07,0,294,2135
2020-08-08,0,392,1781
2020-08-09,0,296,741
2020-08-10,0,283,2248
2020-08-11,0,525,2232
2020-08-12,1,669,2230
2020-08-13,0,561,2294
2020-08-14,0,688,2449
2020-08-15,1,649,2141
2020-08-16,0,411,663
2020-08-17,0,556,2310
2020-08-18,0,606,2131
2020-08-19,0,688,2253
2020-08-20,1,550,2649
2020-08-21,0,470,2269
2020-08-22,0,425,1907
2020-08-23,0,233,340
2020-08-24,0,304,2340
2020-08-25,0,320,3043
2020-08-26,0,552,2002
2020-08-27,0,371,2033
2020-08-28,0,544,2269
2020-08-29,0,292,1724
2020-08-30,0,274,421
2020-08-31,0,370,1573
2020-09-01,0,336,1501
2020-09-02,0,312,1590
2020-09-03,0,314,792
2020-09-04,0,387,2736
2020-09-05,0,260,951
2020-09-06,0,152,383
2020-09-07,2,290,1625
2020-09-08,0,237,1824
2020-09-09,0,371,1668
2020-09-10,0,263,901
2020-09-11,0,313,2941
2020-09-12,0,245,1511
