FECHA_RESULTADO,AG,PCR,PR
2022-01-01,468,497,0
2022-01-02,747,578,87
2022-01-03,3181,1091,132
2022-01-04,4407,1420,2
2022-01-05,5630,1699,0
2022-01-06,7322,2152,0
2022-01-07,7008,2034,0
2022-01-08,7972,2792,0
2022-01-09,3602,1661,0
2022-01-10,12318,3656,1
2022-01-11,12418,3793,0
2022-01-12,16550,3326,5
2022-01-13,18019,4655,0
2022-01-14,18993,5085,5
2022-01-15,16442,4585,0
2022-01-16,5620,3135,0
2022-01-17,22476,5200,0
2022-01-18,20296,5325,0
2022-01-19,21021,6350,0
2022-01-20,18599,6945,0
2022-01-21,17769,7328,0
2022-01-22,12563,8094,0
2022-01-23,5184,3837,0
2022-01-24,16953,5644,0
2022-01-25,13605,6713,0
2022-01-26,10491,6962,0
2022-01-27,10749,4873,0
2022-01-28,9493,3576,0
2022-01-29,7565,2877,0
2022-01-30,2879,1632,0
2022-01-31,8213,2652,0
2022-02-01,6048,2863,0
2022-02-02,6143,2925,0
2022-02-03,5171,2821,0
2022-02-04,4580,2062,0
2022-02-05,3655,1995,0
2022-02-06,1283,789,0
2022-02-07,4201,1232,0
2022-02-08,2902,2031,0
2022-02-09,2777,2693,0
2022-02-10,2371,2495,0
2022-02-11,1909,2107,0
2022-02-12,1607,2214,0
2022-02-13,596,437,0
2022-02-14,1689,1623,0
2022-02-15,1293,2284,0
2022-02-16,1335,1859,0
2022-02-17,1098,1474,0
2022-02-18,1010,1117,0
2022-02-19,818,796,0
2022-02-20,389,272,0
2022-02-21,898,784,0
2022-02-22,758,551,0
2022-02-23,595,621,0
2022-02-24,651,567,0
2022-02-25,498,672,0
2022-02-26,371,666,0
2022-02-27,140,210,0
2022-02-28,363,230,0
2022-03-01,316,374,0
2022-03-02,316,445,0
2022-03-03,282,440,0
2022-03-04,256,298,0
2022-03-05,303,262,0
2022-03-06,110,104,0
2022-03-07,277,280,0
2022-03-08,234,231,0
2022-03-09,231,275,0
2022-03-10,238,214,0
2022-03-11,212,121,0
2022-03-12,176,121,0
2022-03-13,105,71,0
2022-03-14,242,110,0
2022-03-15,244,187,0
2022-03-16,179,129,0
2022-03-17,196,113,0
2022-03-18,162,99,0
2022-03-19,131,125,0
2022-03-20,85,84,0
2022-03-21,206,62,0
2022-03-22,149,102,0
2022-03-23,158,138,0
2022-03-24,146,96,0
2022-03-25,166,121,0
2022-03-26,113,102,0
2022-03-27,50,47,0
2022-03-28,188,72,0
2022-03-29,142,90,0
2022-03-30,165,81,0
2022-03-31,165,85,0
2022-04-01,161,77,0
2022-04-02,105,82,0
2022-04-03,36,20,0
2022-04-04,144,44,0
2022-04-05,94,167,0
2022-04-06,166,93,0
2022-04-07,141,116,0
2022-04-08,105,95,0
2022-04-09,67,83,0
2022-04-10,25,121,0
2022-04-11,113,79,0
2022-04-12,104,37,0
2022-04-13,90,106,0
2022-04-14,45,60,0
2022-04-15,33,15,0
2022-04-16,57,29,0
2022-04-17,31,17,0
2022-04-18,110,35,0
2022-04-19,94,53,0
2022-04-20,98,48,0
2022-04-21,78,72,0
2022-04-22,86,46,0
2022-04-23,58,74,0
2022-04-24,16,20,0
2022-04-25,85,32,0
2022-04-26,89,64,0
2022-04-27,101,50,0
2022-04-28,80,49,0
2022-04-29,66,56,0
2022-04-30,34,44,0
2022-05-01,21,18,0
2022-05-02,60,33,0
2022-05-03,61,70,0
2022-05-04,55,53,0
2022-05-05,53,61,0
2022-05-06,55,77,0
2022-05-07,40,40,0
2022-05-08,15,26,0
2022-05-09,112,35,0
2022-05-10,88,82,0
2022-05-11,104,65,0
2022-05-12,71,43,0
2022-05-13,68,84,0
2022-05-14,55,53,0
2022-05-15,27,36,0
2022-05-16,112,41,0
2022-05-17,122,76,0
2022-05-18,116,71,0
2022-05-19,136,118,0
2022-05-20,125,82,0
2022-05-21,56,87,0
2022-05-22,24,71,0
2022-05-23,133,55,0
2022-05-24,128,88,0
2022-05-25,174,82,0
2022-05-26,141,174,0
2022-05-27,153,137,0
2022-05-28,79,106,0
2022-05-29,45,44,0
2022-05-30,191,98,0
2022-05-31,156,106,0
2022-06-01,222,184,0
2022-06-02,204,156,0
2022-06-03,207,121,0
2022-06-04,169,118,0
2022-06-05,59,63,0
2022-06-06,203,166,0
2022-06-07,265,169,0
2022-06-08,282,206,0
2022-06-09,308,184,0
2022-06-10,302,175,0
2022-06-11,242,108,0
2022-06-12,118,81,0
2022-06-13,280,161,0
2022-06-14,295,222,0
2022-06-15,408,200,0
2022-06-16,467,190,0
2022-06-17,474,202,0
2022-06-18,432,258,0
2022-06-19,193,87,0
