DEPARTAMENTO,METODODX,POBLACION,INDICE
AMAZONAS,49849,452125,11025
ANCASH,149099,1189403,12536
APURIMAC,44370,440629,10070
AREQUIPA,269632,1488247,18117
AYACUCHO,53769,658081,8171
CAJAMARCA,109188,1528904,7142
CALLAO,160407,1090990,14703
CUSCO,136044,1392648,9769
HUANCAVELICA,28923,414882,6971
HUANUCO,58192,823560,7066
ICA,118615,889916,13329
JUNIN,146935,1340064,10965
LA LIBERTAD,169281,1955991,8654
LAMBAYEQUE,120180,1325269,9068
LIMA,1922358,10741923,17896
LORETO,63075,1096407,5753
MADRE DE DIOS,20415,170503,11973
MOQUEGUA,59580,190442,31285
PASCO,27353,283946,9633
PIURA,173803,1966703,8837
PUNO,74855,1221523,6128
SAN MARTIN,67247,920842,7303
TACNA,60683,365771,16590
TUMBES,31625,235194,13446
UCAYALI,43055,597287,7208
