fecha_prueba,Serológica,Antígena,Quimioluminiscencia
2020-03-15,68,10,0
2020-03-16,38,1,0
2020-03-17,32,1,0
2020-03-18,36,0,0
2020-03-19,38,0,0
2020-03-20,63,0,0
2020-03-21,31,1,0
2020-03-22,39,0,0
2020-03-23,56,0,0
2020-03-24,38,0,0
2020-03-25,32,3,0
2020-03-26,37,1,0
2020-03-27,64,0,0
2020-03-28,73,2,0
2020-03-29,65,1,0
2020-03-30,226,1,0
2020-03-31,125,1,0
2020-04-01,425,0,0
2020-04-02,1621,0,0
2020-04-03,4376,0,0
2020-04-04,6240,0,0
2020-04-05,3266,1,0
2020-04-06,8853,0,0
2020-04-07,12503,1,0
2020-04-08,15832,3,0
2020-04-09,9051,44,0
2020-04-10,7629,1,0
2020-04-11,11416,0,0
2020-04-12,5312,0,0
2020-04-13,12969,1,0
2020-04-14,14797,0,0
2020-04-15,18650,0,0
2020-04-16,18102,1,0
2020-04-17,17614,0,0
2020-04-18,17863,0,0
2020-04-19,9875,1,0
2020-04-20,21033,1,0
2020-04-21,20749,1,0
2020-04-22,17613,0,0
2020-04-23,17032,0,1
2020-04-24,20152,2,0
2020-04-25,15622,1,0
2020-04-26,6754,0,0
2020-04-27,23453,0,0
2020-04-28,24979,0,0
2020-04-29,25795,0,0
2020-04-30,25356,2,0
2020-05-01,14676,0,0
2020-05-02,21126,3,0
2020-05-03,8457,3,0
2020-05-04,25026,0,0
2020-05-05,22926,0,0
2020-05-06,20784,0,0
2020-05-07,20103,0,0
2020-05-08,21379,1,0
2020-05-09,14692,1,0
2020-05-10,4783,0,0
2020-05-11,22923,2,0
2020-05-12,22945,3,0
2020-05-13,25943,4,0
2020-05-14,22168,1,0
2020-05-15,24122,4,0
2020-05-16,20809,0,0
2020-05-17,5792,2,0
2020-05-18,30233,6,0
2020-05-19,32795,2,0
2020-05-20,36834,1,0
2020-05-21,39395,4,0
2020-05-22,43299,2,0
2020-05-23,35953,6,0
2020-05-24,7178,3,0
2020-05-25,49516,2,0
2020-05-26,45785,2,0
2020-05-27,49527,10,0
2020-05-28,48263,1,0
2020-05-29,50536,17,0
2020-05-30,41969,18,0
2020-05-31,8030,0,0
2020-06-01,56810,21,0
2020-06-02,57010,2,0
2020-06-03,56007,2,0
2020-06-04,55429,12,0
2020-06-05,63815,2,0
2020-06-06,52137,3,0
2020-06-07,9360,2,0
2020-06-08,68643,12,0
2020-06-09,66424,0,0
2020-06-10,68088,19,0
2020-06-11,68177,10,0
2020-06-12,74921,2,0
2020-06-13,56889,0,1
2020-06-14,11826,0,0
2020-06-15,77349,15,0
2020-06-16,73699,0,0
2020-06-17,75565,3,0
2020-06-18,73432,0,0
2020-06-19,76878,3,0
2020-06-20,62714,0,0
2020-06-21,9711,1,0
2020-06-22,79217,1,1
2020-06-23,73905,0,0
2020-06-24,74944,1,0
2020-06-25,79721,0,0
2020-06-26,91061,3,0
2020-06-27,70902,0,0
2020-06-28,13854,0,0
2020-06-29,31717,1,0
2020-06-30,99552,6,0
2020-07-01,98959,7,0
2020-07-02,90273,4,1
2020-07-03,100704,2,0
2020-07-04,71921,0,0
2020-07-05,15298,2,0
2020-07-06,89272,1,0
2020-07-07,90172,6,0
2020-07-08,76790,1,0
2020-07-09,80613,3,0
2020-07-10,90397,1,0
2020-07-11,71347,2,0
2020-07-12,15942,1,0
2020-07-13,93634,1,0
2020-07-14,93171,4,0
2020-07-15,94966,2,0
2020-07-16,89422,0,0
2020-07-17,96336,6,0
2020-07-18,74718,4,0
2020-07-19,17794,4,0
2020-07-20,97290,4,0
2020-07-21,93576,6,0
2020-07-22,94022,1,0
2020-07-23,91229,6,0
2020-07-24,94791,9,0
2020-07-25,73501,5,0
2020-07-26,16021,1,0
2020-07-27,94887,13,0
2020-07-28,27135,1,0
2020-07-29,81184,5,0
2020-07-30,94598,2,0
2020-07-31,100977,5,1
2020-08-01,81196,2,0
2020-08-02,18020,1,0
2020-08-03,100642,5,0
2020-08-04,93425,3,0
2020-08-05,89357,3,0
2020-08-06,90613,4,0
2020-08-07,95724,3,0
2020-08-08,74372,4,0
2020-08-09,17029,1,0
2020-08-10,100213,4,0
2020-08-11,92147,2,0
2020-08-12,88730,4,0
2020-08-13,90695,3,2
2020-08-14,104978,5,0
2020-08-15,79089,6,1
2020-08-16,18944,2,0
2020-08-17,99747,4,1
2020-08-18,91639,307,0
2020-08-19,91287,139,0
2020-08-20,96952,8,0
2020-08-21,96767,1,1
2020-08-22,75091,2,1
2020-08-23,15956,4,0
2020-08-24,96517,3,0
2020-08-25,87038,7,0
2020-08-26,86229,2,0
2020-08-27,89632,9,0
2020-08-28,93879,9,0
2020-08-29,72083,2,0
2020-08-30,13124,2,0
2020-08-31,88723,6,0
2020-09-01,84740,2,0
2020-09-02,79070,10,0
2020-09-03,81207,9,0
2020-09-04,88238,1,0
2020-09-05,55933,4,0
2020-09-06,14220,0,0
2020-09-07,81525,5,0
2020-09-08,81212,1,0
2020-09-09,79998,9,0
2020-09-10,78807,7,0
2020-09-11,81622,5,0
2020-09-12,62084,109,0
2020-09-13,13111,2,0
2020-09-14,75144,7,1
2020-09-15,75042,2,0
2020-09-16,73221,4,0
2020-09-17,76417,14,0
2020-09-18,79296,12,0
2020-09-19,59114,4,0
2020-09-20,13532,3,0
2020-09-21,68751,35,0
2020-09-22,66688,7,1
2020-09-23,66915,8,0
2020-09-24,70399,9,2
2020-09-25,76125,41,0
2020-09-26,57150,5,28
2020-09-27,13619,7,0
2020-09-28,52403,35,2
2020-09-29,57442,9,0
2020-09-30,56652,25,0
2020-10-01,55084,26,4
2020-10-02,55157,10,0
2020-10-03,41521,6,0
2020-10-04,10797,2,0
2020-10-05,50977,9,2
2020-10-06,51789,6,0
2020-10-07,48971,13,67
2020-10-08,47268,15,2
2020-10-09,53121,13,37
2020-10-10,37289,19,23
2020-10-11,9923,2,0
2020-10-12,56354,143,0
2020-10-13,54982,9,0
2020-10-14,47315,21,0
2020-10-15,50818,64,0
2020-10-16,49928,14,0
2020-10-17,34252,6,1
2020-10-18,9002,1,0
2020-10-19,44023,11,1
2020-10-20,47532,36,0
2020-10-21,42056,16,2
2020-10-22,40945,17,0
2020-10-23,44337,22,0
2020-10-24,34682,8,0
2020-10-25,7805,6,0
2020-10-26,41445,42,1
2020-10-27,41876,148,0
2020-10-28,39631,128,1
2020-10-29,43513,46,3
2020-10-30,44243,52,4
2020-10-31,34847,42,6
2020-11-01,8268,5,0
2020-11-02,42478,101,8
2020-11-03,43357,173,127
2020-11-04,40389,113,37
2020-11-05,40540,153,2
2020-11-06,40748,96,85
2020-11-07,30000,92,53
2020-11-08,8823,19,0
2020-11-09,41338,302,1
2020-11-10,39722,227,21
2020-11-11,36086,230,5
2020-11-12,37727,377,60
2020-11-13,37949,212,27
2020-11-14,27528,56,13
2020-11-15,7653,29,4
2020-11-16,38102,98,28
2020-11-17,37830,89,15
2020-11-18,34073,125,90
2020-11-19,34694,149,166
2020-11-20,37134,175,115
2020-11-21,27479,112,13
2020-11-22,6588,49,4
2020-11-23,35943,289,35
2020-11-24,37282,230,27
2020-11-25,36619,277,279
2020-11-26,37100,196,124
2020-11-27,39796,340,214
2020-11-28,29580,180,91
2020-11-29,6171,84,14
2020-11-30,37288,222,197
2020-12-01,36128,373,200
2020-12-02,34391,342,75
2020-12-03,34225,316,90
2020-12-04,32520,277,395
2020-12-05,23462,725,82
2020-12-06,6447,44,5
2020-12-07,33766,775,492
2020-12-08,14417,133,12
2020-12-09,35981,465,67
2020-12-10,33895,851,57
2020-12-11,34971,1287,183
2020-12-12,23752,623,31
2020-12-13,6869,241,9
2020-12-14,34018,1312,310
2020-12-15,34493,769,241
2020-12-16,32971,708,429
2020-12-17,34174,1075,181
2020-12-18,33300,949,121
2020-12-19,22652,1586,93
2020-12-20,7219,333,36
2020-12-21,31071,1437,252
2020-12-22,29158,1496,365
2020-12-23,27435,1715,370
2020-12-24,9394,590,42
2020-12-25,5425,76,10
2020-12-26,19835,1678,337
2020-12-27,6047,182,8
2020-12-28,33341,2387,403
2020-12-29,31102,1843,125
2020-12-30,29722,2670,242
2020-12-31,12393,1412,31
2021-01-01,5585,722,3
2021-01-02,21983,3308,53
2021-01-03,6229,1266,3
2021-01-04,40799,5533,399
2021-01-05,37427,5477,163
2021-01-06,36116,6119,292
2021-01-07,37314,7285,279
2021-01-08,35826,6811,284
2021-01-09,28970,5563,93
2021-01-10,6397,1918,7
2021-01-11,40347,8651,113
2021-01-12,37455,8310,252
2021-01-13,34382,9052,159
2021-01-14,35498,8532,489
2021-01-15,38541,8470,339
2021-01-16,30039,8106,201
2021-01-17,5435,2721,5
2021-01-18,40489,12178,233
2021-01-19,38544,13008,274
2021-01-20,38788,14415,213
2021-01-21,36887,15106,553
2021-01-22,37166,14375,290
2021-01-23,27351,11445,374
2021-01-24,6293,3685,9
2021-01-25,38418,18557,249
2021-01-26,37134,19824,280
2021-01-27,36855,20466,440
2021-01-28,36494,19685,251
2021-01-29,38996,23081,488
2021-01-30,32257,20324,680
2021-01-31,5732,4992,13
2021-02-01,36226,25370,234
2021-02-02,34246,24679,303
2021-02-03,33321,26928,299
2021-02-04,30239,26424,507
2021-02-05,31369,26724,449
2021-02-06,21682,21548,614
2021-02-07,6295,6295,76
2021-02-08,31849,29115,1068
2021-02-09,29865,29484,1106
2021-02-10,30681,33193,884
2021-02-11,29161,29088,823
2021-02-12,28776,29892,854
2021-02-13,23214,25588,879
2021-02-14,4306,6497,85
2021-02-15,33049,33563,679
2021-02-16,29320,31751,864
2021-02-17,26964,34102,976
2021-02-18,25574,30500,783
2021-02-19,25307,30792,921
2021-02-20,21090,25027,597
2021-02-21,4574,6656,58
2021-02-22,29156,35080,1429
2021-02-23,26851,31969,881
2021-02-24,25487,34074,740
2021-02-25,25124,31684,835
2021-02-26,27335,33676,1207
2021-02-27,21703,29080,961
2021-02-28,4318,7361,178
2021-03-01,33312,44188,1679
2021-03-02,29547,40054,894
