fecha_prueba,Negativo,Positivo,IgM e IgG Positivo
2020-03-15,6,4,0
2020-03-16,1,0,0
2020-03-17,1,0,0
2020-03-21,1,0,0
2020-03-25,2,1,0
2020-03-26,1,0,0
2020-03-28,2,0,0
2020-03-29,1,0,0
2020-03-30,1,0,0
2020-03-31,1,0,0
2020-04-05,1,0,0
2020-04-07,1,0,0
2020-04-08,2,1,0
2020-04-09,44,0,0
2020-04-10,0,1,0
2020-04-13,1,0,0
2020-04-16,1,0,0
2020-04-19,1,0,0
2020-04-20,1,0,0
2020-04-21,1,0,0
2020-04-24,1,1,0
2020-04-25,1,0,0
2020-04-30,1,1,0
2020-05-02,2,1,0
2020-05-03,3,0,0
2020-05-08,0,1,0
2020-05-09,1,0,0
2020-05-11,0,2,0
2020-05-12,2,1,0
2020-05-13,1,3,0
2020-05-14,0,1,0
2020-05-15,3,1,0
2020-05-17,1,1,0
2020-05-18,3,3,0
2020-05-19,0,2,0
2020-05-20,0,1,0
2020-05-21,3,1,0
2020-05-22,1,1,0
2020-05-23,1,5,0
2020-05-24,1,2,0
2020-05-25,1,1,0
2020-05-26,0,2,0
2020-05-27,7,3,0
2020-05-28,0,1,0
2020-05-29,16,1,0
2020-05-30,18,0,0
2020-06-01,14,7,0
2020-06-02,1,1,0
2020-06-03,2,0,0
2020-06-04,12,0,0
2020-06-05,2,0,0
2020-06-06,1,2,0
2020-06-07,2,0,0
2020-06-08,11,1,0
2020-06-10,14,5,0
2020-06-11,7,3,0
2020-06-12,0,2,0
2020-06-15,10,5,0
2020-06-17,3,0,0
2020-06-19,1,2,0
2020-06-21,1,0,0
2020-06-22,1,0,0
2020-06-24,1,0,0
2020-06-26,3,0,0
2020-06-29,1,0,0
2020-06-30,6,0,0
2020-07-01,5,2,0
2020-07-02,3,1,0
2020-07-03,2,0,0
2020-07-05,2,0,0
2020-07-06,1,0,0
2020-07-07,4,2,0
2020-07-08,1,0,0
2020-07-09,2,1,0
2020-07-10,0,1,0
2020-07-11,1,1,0
2020-07-12,0,1,0
2020-07-13,1,0,0
2020-07-14,2,2,0
2020-07-15,1,1,0
2020-07-17,5,1,0
2020-07-18,4,0,0
2020-07-19,1,3,0
2020-07-20,2,2,0
2020-07-21,2,4,0
2020-07-22,0,1,0
2020-07-23,2,4,0
2020-07-24,5,4,0
2020-07-25,4,1,0
2020-07-26,1,0,0
2020-07-27,6,7,0
2020-07-28,0,1,0
2020-07-29,1,4,0
2020-07-30,0,2,0
2020-07-31,1,4,0
2020-08-01,1,1,0
2020-08-02,0,1,0
2020-08-03,3,2,0
2020-08-04,1,2,0
2020-08-05,1,2,0
2020-08-06,1,3,0
2020-08-07,1,2,0
2020-08-08,3,1,0
2020-08-09,0,1,0
2020-08-10,1,3,0
2020-08-11,0,2,0
2020-08-12,2,2,0
2020-08-13,0,3,0
2020-08-14,1,4,0
