fecha_prueba,Negativo,Positivo,IgM e IgG Positivo
1/01/2021,639,85,0
1/01/2022,13113,1237,375
1/01/2023,18364,1607,610
1/02/2021,39362,5994,610
1/02/2022,95328,21571,4909
1/02/2023,106566,21739,5022
1/03/2021,144481,28163,5062
1/03/2022,181151,28893,5307
1/03/2023,191143,29080,5355
1/04/2021,203084,33260,5355
1/04/2022,232043,33651,5398
1/04/2023,236018,33900,5398
1/05/2021,250272,36619,5398
1/05/2022,258959,36682,5409
1/06/2020,258973,36689,5409
1/06/2021,290477,40352,5501
1/06/2022,315931,40980,5639
1/07/2020,315936,40982,5639
1/07/2021,351469,43093,6103
1/07/2022,385177,47052,7399
1/08/2020,385178,47053,7399
1/08/2021,395240,47443,7520
1/08/2022,432492,58654,11638
1/09/2020,432492,58656,11638
1/09/2021,466189,59509,11839
1/09/2022,492234,61278,12613
1/10/2020,492244,61294,12613
1/10/2021,525398,62078,12872
1/10/2022,537640,62445,12947
1/11/2020,537645,62445,12947
1/11/2021,550694,62843,13050
1/11/2022,556674,62987,13076
1/12/2020,557018,63016,13076
1/12/2021,589591,64044,13088
1/12/2022,615916,75006,17685
10/01/2021,617616,75233,17685
10/01/2022,709545,113235,23708
10/01/2023,723726,113939,24125
10/02/2021,751709,119128,24134
10/02/2022,796407,124573,25617
10/02/2023,805435,124725,25689
10/03/2021,839956,130868,25710
10/03/2022,871492,131465,25823
10/03/2023,878825,131627,25900
10/04/2020,878825,131628,25900
10/04/2021,909382,138902,25900
10/04/2022,920816,138989,25915
10/04/2023,929139,139442,26058
10/05/2021,966468,145909,26070
10/05/2022,991520,146228,26112
10/06/2020,991534,146233,26112
10/06/2021,1023115,149152,26231
10/06/2022,1045341,149991,26467
10/07/2020,1045341,149992,26467
10/07/2021,1071399,151513,26823
10/07/2022,1085624,154024,27766
10/08/2020,1085625,154027,27766
10/08/2021,1122003,155195,28099
10/08/2022,1157391,161964,30921
10/09/2020,1157396,161966,30921
10/09/2021,1189558,162792,31173
10/09/2022,1206350,163491,31431
10/10/2020,1206368,163492,31431
10/10/2021,1216175,163748,31493
10/10/2022,1234518,164007,31618
10/11/2020,1234744,164008,31618
10/11/2021,1268871,165021,31916
10/11/2022,1282472,165867,32354
10/12/2020,1283278,165912,32354
10/12/2021,1314967,166992,32368
10/12/2022,1331536,172769,35873
11/01/2021,1339034,174011,35873
11/01/2022,1427167,213769,40149
11/01/2023,1440695,214471,40587
11/02/2021,1464776,219504,40629
11/02/2022,1507255,224216,41914
11/02/2023,1514901,224332,41971
11/03/2021,1548844,230224,41982
11/03/2022,1583291,230830,42105
11/03/2023,1588988,230971,42154
11/04/2021,1595585,232786,42154
11/04/2022,1628846,233135,42200
11/04/2023,1636025,233425,42355
11/05/2020,1636025,233427,42355
11/05/2021,1670816,238359,42358
11/05/2022,1694897,238672,42399
11/06/2020,1694904,238675,42399
11/06/2021,1726157,241551,42615
11/06/2022,1743104,242245,42803
11/07/2020,1743105,242246,42803
11/07/2021,1752480,242805,42901
11/07/2022,1797722,251635,46177
11/08/2020,1797722,251637,46177
11/08/2021,1828429,252753,46335
11/08/2022,1859948,258713,48844
11/09/2020,1859951,258715,48844
11/09/2021,1885235,259376,49095
11/09/2022,1893348,259655,49195
11/10/2020,1893349,259656,49195
11/10/2021,1925548,260659,49438
11/10/2022,1942315,260878,49519
11/11/2020,1942538,260886,49519
11/11/2021,1977616,261885,49875
11/11/2022,1991294,262925,50421
11/12/2020,1992510,262996,50421
11/12/2021,2015768,263954,50435
11/12/2022,2023734,266450,51832
12/01/2021,2031022,267516,51832
12/01/2022,2121576,312886,59525
12/01/2023,2134065,313495,59884
12/02/2021,2159240,318236,59905
12/02/2022,2192895,321794,60951
12/02/2023,2196742,321863,60967
12/03/2021,2230612,327766,60999
12/03/2022,2256702,328199,61098
12/03/2023,2260109,328264,61126
12/04/2021,2300647,337971,61131
12/04/2022,2331692,338232,61170
12/04/2023,2338715,338619,61277
12/05/2020,2338717,338620,61277
12/05/2021,2372535,343348,61281
12/05/2022,2395270,343633,61348
12/06/2020,2395270,343635,61348
12/06/2021,2419727,346033,61863
12/06/2022,2427573,346378,61949
12/07/2020,2427573,346379,61949
12/07/2021,2465919,348435,62475
12/07/2022,2509519,356751,65459
12/08/2020,2509521,356753,65459
12/08/2021,2538184,357875,65528
12/08/2022,2568233,363381,67750
12/09/2020,2568341,363382,67750
12/09/2021,2579525,363688,67836
12/09/2022,2603536,364635,68270
12/10/2020,2603671,364643,68270
12/10/2021,2638714,365651,68385
12/10/2022,2654029,365878,68480
12/11/2020,2654378,365906,68480
12/11/2021,2688464,366886,68816
12/11/2022,2699425,367728,69249
12/12/2020,2699985,367791,69249
12/12/2021,2710504,368157,69253
12/12/2022,2734586,376612,73920
13/01/2021,2742544,377792,73920
13/01/2022,2832585,425419,81963
13/01/2023,2843655,425935,82280
13/02/2021,2864932,430302,82280
13/02/2022,2880868,431810,82680
13/02/2023,2892071,431981,82755
13/03/2021,2920628,437440,82755
13/03/2022,2932702,437680,82794
13/03/2023,2941400,437943,82902
13/04/2020,2941401,437943,82902
13/04/2021,2980579,446176,82906
13/04/2022,3012123,446448,82936
13/04/2023,3016705,446781,82936
13/05/2020,3016706,446784,82936
13/05/2021,3049045,451378,82936
13/05/2022,3070773,451665,82984
13/06/2021,3078809,452559,83000
13/06/2022,3096957,453390,83206
13/07/2020,3096958,453390,83206
13/07/2021,3130994,455057,83595
13/07/2022,3174767,464197,86907
13/08/2020,3174767,464200,86907
13/08/2021,3206074,465260,87102
13/08/2022,3228733,469430,88778
13/09/2020,3228734,469431,88778
13/09/2021,3265128,470497,89070
13/09/2022,3288013,471295,89379
13/10/2020,3288020,471297,89379
13/10/2021,3321321,472120,89525
13/10/2022,3336345,472336,89603
13/11/2020,3336550,472343,89603
13/11/2021,3361448,473204,89886
13/11/2022,3367848,473646,90032
13/12/2020,3368078,473657,90032
13/12/2021,3402088,475044,90052
13/12/2022,3422590,480971,93557
14/01/2021,3429936,482197,93557
14/01/2022,3519792,531537,102193
14/01/2023,3528553,531919,102453
14/02/2021,3534051,532929,102453
14/02/2022,3577035,536853,103602
14/02/2023,3587775,537009,103669
14/03/2021,3594328,538558,103670
14/03/2022,3630373,539133,103804
14/03/2023,3638326,539348,103891
14/04/2021,3677880,547324,103894
14/04/2022,3690200,547437,103913
14/04/2023,3694784,547708,103913
14/05/2020,3694784,547709,103913
14/05/2021,3728018,552232,103921
14/05/2022,3745165,552479,103961
14/06/2021,3779501,556039,104316
14/06/2022,3801746,557064,104594
14/07/2020,3801748,557066,104594
14/07/2021,3838370,558674,104956
14/07/2022,3881053,567746,108298
14/08/2020,3881054,567750,108298
14/08/2021,3906122,568657,108495
14/08/2022,3917255,570324,109097
14/09/2020,3917258,570328,109097
14/09/2021,3953235,571222,109352
14/09/2022,3975605,572030,109644
14/10/2020,3975624,572032,109644
14/10/2021,4006979,572784,109779
14/10/2022,4020968,572992,109838
14/11/2020,4021023,572995,109838
14/11/2021,4031945,573365,109979
14/11/2022,4049611,575262,110805
14/12/2020,4050845,575340,110805
14/12/2021,4082541,576499,110816
14/12/2022,4101555,582203,114090
15/01/2021,4108789,583459,114090
15/01/2022,4183943,626997,122135
15/01/2023,4188243,627199,122216
15/02/2021,4215917,633128,122237
15/02/2022,4259182,636322,123093
15/02/2023,4269195,636489,123171
15/03/2020,4269201,636493,123171
15/03/2021,4302256,644700,123180
15/03/2022,4339031,645213,123331
15/03/2023,4346801,645410,123417
15/04/2021,4385654,652959,123426
15/04/2022,4397854,653071,123446
15/04/2023,4400471,653206,123446
15/05/2020,4400474,653207,123446
15/05/2021,4429683,657071,123446
15/05/2022,4438368,657179,123475
15/06/2020,4438378,657184,123475
15/06/2021,4470589,660102,123605
15/06/2022,4493073,661235,123993
15/07/2020,4493074,661236,123993
15/07/2021,4528633,662737,124359
15/07/2022,4571017,671387,127338
15/08/2020,4571018,671392,127338
15/08/2021,4581142,671764,127430
15/08/2022,4614464,677626,129728
15/09/2020,4614465,677627,129728
15/09/2021,4650301,678441,130012
15/09/2022,4671036,679108,130315
15/10/2020,4671097,679111,130315
15/10/2021,4701454,679897,130484
15/10/2022,4710062,680079,130486
15/11/2020,4710090,680080,130486
15/11/2021,4748263,681436,130952
15/11/2022,4765831,683426,131951
15/12/2020,4766544,683482,131951
15/12/2021,4800750,684637,132148
15/12/2022,4817846,688943,135005
16/01/2021,4824655,690285,135005
16/01/2022,4851330,705645,139311
16/01/2023,4864937,706167,139698
16/02/2021,4891554,711328,139741
16/02/2022,4935029,714448,140610
16/02/2023,4946171,714627,140669
16/03/2020,4946172,714627,140669
16/03/2021,4976283,721270,140674
16/03/2022,5012948,721759,140789
16/03/2023,5020558,721960,140868
16/04/2020,5020559,721960,140868
16/04/2021,5059147,729554,140878
16/04/2022,5078433,729717,140908
16/04/2023,5079467,729750,140908
16/05/2021,5089027,731114,140908
16/05/2022,5113459,731520,141002
16/06/2021,5145341,734244,141182
16/06/2022,5167750,735521,141480
16/07/2021,5200647,737088,141883
16/07/2022,5233955,743966,144547
16/08/2020,5233955,743968,144547
16/08/2021,5270757,745310,144793
16/08/2022,5304069,750200,146816
16/09/2020,5304070,750203,146816
16/09/2021,5336928,750960,147089
16/09/2022,5356406,751581,147323
16/10/2020,5356417,751584,147323
16/10/2021,5381120,752284,147557
16/10/2022,5386772,752358,147557
16/11/2020,5386868,752364,147557
16/11/2021,5422236,753430,147866
16/11/2022,5440415,755998,149158
16/12/2020,5441085,756036,149158
16/12/2021,5473805,757197,149215
16/12/2022,5489059,761101,151363
17/01/2021,5491388,761498,151363
17/01/2022,5582063,819657,161615
17/01/2023,5593693,820091,161758
17/02/2021,5622866,825040,161785
17/02/2022,5662050,827495,162573
17/02/2023,5672068,827667,162575
17/03/2020,5672069,827667,162575
17/03/2021,5699619,834205,162588
17/03/2022,5732876,834715,162717
17/03/2023,5740026,834885,162798
17/04/2021,5771641,841929,162798
17/04/2022,5782545,842049,162814
17/05/2020,5782546,842050,162814
17/05/2021,5821154,847753,162819
17/05/2022,5846037,848175,162887
17/06/2020,5846040,848175,162887
17/06/2021,5877280,850878,163083
17/06/2022,5899280,852109,163502
17/07/2020,5899285,852110,163502
17/07/2021,5923415,853358,163752
17/07/2022,5939479,856701,164954
17/08/2020,5939479,856705,164954
17/08/2021,5974733,857776,165142
17/08/2022,6006149,862353,166852
17/09/2020,6006159,862357,166852
17/09/2021,6037533,863144,167118
17/09/2022,6051717,863630,167287
17/10/2020,6051723,863630,167287
17/10/2021,6062731,863865,167364
17/10/2022,6078899,864150,167475
17/11/2020,6078985,864155,167475
17/11/2021,6113063,865248,167846
17/11/2022,6130933,868032,169246
17/12/2020,6131956,868084,169246
17/12/2021,6160990,869239,169263
17/12/2022,6171857,872103,170390
18/01/2021,6182099,874101,170390
18/01/2022,6266924,927376,180707
18/01/2023,6276423,927754,180770
18/02/2021,6302233,932492,180792
18/02/2022,6340258,935013,181371
18/02/2023,6347358,935123,181430
18/03/2021,6373464,941347,181432
18/03/2022,6402036,941781,181434
18/03/2023,6407822,941973,181513
18/04/2021,6416713,944163,181513
18/04/2022,6451048,944513,181583
18/05/2020,6451051,944516,181583
18/05/2021,6485721,949051,181584
18/05/2022,6509778,949420,181644
18/06/2021,6543899,951954,182287
18/06/2022,6560119,953126,182629
18/07/2020,6560123,953126,182629
18/07/2021,6570313,953535,182742
18/07/2022,6619018,965859,186549
18/08/2020,6619320,965864,186549
18/08/2021,6653276,966904,186775
18/08/2022,6681714,970939,188246
18/09/2020,6681726,970939,188246
18/09/2021,6705844,971584,188437
18/09/2022,6713995,971785,188503
18/10/2020,6713995,971786,188503
18/10/2021,6749289,972759,188811
18/10/2022,6763302,972998,188901
18/11/2020,6763423,973004,188901
18/11/2021,6797067,974009,189258
18/11/2022,6816238,977160,190745
18/12/2020,6817114,977233,190745
18/12/2021,6839672,978277,190750
18/12/2022,6846555,979324,191521
19/01/2021,6857765,981211,191521
19/01/2022,6941511,1034283,201930
19/01/2023,6950707,1034605,202125
19/02/2021,6977063,1039064,202159
19/02/2022,7007066,1041027,202666
19/02/2023,7010951,1041074,202693
19/03/2021,7038952,1047848,202699
19/03/2022,7060717,1048266,202700
19/03/2023,7063898,1048321,202730
19/04/2020,7063899,1048321,202730
19/04/2021,7107005,1057894,202735
19/04/2022,7138379,1058156,202841
19/05/2020,7138379,1058158,202841
19/05/2021,7172413,1062416,202846
19/05/2022,7195201,1062812,203029
19/06/2020,7195202,1062814,203029
19/06/2021,7220486,1064862,203557
19/06/2022,7227953,1065374,203694
19/07/2020,7227954,1065377,203694
19/07/2021,7266179,1067038,204077
19/07/2022,7312665,1077797,207846
19/08/2020,7312802,1077799,207846
19/08/2021,7344973,1078803,208106
19/08/2022,7372388,1082293,209598
19/09/2020,7372390,1082295,209598
19/09/2021,7381636,1082594,209685
19/09/2022,7405046,1083257,209945
19/10/2020,7405054,1083260,209945
19/10/2021,7438905,1084030,210194
19/10/2022,7453698,1084270,210232
19/11/2020,7453845,1084273,210232
19/11/2021,7485150,1085288,210521
19/11/2022,7498971,1087912,211809
19/12/2020,7500444,1088025,211809
19/12/2021,7510620,1088467,211814
19/12/2022,7529951,1092479,214629
2/01/2021,7532877,1092886,214629
2/01/2022,7549172,1094842,215069
2/01/2023,7564138,1096202,216074
2/02/2021,7584893,1100178,216074
2/02/2022,7637874,1113908,220005
2/02/2023,7648160,1114076,220078
2/03/2021,7682872,1119598,220091
2/03/2022,7716752,1120352,220320
2/03/2023,7725639,1120509,220401
2/04/2021,7736090,1124161,220401
2/04/2022,7758580,1124396,220472
2/04/2023,7761930,1124506,220512
2/05/2020,7761932,1124507,220512
2/05/2021,7771046,1126033,220512
2/05/2022,7796028,1126238,220551
2/06/2020,7796029,1126239,220551
2/06/2021,7828627,1129881,220733
2/06/2022,7851542,1130518,220868
2/07/2020,7851545,1130519,220868
2/07/2021,7884493,1132436,221308
2/07/2022,7908095,1135887,222002
2/08/2020,7908095,1135888,222002
2/08/2021,7948319,1137369,222391
2/08/2022,7981826,1146722,224723
2/09/2020,7981829,1146729,224723
2/09/2021,8013848,1147614,224894
2/09/2022,8032419,1149152,224926
2/10/2020,8032428,1149153,224926
2/10/2021,8057746,1149855,225118
2/10/2022,8063875,1150010,225148
2/11/2020,8063975,1150014,225148
2/11/2021,8101295,1150973,225437
2/11/2022,8115530,1151402,225656
2/12/2020,8115851,1151423,225656
2/12/2021,8146930,1152452,225666
2/12/2022,8172391,1163311,230221
20/01/2021,8184936,1165282,230221
20/01/2022,8264913,1214644,240020
20/01/2023,8274390,1214974,240227
20/02/2021,8295276,1219162,240227
20/02/2022,8311227,1220076,240419
20/02/2023,8322281,1220240,240509
20/03/2021,8351197,1226693,240509
20/03/2022,8364105,1226860,240539
20/03/2023,8372963,1227157,240659
20/04/2020,8372964,1227157,240659
20/04/2021,8413218,1234834,240670
20/04/2022,8444285,1235117,240713
20/05/2020,8444285,1235118,240713
20/05/2021,8476483,1239218,240716
20/05/2022,8498728,1239599,240787
20/06/2021,8506944,1240221,240935
20/06/2022,8532094,1241989,241516
20/07/2020,8532096,1241991,241516
