departamento,Serológica,Antígena,Quimioluminiscencia
AMAZONAS,162858,104439,177
ANCASH,473508,606402,1467
APURIMAC,219766,169486,261
AREQUIPA,1595873,1260383,31774
AYACUCHO,202459,157644,173
CAJAMARCA,432036,537039,4411
CALLAO,671169,484675,6009
CUSCO,680960,672070,1630
HUANCAVELICA,145895,134010,458
HUANUCO,250254,212086,1241
ICA,548052,459256,5523
JUNIN,594011,737900,4808
LA LIBERTAD,691734,681206,17149
LAMBAYEQUE,410413,367095,4025
LIMA,7904900,7316729,110433
LORETO,223731,195294,203
MADRE DE DIOS,96982,34761,84
MOQUEGUA,295619,190410,5359
PASCO,173598,296132,1350
PIURA,604540,712604,3098
PUNO,408252,326714,10918
SAN MARTIN,238056,148582,1462
TACNA,283314,198400,2176
TUMBES,74133,71950,134
UCAYALI,155312,96430,96
