,Serológica,Antígena,Quimioluminiscencia,id_ubigeo,ubigeo_inei,departamento,provincia,distrito
0,39469,22953,59,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
1,1120,1033,0,10,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
2,911,804,0,100,020204,ANCASH,AIJA,LA MERCED
3,7915,6070,9,1000,110108,ICA,ICA,SALAS
4,2064,2527,2,1001,110109,ICA,ICA,SAN JOSE DE LOS MOLINOS
5,3497,4607,33,1002,110110,ICA,ICA,SAN JUAN BAUTISTA
6,6738,6501,15,1003,110111,ICA,ICA,SANTIAGO
7,11193,10087,54,1004,110112,ICA,ICA,SUBTANJALLA
8,2295,1646,0,1005,110113,ICA,ICA,TATE
9,605,341,0,1006,110114,ICA,ICA,YAUCA DEL ROSARIO
10,47501,36421,243,1007,110201,ICA,CHINCHA,CHINCHA ALTA
11,2795,2258,17,1008,110202,ICA,CHINCHA,ALTO LARAN
12,1862,4504,23,1009,110203,ICA,CHINCHA,CHAVIN
13,164,203,0,101,020205,ANCASH,AIJA,SUCCHA
14,5547,3854,10,1010,110204,ICA,CHINCHA,CHINCHA BAJA
15,3484,2283,17,1011,110205,ICA,CHINCHA,EL CARMEN
16,8799,7175,50,1012,110206,ICA,CHINCHA,GROCIO PRADO
17,16846,12515,93,1013,110207,ICA,CHINCHA,PUEBLO NUEVO
18,257,132,7,1014,110208,ICA,CHINCHA,SAN JUAN DE YANAC
19,168,48,0,1015,110209,ICA,CHINCHA,SAN PEDRO DE HUACARPANA
20,14347,14108,73,1016,110210,ICA,CHINCHA,SUNAMPE
21,3372,1778,20,1017,110211,ICA,CHINCHA,TAMBO DE MORA
22,26509,22238,249,1018,110301,ICA,NAZCA,NAZCA
23,1268,1103,4,1019,110302,ICA,NAZCA,CHANGUILLO
24,569,1598,1,102,020301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN
25,1929,1325,4,1020,110303,ICA,NAZCA,EL INGENIO
26,42800,36321,2215,1021,110304,ICA,NAZCA,MARCONA
27,11228,9168,131,1022,110305,ICA,NAZCA,VISTA ALEGRE
28,10668,6812,13,1023,110401,ICA,PALPA,PALPA
29,1213,969,0,1024,110402,ICA,PALPA,LLIPATA
30,2423,1486,1,1025,110403,ICA,PALPA,RIO GRANDE
31,369,280,0,1026,110404,ICA,PALPA,SANTA CRUZ
32,178,48,0,1027,110405,ICA,PALPA,TIBILLO
33,66857,51512,806,1028,110501,ICA,PISCO,PISCO
34,905,216,7,1029,110502,ICA,PISCO,HUANCANO
35,258,131,0,103,020302,ANCASH,ANTONIO RAYMONDI,ACZO
36,1971,1309,2,1030,110503,ICA,PISCO,HUMAY
37,3316,2555,13,1031,110504,ICA,PISCO,INDEPENDENCIA
38,5187,2718,79,1032,110505,ICA,PISCO,PARACAS
39,8966,6867,61,1033,110506,ICA,PISCO,SAN ANDRES
40,12027,8450,122,1034,110507,ICA,PISCO,SAN CLEMENTE
41,10003,6042,228,1035,110508,ICA,PISCO,TUPAC AMARU INCA
42,113554,140415,934,1036,120101,JUNIN,HUANCAYO,HUANCAYO
43,59,67,1,1037,120104,JUNIN,HUANCAYO,CARHUACALLANGA
44,273,258,2,1038,120105,JUNIN,HUANCAYO,CHACAPAMPA
45,368,172,0,1039,120106,JUNIN,HUANCAYO,CHICCHE
46,18,59,0,104,020303,ANCASH,ANTONIO RAYMONDI,CHACCHO
47,43764,53291,377,1040,120107,JUNIN,HUANCAYO,CHILCA
48,646,337,2,1041,120108,JUNIN,HUANCAYO,CHONGOS ALTO
49,694,700,16,1042,120111,JUNIN,HUANCAYO,CHUPURO
50,209,202,0,1043,120112,JUNIN,HUANCAYO,COLCA
51,227,120,1,1044,120113,JUNIN,HUANCAYO,CULLHUAS
52,107653,133690,1088,1045,120114,JUNIN,HUANCAYO,EL TAMBO
53,357,254,0,1046,120116,JUNIN,HUANCAYO,HUACRAPUQUIO
54,2423,4081,24,1047,120117,JUNIN,HUANCAYO,HUALHUAS
55,5848,8061,80,1048,120119,JUNIN,HUANCAYO,HUANCAN
56,208,257,2,1049,120120,JUNIN,HUANCAYO,HUASICANCHA
57,92,171,0,105,020304,ANCASH,ANTONIO RAYMONDI,CHINGAS
58,3594,4582,35,1050,120121,JUNIN,HUANCAYO,HUAYUCACHI
59,908,1742,26,1051,120122,JUNIN,HUANCAYO,INGENIO
60,396,478,3,1052,120124,JUNIN,HUANCAYO,PARIAHUANCA
61,10775,15769,115,1053,120125,JUNIN,HUANCAYO,PILCOMAYO
62,1313,1201,4,1054,120126,JUNIN,HUANCAYO,PUCARA
63,616,1137,5,1055,120127,JUNIN,HUANCAYO,QUICHUAY
64,1932,3866,48,1056,120128,JUNIN,HUANCAYO,QUILCAS
65,6882,10579,117,1057,120129,JUNIN,HUANCAYO,SAN AGUSTIN
66,5670,10037,70,1058,120130,JUNIN,HUANCAYO,SAN JERONIMO DE TUNAN
67,2213,3354,33,1059,120132,JUNIN,HUANCAYO,SAÑO
68,120,117,0,106,020305,ANCASH,ANTONIO RAYMONDI,MIRGAS
69,5794,7345,49,1060,120133,JUNIN,HUANCAYO,SAPALLANGA
70,3867,4525,29,1061,120134,JUNIN,HUANCAYO,SICAYA
71,358,277,1,1062,120135,JUNIN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA
72,910,707,5,1063,120136,JUNIN,HUANCAYO,VIQUES
73,9095,12839,96,1064,120201,JUNIN,CONCEPCION,CONCEPCION
74,287,246,5,1065,120202,JUNIN,CONCEPCION,ACO
75,192,215,1,1066,120203,JUNIN,CONCEPCION,ANDAMARCA
76,323,571,5,1067,120204,JUNIN,CONCEPCION,CHAMBARA
77,52,97,0,1068,120205,JUNIN,CONCEPCION,COCHAS
78,3061,1679,10,1069,120206,JUNIN,CONCEPCION,COMAS
79,14,60,0,107,020306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY
80,204,396,5,1070,120207,JUNIN,CONCEPCION,HEROINAS TOLEDO
81,257,356,5,1071,120208,JUNIN,CONCEPCION,MANZANARES
82,223,251,2,1072,120209,JUNIN,CONCEPCION,MARISCAL CASTILLA
83,1410,2330,10,1073,120210,JUNIN,CONCEPCION,MATAHUASI
84,297,330,0,1074,120211,JUNIN,CONCEPCION,MITO
85,576,574,4,1075,120212,JUNIN,CONCEPCION,NUEVE DE JULIO
86,1305,1831,18,1076,120213,JUNIN,CONCEPCION,ORCOTUNA
87,1310,1397,2,1077,120214,JUNIN,CONCEPCION,SAN JOSE DE QUERO
88,753,1390,5,1078,120215,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA
89,15198,17073,39,1079,120301,JUNIN,CHANCHAMAYO,CHANCHAMAYO
90,1842,2389,0,108,020401,ANCASH,ASUNCION,CHACAS
91,12047,10391,13,1080,120302,JUNIN,CHANCHAMAYO,PERENE
92,12651,8819,10,1081,120303,JUNIN,CHANCHAMAYO,PICHANAQUI
93,482,1339,1,1082,120304,JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO
