provincia,Serológica,Antígena,Quimioluminiscencia
ABANCAY,89415,60746,81
ACOBAMBA,14087,9194,21
ACOMAYO,6715,4928,5
AIJA,3638,4144,1
ALTO AMAZONAS,25149,17101,34
AMBO,12616,15242,74
ANDAHUAYLAS,60387,38296,42
ANGARAES,24195,27246,57
ANTA,19109,14559,32
ANTABAMBA,8437,6376,14
ANTONIO RAYMONDI,1071,2175,1
AREQUIPA,1392395,1090077,30427
ASCOPE,30420,23796,243
ASUNCION,2163,2882,0
ATALAYA,13722,2981,1
AYABACA,12119,13756,14
AYMARAES,11086,7001,9
AZANGARO,23724,20459,592
BAGUA,46506,25772,24
BARRANCA,60612,59529,157
BELLAVISTA,7291,4810,1
BOLIVAR,2014,1719,3
BOLOGNESI,7911,9514,7
BONGARA,7197,6095,12
CAJABAMBA,17342,22218,958
CAJAMARCA,229994,365364,2579
CAJATAMBO,1372,1250,7
CALCA,16774,14775,23
CALLAO,671169,481761,6009
CAMANA,31852,29141,308
CANAS,6101,8109,17
CANCHIS,34768,40039,81
CANDARAVE,2352,1283,3
CANGALLO,6578,7151,7
CANTA,4986,5474,9
CARABAYA,17396,16762,259
CARAVELI,19420,15760,46
CARHUAZ,11454,11267,8
CARLOS FERMIN FITZCARRALD,2623,2366,5
CASMA,11438,14590,62
CASTILLA,25633,24013,115
CASTROVIRREYNA,3950,3140,4
CAYLLOMA,60305,45625,514
CAÑETE,135160,135320,1267
CELENDIN,9372,10257,39
CHACHAPOYAS,45598,26802,65
CHANCHAMAYO,51267,57589,138
CHEPEN,16241,19703,75
CHICLAYO,306701,289752,3483
CHINCHA,104978,85764,553
CHINCHEROS,11716,10931,6
CHOTA,30194,25113,86
CHUCUITO,8443,13352,81
CHUMBIVILCAS,14078,22321,60
CHUPACA,28125,34379,196
CHURCAMPA,10526,7439,4
CONCEPCION,19345,24798,168
CONDESUYOS,14044,12163,61
CONDORCANQUI,14010,9821,2
CONTRALMIRANTE VILLAR,3601,3719,6
CONTUMAZA,4975,6660,41
CORONEL PORTILLO,123459,83041,88
CORONGO,1164,1054,0
COTABAMBAS,30631,40662,109
CUSCO,402042,369735,998
CUTERVO,21362,12634,49
DANIEL ALCIDES CARRION,11628,12021,123
DATEM DEL MARAÑON,18302,4798,2
DOS DE MAYO,7175,4593,3
EL COLLAO,10185,10442,130
EL DORADO,10212,3164,11
ESPINAR,37101,73031,224
FERREÑAFE,26650,19468,117
GENERAL SANCHEZ CERRO,13052,7464,67
GRAN CHIMU,6501,4164,29
GRAU,8094,4470,0
HUACAYBAMBA,3352,2038,0
HUALGAYOC,16863,25573,50
HUALLAGA,10347,4420,5
HUAMALIES,12174,7762,5
HUAMANGA,102940,70178,124
HUANCA SANCOS,2027,1504,0
HUANCABAMBA,6651,10242,9
HUANCANE,8958,9334,118
HUANCAVELICA,61768,59970,312
HUANCAYO,321511,412330,3067
HUANTA,24032,17642,11
HUANUCO,136215,118427,398
HUARAL,82613,95669,335
HUARAZ,112377,144658,321
HUARI,15666,20824,19
HUARMEY,17233,14435,20
HUAROCHIRI,33261,50988,394
HUAURA,90654,119832,418
HUAYLAS,18109,27432,10
HUAYTARA,7086,5578,17
ICA,235257,209368,1035
ILO,123962,91343,2262
ISLAY,47738,31308,290
JAEN,57458,25964,462
JAUJA,30811,40397,228
JORGE BASADRE,21053,19015,510
JULCAN,2119,2567,13
JUNIN,10775,28115,125
LA CONVENCION,81869,61397,76
LA MAR,17525,13385,4
LA UNION,4486,3471,13
LAMAS,11392,6854,20
LAMBAYEQUE,77062,55266,425
LAMPA,10571,13332,178
LAURICOCHA,7774,4634,442
LEONCIO PRADO,36471,32959,35
LIMA,7480674,6780731,107699
LORETO,16792,14754,5
LUCANAS,18217,12424,5
LUYA,10383,6741,7
MANU,9622,2411,2
MARAÑON,4611,1907,3
MARISCAL CACERES,10407,9987,14
MARISCAL LUZURIAGA,4021,2601,8
MARISCAL NIETO,158598,90364,3030
MARISCAL RAMON CASTILLA,10368,6426,4
MAYNAS,134067,137805,157
MELGAR,57374,22342,2947
MOHO,2434,1953,35
MORROPON,22543,24318,28
MOYOBAMBA,49862,25665,138
NAZCA,83734,70935,2603
OCROS,1606,984,0
OTUZCO,13014,12525,65
OXAPAMPA,51366,33308,129
OYON,8790,11564,144
PACASMAYO,22887,34198,285
PACHITEA,6642,5617,4
PADRE ABAD,15561,9204,7
PAITA,45365,45091,47
PALLASCA,2933,7731,15
PALPA,14851,9661,14
PARINACOCHAS,11331,10616,6
PARURO,7169,6208,20
PASCO,110604,249376,1098
PATAZ,23476,20411,101
PAUCAR DEL SARA SARA,9143,11920,4
PAUCARTAMBO,6983,7638,10
PICOTA,8474,4259,1
PISCO,109232,80418,1318
PIURA,288968,368518,779
POMABAMBA,10381,17720,16
PUERTO INCA,19184,15233,275
PUNO,110311,93451,1880
PURUS,2570,252,0
PUTUMAYO,5551,1051,0
QUISPICANCHI,26930,23790,51
RECUAY,6930,8970,18
REQUENA,9449,11190,1
RIOJA,34173,26065,851
RODRIGUEZ DE MENDOZA,6874,8979,5
SAN ANTONIO DE PUTINA,8326,6805,555
SAN IGNACIO,20765,15098,51
SAN MARCOS,5994,4117,32
SAN MARTIN,70788,49321,388
SAN MIGUEL,7430,8433,40
SAN PABLO,5016,5692,10
SAN ROMAN,139345,101827,3611
SANCHEZ CARRION,41490,55921,1149
SANDIA,6169,5768,102
SANTA,226918,279762,945
SANTA CRUZ,5271,6455,14
SANTIAGO DE CHUCO,14539,15212,84
SATIPO,68980,43814,52
SECHURA,24590,43662,25
SIHUAS,7332,14886,4
SUCRE,2860,2764,8
SULLANA,85258,92521,418
TACNA,257158,174904,1653
TAHUAMANU,12155,3001,7
TALARA,119046,110509,1778
TAMBOPATA,75205,29068,75
TARATA,2751,1530,10
TARMA,35116,60016,526
TAYACAJA,24283,20499,43
TOCACHE,25110,13098,33
TRUJILLO,497590,469630,14478
TUMBES,60183,59642,113
UCAYALI,4053,1158,0
URUBAMBA,21321,19388,33
UTCUBAMBA,32290,19567,62
VICTOR FAJARDO,4970,6405,4
