fecha_prueba,Negativo,IgG Positivo,IgM e IgG Positivo,IgM Positivo
2020-03-26,1,0,0,0
2020-03-27,1,0,0,0
2020-04-02,1,0,0,0
2020-04-03,5,0,0,0
2020-04-04,4,0,0,0
2020-04-05,2,0,0,0
2020-04-06,11,0,1,0
2020-04-07,13,0,0,0
2020-04-08,22,2,0,0
2020-04-09,14,0,0,0
2020-04-10,13,0,0,0
2020-04-11,9,0,1,0
2020-04-12,7,1,1,0
2020-04-13,13,0,3,0
2020-04-14,11,0,0,1
2020-04-15,13,1,0,0
2020-04-16,10,0,1,1
2020-04-17,18,0,0,0
2020-04-18,20,0,1,0
2020-04-19,14,1,1,0
2020-04-20,19,1,2,0
2020-04-21,18,1,2,2
2020-04-22,12,0,0,0
2020-04-23,15,1,0,0
2020-04-24,26,2,2,0
2020-04-25,17,2,0,1
2020-04-26,10,0,2,0
2020-04-27,16,1,2,0
2020-04-28,29,1,4,1
2020-04-29,23,1,5,1
2020-04-30,31,0,4,1
2020-05-01,21,0,1,0
2020-05-02,17,1,2,0
2020-05-03,9,0,0,0
2020-05-04,27,3,0,3
2020-05-05,25,1,5,2
2020-05-06,23,0,2,1
2020-05-07,23,0,2,0
2020-05-08,26,2,4,0
2020-05-09,14,0,0,4
2020-05-10,9,0,0,0
2020-05-11,17,0,3,1
2020-05-12,15,0,1,0
2020-05-13,22,2,3,1
2020-05-14,20,0,7,4
2020-05-15,16,1,3,4
2020-05-16,19,3,5,1
2020-05-17,11,0,1,0
2020-05-18,22,1,1,2
2020-05-19,27,1,1,2
2020-05-20,40,5,2,1
2020-05-21,33,1,7,7
2020-05-22,41,1,11,2
2020-05-23,34,1,5,2
2020-05-24,6,0,0,0
2020-05-25,51,2,8,3
2020-05-26,24,1,10,3
2020-05-27,52,0,7,1
2020-05-28,46,0,7,4
2020-05-29,47,4,16,1
2020-05-30,41,2,8,1
2020-05-31,4,0,0,0
2020-06-01,43,5,10,0
2020-06-02,56,2,11,1
2020-06-03,55,5,9,0
2020-06-04,53,5,11,3
2020-06-05,60,5,11,3
2020-06-06,50,1,8,2
2020-06-07,7,0,0,0
2020-06-08,67,6,16,3
2020-06-09,68,5,16,0
2020-06-10,76,5,11,5
2020-06-11,61,4,10,1
2020-06-12,75,11,15,4
2020-06-13,60,4,3,5
2020-06-14,12,1,2,1
2020-06-15,68,5,15,1
2020-06-16,53,5,12,2
2020-06-17,88,8,18,6
2020-06-18,75,8,8,3
2020-06-19,77,11,11,4
2020-06-20,71,7,12,2
2020-06-21,12,0,2,0
2020-06-22,76,9,11,4
2020-06-23,66,5,16,2
2020-06-24,59,7,5,2
2020-06-25,68,7,16,5
2020-06-26,107,11,11,3
2020-06-27,47,7,7,2
2020-06-28,17,2,3,1
2020-06-29,25,2,6,3
2020-06-30,102,9,15,2
2020-07-01,94,4,10,6
2020-07-02,83,12,17,4
2020-07-03,77,13,14,1
2020-07-04,67,5,11,0
2020-07-05,12,2,3,1
2020-07-06,93,11,11,5
2020-07-07,80,7,14,4
2020-07-08,69,7,21,2
2020-07-09,70,10,8,3
2020-07-10,88,9,13,3
2020-07-11,70,7,9,6
2020-07-12,20,0,2,1
2020-07-13,82,10,17,4
2020-07-14,87,11,19,3
2020-07-15,74,8,16,7
2020-07-16,82,11,12,3
2020-07-17,65,11,20,1
2020-07-18,59,9,15,3
2020-07-19,11,4,1,1
2020-07-20,68,13,16,2
2020-07-21,88,11,14,9
2020-07-22,76,13,18,4
2020-07-23,82,14,18,5
2020-07-24,85,8,13,4
2020-07-25,54,6,15,2
2020-07-26,18,1,2,0
2020-07-27,76,7,22,2
2020-07-28,24,3,6,3
2020-07-29,81,8,11,1
2020-07-30,81,10,13,6
2020-07-31,94,12,27,1
2020-08-01,62,4,7,2
2020-08-02,14,0,2,1
2020-08-03,80,12,26,4
2020-08-04,70,7,16,2
2020-08-05,78,14,14,5
2020-08-06,81,16,10,4
2020-08-07,87,15,16,5
2020-08-08,55,12,20,2
2020-08-09,18,4,4,1
2020-08-10,85,15,17,2
2020-08-11,77,12,15,2
2020-08-12,75,9,9,5
2020-08-13,72,17,16,8
2020-08-14,88,14,21,3
2020-08-15,74,19,13,5
2020-08-16,10,0,4,1
2020-08-17,81,17,12,6
2020-08-18,78,19,12,4
2020-08-19,57,12,18,4
2020-08-20,84,25,10,3
2020-08-21,84,19,6,5
2020-08-22,52,10,8,4
2020-08-23,15,2,3,0
2020-08-24,72,21,9,3
2020-08-25,72,13,17,2
2020-08-26,67,10,19,0
2020-08-27,88,22,17,0
2020-08-28,80,8,20,3
2020-08-29,53,21,9,3
2020-08-30,8,2,2,0
2020-08-31,89,13,20,2
2020-09-01,73,18,14,0
2020-09-02,75,12,13,6
2020-09-03,67,11,8,2
2020-09-04,69,17,10,2
2020-09-05,47,3,11,2
2020-09-06,10,3,5,1
2020-09-07,69,20,9,1
2020-09-08,65,17,17,3
2020-09-09,63,19,11,9
2020-09-10,65,15,11,2
2020-09-11,66,16,10,5
2020-09-12,47,14,4,2
2020-09-13,12,1,1,0
2020-09-14,70,14,5,2
2020-09-15,57,17,10,1
2020-09-16,70,13,13,1
2020-09-17,79,21,6,1
2020-09-18,73,8,9,1
2020-09-19,46,16,9,1
2020-09-20,9,1,5,0
2020-09-21,53,16,5,1
2020-09-22,54,15,7,1
2020-09-23,62,7,7,1
2020-09-24,65,13,13,1
2020-09-25,66,14,9,4
2020-09-26,55,10,7,0
2020-09-27,7,2,1,0
2020-09-28,61,5,4,2
2020-09-29,53,11,7,0
2020-09-30,64,10,3,1
2020-10-01,61,14,8,3
2020-10-02,58,5,6,2
2020-10-03,41,11,4,0
2020-10-04,10,2,0,0
2020-10-05,46,9,5,2
2020-10-06,47,12,4,3
2020-10-07,44,5,4,1
2020-10-08,48,10,6,1
2020-10-09,50,10,2,1
2020-10-10,32,9,2,1
2020-10-11,5,1,0,1
2020-10-12,46,9,4,1
2020-10-13,46,12,5,3
2020-10-14,42,9,4,0
2020-10-15,42,14,3,0
2020-10-16,50,7,4,3
2020-10-17,31,5,3,0
2020-10-18,10,2,3,0
2020-10-19,47,7,9,0
2020-10-20,48,13,3,0
2020-10-21,34,6,5,0
2020-10-22,35,6,1,0
2020-10-23,41,11,4,0
2020-10-24,24,9,3,2
2020-10-25,9,2,0,0
2020-10-26,44,7,2,1
2020-10-27,48,5,3,1
2020-10-28,41,10,2,0
2020-10-29,39,6,3,1
2020-10-30,36,8,1,0
2020-10-31,33,3,3,2
2020-11-01,6,2,1,0
2020-11-02,28,8,6,1
2020-11-03,40,2,3,0
2020-11-04,42,8,7,1
2020-11-05,33,7,2,1
2020-11-06,40,8,6,1
2020-11-07,30,6,2,1
2020-11-08,2,4,1,0
2020-11-09,41,14,1,0
2020-11-10,28,5,3,0
2020-11-11,29,10,2,2
2020-11-12,34,10,1,0
2020-11-13,38,9,1,0
2020-11-14,25,3,4,2
2020-11-15,2,0,0,0
2020-11-16,36,3,1,0
2020-11-17,29,10,2,1
2020-11-18,24,8,1,0
2020-11-19,42,6,4,1
2020-11-20,33,7,1,0
2020-11-21,31,2,1,0
2020-11-22,5,1,1,1
2020-11-23,29,4,3,0
2020-11-24,35,5,4,1
2020-11-25,50,6,4,1
2020-11-26,34,6,1,0
2020-11-27,35,8,4,0
2020-11-28,23,2,1,0
2020-11-29,8,1,0,0
2020-11-30,39,6,0,0
2020-12-01,51,8,2,0
2020-12-02,31,4,3,0
2020-12-03,36,4,0,0
2020-12-04,31,5,2,1
2020-12-05,24,5,0,0
2020-12-06,4,0,1,0
2020-12-07,38,9,2,0
2020-12-08,21,0,0,0
2020-12-09,34,9,4,1
2020-12-10,32,4,4,1
2020-12-11,28,3,1,0
2020-12-12,16,3,0,1
2020-12-13,4,0,0,0
2020-12-14,34,5,0,1
2020-12-15,40,4,2,0
2020-12-16,21,4,1,1
2020-12-17,38,4,2,0
2020-12-18,27,3,0,0
2020-12-19,27,1,1,0
2020-12-20,9,3,2,0
2020-12-21,27,4,1,2
2020-12-22,40,7,2,1
2020-12-23,30,5,1,1
2020-12-24,8,2,2,0
2020-12-25,7,0,0,0
2020-12-26,22,4,4,0
2020-12-27,5,0,3,1
2020-12-28,33,2,0,0
2020-12-29,30,9,8,0
2020-12-30,18,2,0,2
2020-12-31,10,1,1,1
2021-01-01,7,1,1,0
2021-01-02,13,4,5,0
2021-01-03,2,1,0,0
2021-01-04,33,8,0,1
2021-01-05,32,8,0,0
2021-01-06,30,4,5,0
2021-01-07,40,10,4,1
2021-01-08,42,5,2,0
2021-01-09,21,4,1,0
2021-01-10,7,2,1,2
2021-01-11,29,6,4,1
2021-01-12,40,6,3,2
2021-01-13,30,4,2,1
2021-01-14,30,9,3,0
2021-01-15,44,6,1,1
2021-01-16,36,6,1,1
2021-01-17,5,1,0,0
2021-01-18,32,9,6,1
2021-01-19,26,1,2,1
2021-01-20,40,5,7,0
2021-01-21,40,3,2,2
2021-01-22,39,5,3,0
2021-01-23,29,3,0,1
2021-01-24,8,0,1,1
2021-01-25,31,7,1,2
2021-01-26,37,6,7,1
2021-01-27,39,6,6,1
2021-01-28,32,3,2,2
2021-01-29,34,2,3,3
2021-01-30,29,3,4,4
2021-01-31,6,0,0,0
2021-02-01,40,3,5,1
2021-02-02,33,6,5,1
2021-02-03,31,8,1,1
2021-02-04,27,6,1,1
2021-02-05,29,6,3,1
2021-02-06,24,3,1,1
2021-02-07,9,1,2,0
2021-02-08,35,4,2,0
2021-02-09,25,9,3,1
2021-02-10,21,5,1,0
2021-02-11,21,6,2,1
2021-02-12,33,4,8,1
2021-02-13,21,6,3,3
2021-02-14,2,0,0,0
2021-02-15,26,6,2,2
2021-02-16,22,6,0,1
2021-02-17,19,5,4,2
2021-02-18,14,9,2,2
2021-02-19,18,4,3,0
2021-02-20,12,3,1,1
2021-02-21,5,0,0,0
2021-02-22,23,5,3,1
2021-02-23,22,5,1,2
2021-02-24,16,8,2,0
2021-02-25,18,3,2,0
2021-02-26,22,6,8,1
2021-02-27,26,7,2,1
2021-02-28,1,2,1,0
2021-03-01,27,5,3,0
2021-03-02,26,3,3,2
2021-03-03,19,7,3,0
2021-03-04,27,6,3,0
2021-03-05,23,6,1,1
2021-03-06,14,2,1,0
2021-03-07,1,3,1,0
2021-03-08,19,6,1,0
2021-03-09,30,7,1,1
2021-03-10,19,11,1,2
2021-03-11,15,4,5,0
2021-03-12,26,4,2,0
2021-03-13,23,3,0,0
2021-03-14,6,0,1,0
2021-03-15,35,5,3,2
2021-03-16,25,6,2,1
2021-03-17,16,7,2,0
2021-03-18,16,5,0,0
2021-03-19,13,5,2,2
2021-03-20,10,5,2,1
2021-03-21,5,0,0,0
2021-03-22,28,8,4,0
2021-03-23,20,5,5,0
2021-03-24,21,6,1,1
2021-03-25,13,4,2,0
2021-03-26,25,2,3,0
2021-03-27,14,6,4,0
2021-03-28,2,1,0,0
2021-03-29,25,4,1,1
2021-03-30,29,7,1,1
2021-03-31,18,8,1,2
2021-04-01,9,2,0,0
2021-04-02,8,1,1,0
2021-04-03,5,5,0,1
2021-04-04,4,0,0,0
2021-04-05,32,8,4,3
2021-04-06,22,8,3,1
2021-04-07,23,6,0,1
2021-04-08,23,11,1,1
2021-04-09,9,3,2,1
2021-04-10,15,7,1,0
2021-04-11,4,0,0,0
2021-04-12,22,7,2,2
2021-04-13,18,9,3,0
2021-04-14,13,6,3,1
2021-04-15,12,7,1,1
2021-04-16,18,5,3,0
2021-04-17,11,4,4,0
2021-04-18,4,1,0,0
2021-04-19,13,6,3,0
2021-04-20,12,10,1,1
2021-04-21,13,5,0,1
2021-04-22,21,5,4,2
2021-04-23,15,11,0,0
2021-04-24,8,5,2,0
2021-04-25,0,2,0,1
2021-04-26,24,5,2,3
2021-04-27,14,4,1,0
2021-04-28,9,6,1,2
2021-04-29,13,3,2,0
2021-04-30,15,4,1,1
2021-05-01,1,1,1,0
2021-05-03,19,6,2,1
2021-05-04,15,2,1,0
2021-05-05,13,4,1,0
2021-05-06,17,5,3,1
2021-05-07,14,7,0,1
2021-05-08,11,3,4,0
2021-05-09,3,0,0,0
2021-05-10,14,6,1,1
2021-05-11,18,8,1,1
2021-05-12,13,6,1,0
2021-05-13,8,3,1,0
2021-05-14,14,4,0,0
2021-05-15,26,5,2,0
2021-05-16,7,2,0,0
2021-05-17,25,8,2,0
2021-05-18,12,11,1,1
2021-05-19,14,8,4,0
2021-05-20,8,2,3,0
2021-05-21,10,6,2,1
2021-05-22,12,5,2,0
2021-05-24,24,8,1,0
2021-05-25,9,6,3,0
2021-05-26,11,8,3,0
2021-05-27,16,4,2,0
2021-05-28,19,3,4,0
2021-05-29,7,6,0,0
2021-05-30,1,1,0,0
2021-05-31,14,3,1,1
2021-06-01,16,8,4,1
2021-06-02,8,9,0,0
2021-06-03,9,2,0,1
2021-06-04,11,6,0,0
2021-06-05,13,3,1,0
2021-06-06,1,0,0,0
2021-06-07,10,4,1,0
2021-06-08,14,3,1,0
2021-06-09,9,3,1,0
2021-06-10,5,4,0,0
2021-06-11,12,8,2,0
2021-06-12,3,1,2,0
2021-06-13,2,0,0,0
2021-06-14,10,4,1,0
2021-06-15,5,5,2,1
2021-06-16,9,3,0,0
2021-06-17,5,2,1,0
2021-06-18,14,6,0,0
2021-06-19,11,0,1,1
2021-06-20,0,1,0,0
2021-06-21,7,7,0,0
2021-06-22,7,4,2,1
2021-06-23,15,8,0,0
2021-06-24,11,1,0,0
2021-06-25,7,1,0,1
2021-06-26,5,3,3,1
2021-06-27,1,1,0,1
2021-06-28,15,2,1,1
2021-06-29,10,1,0,1
2021-06-30,6,3,1,0
2021-07-01,8,3,1,0
2021-07-02,9,1,2,1
2021-07-03,10,0,2,0
2021-07-04,2,0,0,0
2021-07-05,12,5,0,0
2021-07-06,12,2,2,0
2021-07-07,9,1,0,0
2021-07-08,9,1,0,1
2021-07-09,8,8,0,0
2021-07-10,6,2,1,0
2021-07-11,0,0,0,1
2021-07-12,6,4,1,0
2021-07-13,11,7,0,1
2021-07-14,12,3,2,0
2021-07-15,6,6,0,1
2021-07-16,9,1,1,0
2021-07-17,12,3,0,0
2021-07-18,1,0,0,0
2021-07-19,6,2,1,0
2021-07-20,16,3,1,0
2021-07-21,4,3,1,1
2021-07-22,13,3,2,0
2021-07-23,12,5,1,0
2021-07-24,9,2,1,0
2021-07-25,1,0,0,0
2021-07-26,8,3,1,0
2021-07-27,9,2,2,0
2021-07-28,6,0,0,0
2021-07-29,4,0,0,0
2021-07-30,8,4,0,0
2021-07-31,3,3,0,0
2021-08-02,5,4,0,0
2021-08-03,10,6,0,0
2021-08-04,14,2,0,0
2021-08-05,9,5,1,0
2021-08-06,9,4,0,0
2021-08-07,4,2,4,0
2021-08-09,8,1,1,0
